function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,39.760,39.760,10821502293.333,10821502293.333,10,0
figlet,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,43.960,43.960,10826685098.667,10826685098.667,10,0
figlet,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,41.120,41.120,10830386517.333,10830386517.333,10,0
figlet,0,1.000,0.113,13415936.000,1,0,shasum,0,1.000,0.089,5203456.000,1,0,env,10,1.000,1.102,6507008.000,1,0,40.640,47.690,10833714517.333,10839013717.333,10,0
figlet,0,1.000,0.110,13920768.000,1,0,shasum,0,1.000,0.096,5812736.000,1,0,env,10,1.000,1.820,9424042.667,1,0,81.480,86.484,10859773952.000,10889096362.667,10,0
figlet,0,1.000,0.879,14493354.667,1,0,shasum,0,1.000,0.075,6445056.000,1,0,env,10,1.000,1.911,4331520.000,1,0,110.080,97.194,10908045312.000,10916879360.000,10,0
figlet,0,1.000,0.109,14760960.000,1,0,shasum,0,1.000,0.105,6739456.000,1,0,env,20,1.000,2.892,4530176.000,1,0,115.480,101.998,10922089813.333,10922025472.000,10,0
figlet,0,1.000,0.394,15024640.000,1,0,shasum,0,1.000,0.081,7034368.000,1,0,env,20,1.000,3.754,3932160.000,1,0,135.743,106.662,10907798869.333,10918680064.000,10,0
figlet,0,1.000,0.118,15281152.000,1,0,shasum,0,1.000,0.098,7366656.000,1,0,env,20,1.000,4.020,4134912.000,1,0,123.458,110.504,10936933034.667,10941043712.000,10,0
figlet,0,1.000,0.129,15560704.000,1,0,shasum,0,1.000,0.082,7682048.000,1,0,env,30,1.000,3.907,4063232.000,1,0,111.040,109.539,10944200021.333,10942512640.000,10,0
figlet,0,1.000,0.139,15805952.000,1,0,shasum,0,1.000,0.096,7965013.333,1,0,env,30,1.000,5.330,4382208.000,1,0,147.320,121.028,10931018410.667,10942466218.667,10,0
figlet,0,1.000,0.120,16039424.000,1,0,shasum,0,1.000,0.130,8298496.000,1,0,env,30,1.000,5.720,4456448.000,1,0,123.480,112.655,10950882645.333,10952932010.667,10,0
figlet,0,1.000,0.127,16400725.333,1,0,shasum,0,1.000,0.100,8612864.000,1,0,env,40,1.000,4.612,5076992.000,1,0,120.040,117.918,10948698112.000,10948736682.667,10,0
figlet,0,1.000,0.122,16677888.000,1,0,shasum,0,1.000,0.107,8663552.000,1,0,env,40,1.000,6.233,11365888.000,1,0,160.160,129.741,10947151872.000,10952421205.333,10,0
figlet,0,1.000,0.108,16720725.333,1,0,shasum,0,1.000,0.138,8693760.000,1,0,env,40,1.000,8.135,4311040.000,1,0,129.920,122.494,10955857920.000,10958674432.000,10,0
