function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,34.680,34.680,11862423552.000,11862423552.000,10,0
figlet,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,34.920,34.920,11861658282.667,11861658282.667,10,0
figlet,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,38.800,38.800,11864397824.000,11864397824.000,10,0
figlet,0,1.000,0.093,5025280.000,1,0,shasum,0,1.000,0.086,5733888.000,1,0,cows,10,1.000,1.018,69833216.000,1,0,38.240,38.990,11864894122.667,11864260949.333,10,0
figlet,0,1.000,0.097,5857280.000,1,0,shasum,0,1.000,0.077,6137344.000,1,0,cows,10,1.000,2.838,7434240.000,1,0,66.520,70.493,11894732800.000,11893296640.000,10,0
figlet,0,1.000,0.087,6247765.333,1,0,shasum,0,1.000,0.079,6473728.000,1,0,cows,10,1.000,2.833,14736384.000,1,0,67.120,63.740,11865240917.333,11862473557.333,10,0
figlet,0,1.000,0.086,6653952.000,1,0,shasum,0,1.000,0.078,6885888.000,1,0,cows,20,1.000,2.763,7868416.000,1,0,80.640,92.660,11876188160.000,11896355328.000,10,0
figlet,0,1.000,0.078,6989312.000,1,0,shasum,0,1.000,0.077,6995968.000,1,0,cows,20,1.000,4.889,6688768.000,5,0,79.320,81.070,11871794517.333,11882447360.000,10,0
figlet,0,1.000,0.090,7284736.000,1,0,shasum,0,1.000,0.079,7298901.333,1,0,cows,20,1.000,4.432,16065877.333,1,0,94.560,89.320,11916765184.000,11895972010.667,10,0
figlet,0,1.000,0.078,7494656.000,1,0,shasum,0,1.000,0.072,7572992.000,1,0,cows,30,1.000,5.098,12976128.000,1,0,77.680,76.240,11872126976.000,11873682944.000,10,0
figlet,0,1.000,0.099,7825920.000,1,0,shasum,0,1.000,0.075,7865344.000,1,0,cows,30,1.000,3.719,6180864.000,1,0,92.800,102.860,11877216938.667,11896908458.667,10,0
figlet,0,1.000,0.117,8237056.000,1,0,shasum,0,1.000,0.076,8166912.000,1,0,cows,30,1.000,4.155,7454720.000,1,0,73.600,75.600,11878729045.333,11877525504.000,10,0
figlet,0,1.000,0.072,8353792.000,1,0,shasum,0,1.000,0.092,8493738.667,1,0,cows,40,1.000,4.929,5734400.000,5,0,80.280,83.000,11855779840.000,11861919061.333,10,0
figlet,0,1.000,0.089,8400896.000,1,0,shasum,0,1.000,0.074,8558592.000,1,0,cows,40,1.000,6.922,8851456.000,1,0,116.800,107.110,11930297685.333,11907113301.333,10,0
figlet,0,1.000,0.092,8451072.000,1,0,shasum,0,1.000,0.107,8583680.000,1,0,cows,40,1.000,3.781,5578752.000,5,0,78.680,84.834,11881240576.000,11890355200.000,10,0
figlet,0,1.000,0.094,8477696.000,1,0,shasum,0,1.000,0.097,8613376.000,1,0,cows,50,1.000,4.680,5365760.000,5,0,115.160,105.440,11933945856.000,11897919317.333,10,0
figlet,0,1.000,0.088,8590848.000,1,0,shasum,0,1.000,0.085,8617984.000,1,0,cows,50,1.000,5.007,7016448.000,5,0,94.800,90.710,11871163050.667,11856621226.667,10,0
figlet,0,1.000,0.084,8527701.333,1,0,shasum,0,1.000,0.089,8644096.000,1,0,cows,50,1.000,6.352,5652480.000,1,0,89.029,81.807,11869921280.000,11851691008.000,10,0
figlet,0,1.000,0.095,8587605.333,1,0,shasum,10,1.000,0.682,8804864.000,1,0,cows,0,1.000,4.171,16569685.333,1,0,90.640,73.950,11849278805.333,11848882005.333,10,0
figlet,0,1.000,0.098,8590336.000,1,0,shasum,10,1.000,1.301,9616384.000,1,0,cows,0,1.000,0.095,89237504.000,1,0,67.240,66.130,11827466922.667,11845152256.000,10,0
figlet,0,1.000,0.088,8633344.000,1,0,shasum,10,1.000,1.307,10012672.000,1,0,cows,0,1.000,0.098,89266688.000,1,0,80.320,82.240,11849158656.000,11870812672.000,10,0
figlet,0,1.000,0.089,8666112.000,1,0,shasum,10,1.000,1.398,10047317.333,1,0,cows,10,1.000,0.773,88845312.000,1,0,82.560,72.430,11853408256.000,11856965461.333,10,0
figlet,0,1.000,0.093,8679424.000,1,0,shasum,10,1.000,1.550,3773781.333,5,0,cows,10,1.000,3.202,7258112.000,5,0,96.960,94.950,11916915370.667,11912045568.000,10,0
figlet,0,1.000,0.093,8745301.333,1,0,shasum,10,1.000,1.306,4354048.000,5,0,cows,10,1.000,1.823,18231296.000,5,0,94.360,92.710,11925013162.667,11913872725.333,10,0
figlet,0,1.000,0.088,8769536.000,1,0,shasum,10,1.000,1.700,2871296.000,5,0,cows,20,1.000,1.804,20030805.333,5,0,97.600,96.471,11922275669.333,11916930730.667,10,0
figlet,0,1.000,0.081,8770048.000,1,0,shasum,10,1.000,1.811,2707456.000,5,0,cows,20,1.000,2.197,5128192.000,5,0,101.320,101.110,11934074197.333,11922777600.000,10,0
figlet,0,1.000,0.100,8773120.000,1,0,shasum,10,1.000,1.794,3536896.000,5,0,cows,20,1.000,2.458,5492736.000,5,0,101.560,102.415,11925441877.333,11925678080.000,10,0
figlet,0,1.000,0.101,8773632.000,1,0,shasum,10,1.000,1.569,10082474.667,5,0,cows,30,1.000,8.108,16429056.000,13,0,105.360,121.921,11941025109.333,12041447594.667,10,0
figlet,0,1.000,0.094,8773632.000,1,0,shasum,10,1.000,1.655,10591061.333,5,0,cows,30,1.000,10.001,20437504.000,20,1,127.720,133.329,12188338176.000,12299023360.000,10,1
figlet,0,1.000,0.093,15134720.000,1,0,shasum,10,1.000,1.141,17128106.667,1,0,cows,30,1.000,3.679,23818240.000,5,0,126.640,123.700,12435882666.667,12234041173.333,20,0
figlet,0,1.000,0.092,15241216.000,1,0,shasum,10,1.000,1.337,17312256.000,1,0,cows,40,1.000,12.883,16278528.000,13,0,139.960,137.739,12035331413.333,12181519018.667,10,0
figlet,0,1.000,0.085,15241216.000,1,0,shasum,10,1.000,1.169,17252864.000,1,0,cows,40,1.000,5.853,25212245.333,5,0,130.040,120.608,12310201685.333,12195906901.333,20,0
figlet,0,1.000,0.087,15271936.000,1,0,shasum,10,1.000,1.640,4302848.000,1,0,cows,40,1.000,10.244,18043392.000,13,0,134.280,128.960,12037814954.667,12172054357.333,10,0
figlet,0,1.000,0.091,15323136.000,1,0,shasum,10,1.000,1.067,17122304.000,1,0,cows,50,1.000,4.822,8581120.000,5,0,140.172,125.547,12351358293.333,12251255808.000,20,0
figlet,0,1.000,0.098,15370752.000,1,0,shasum,10,1.000,1.371,4034560.000,1,0,cows,50,1.000,13.951,20236288.000,13,0,140.200,133.567,12102062080.000,12219166549.333,10,0
figlet,0,1.000,0.071,15450112.000,1,0,shasum,10,1.000,1.173,3971754.667,1,0,cows,50,1.000,4.787,27164672.000,1,0,130.760,116.466,12419895296.000,12203793749.333,20,0
figlet,0,1.000,0.088,15451306.667,1,0,shasum,20,1.000,2.477,4120576.000,1,0,cows,0,1.000,2.238,5341184.000,1,0,110.640,96.233,12059307349.333,12070928554.667,10,0
figlet,0,1.000,0.099,15454208.000,1,0,shasum,20,1.000,2.315,4247040.000,1,0,cows,0,1.000,0.098,93339989.333,1,0,75.080,71.520,12008899242.667,12012297386.667,10,0
figlet,0,1.000,0.077,15454208.000,1,0,shasum,20,1.000,2.283,17461248.000,1,0,cows,0,1.000,0.090,93343744.000,1,0,83.800,88.400,12011709781.333,12034987349.333,10,0
figlet,0,1.000,0.082,15454720.000,1,0,shasum,20,1.000,2.650,17390080.000,1,0,cows,10,1.000,1.134,92918954.667,1,0,89.400,80.035,12014929920.000,12014688085.333,10,0
figlet,0,1.000,0.099,15458304.000,1,0,shasum,20,1.000,2.800,4139008.000,1,0,cows,10,1.000,1.532,5304320.000,1,0,107.000,100.140,12049750698.667,12059688960.000,10,0
figlet,0,1.000,0.064,15459328.000,1,0,shasum,20,1.000,2.414,17303040.000,1,0,cows,10,1.000,2.309,11251712.000,1,0,99.640,96.262,12049433258.667,12059625472.000,10,0
