function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,52.880,52.880,12455771477.333,12455771477.333,10,0
figlet,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,53.320,53.320,12453257898.667,12453257898.667,10,0
figlet,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,51.720,51.720,12448953685.333,12448953685.333,10,0
figlet,0,1.000,0.092,6339072.000,1,0,env,0,1.000,0.083,6193664.000,1,0,cows,10,1.000,0.550,5558272.000,1,0,46.960,55.140,12446882474.667,12447396352.000,10,0
figlet,0,1.000,0.101,6638250.667,1,0,env,0,1.000,0.075,6640128.000,1,0,cows,10,1.000,5.055,6184960.000,1,0,90.120,84.180,12495510869.333,12501286570.667,10,0
figlet,0,1.000,0.097,7010304.000,1,0,env,0,1.000,0.093,6993408.000,1,0,cows,10,1.000,2.998,16453632.000,1,0,81.960,83.940,12499058005.333,12499769173.333,10,0
figlet,0,1.000,0.101,7344298.667,1,0,env,0,1.000,0.068,7345493.333,1,0,cows,20,1.000,3.380,6504448.000,1,0,83.040,85.211,12493397333.333,12495814485.333,10,0
figlet,0,1.000,0.101,7593984.000,1,0,env,0,1.000,0.075,7629312.000,1,0,cows,20,1.000,4.592,5050368.000,1,0,106.080,113.430,12509379925.333,12530842965.333,10,0
figlet,0,1.000,0.086,7861760.000,1,0,env,0,1.000,0.081,7969280.000,1,0,cows,20,1.000,3.774,6385664.000,1,0,88.280,89.620,12499212970.667,12509223253.333,10,0
figlet,0,1.000,0.090,8051712.000,1,0,env,0,1.000,0.090,8267605.333,1,0,cows,30,1.000,3.191,6385664.000,1,0,88.920,90.873,12532189866.667,12517627733.333,10,0
figlet,0,1.000,0.093,8375296.000,1,0,env,0,1.000,0.095,8635392.000,1,0,cows,30,1.000,3.726,5214208.000,1,0,93.440,87.060,12533868544.000,12515898538.667,10,0
figlet,0,1.000,0.097,8636416.000,1,0,env,0,1.000,0.081,8861696.000,1,0,cows,30,1.000,3.947,5713920.000,5,0,96.080,96.330,12500560554.667,12508397568.000,10,0
figlet,0,1.000,0.117,8983552.000,1,0,env,0,1.000,0.075,8898048.000,1,0,cows,40,1.000,4.687,7294976.000,5,0,100.240,90.820,12540960085.333,12513775957.333,10,0
figlet,0,1.000,0.097,9177941.333,1,0,env,0,1.000,0.105,8980992.000,1,0,cows,40,1.000,5.088,6160384.000,5,0,96.280,93.450,12537139882.667,12522881706.667,10,0
