function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,41.800,41.800,11705917440.000,11705917440.000,10,0
figlet,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,43.920,43.920,11702919168.000,11702919168.000,10,0
figlet,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,40.240,40.240,11703605930.667,11703605930.667,10,0
figlet,0,1.000,0.095,13273941.333,1,0,env,0,1.000,0.085,13283328.000,1,0,nmap,10,1.000,20.516,12146688.000,1,0,40.200,90.520,11702807210.667,11712619690.667,10,0
figlet,0,1.000,0.099,14007808.000,1,0,env,0,1.000,0.077,13875370.667,1,0,nmap,10,1.000,52.226,21579776.000,1,0,129.000,138.190,11732218538.667,11767978325.333,10,0
figlet,0,1.000,0.095,14332416.000,1,0,env,0,1.000,0.077,14472704.000,1,0,nmap,10,1.000,46.563,22209536.000,1,0,144.720,142.120,11774818304.000,11781245098.667,10,0
figlet,0,1.000,0.095,14588928.000,1,0,env,0,1.000,0.075,14775296.000,1,0,nmap,20,0.565,74.757,48007168.000,9,1,140.600,166.999,11775109120.000,11912887466.667,10,1
figlet,0,1.000,0.084,14953403.733,1,0,env,0,1.000,0.068,15217186.133,1,0,nmap,20,0.317,109.338,102540492.800,1,1,168.700,182.591,12210464085.333,12053757815.467,10,1
figlet,0,1.000,0.097,15242581.333,1,0,env,0,1.000,0.082,15615317.333,1,0,nmap,20,0.410,110.401,119462229.333,1,1,165.720,168.729,11918461610.667,11906316800.000,10,1
figlet,0,1.000,0.084,15548416.000,1,0,env,10,1.000,1.103,16400042.667,1,0,nmap,0,1.000,39.879,69715968.000,1,0,149.040,81.910,11849175722.667,11815564800.000,10,0
