function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,47.800,47.800,12535084373.333,12535084373.333,10,0
figlet,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,47.760,47.760,12536192341.333,12536192341.333,10,0
figlet,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,51.160,51.160,12543813632.000,12543813632.000,10,0
figlet,0,1.000,0.082,5456384.000,1,0,env,0,1.000,0.091,5208064.000,1,0,curl,10,1.000,5.332,3252224.000,5,0,52.360,67.270,12551202816.000,12559570090.667,10,0
figlet,0,1.000,0.111,5844480.000,1,0,env,0,1.000,0.082,6062762.667,1,0,curl,10,1.000,7.014,2797568.000,5,0,89.320,93.650,12591523840.000,12613755562.667,10,0
figlet,0,1.000,0.113,6248448.000,1,0,env,0,1.000,0.084,6375253.333,1,0,curl,10,1.000,8.318,4946602.667,1,0,88.880,87.390,12614550869.333,12622029482.667,10,0
figlet,0,1.000,0.093,6566912.000,1,0,env,0,1.000,0.075,6647296.000,1,0,curl,20,1.000,11.507,5913600.000,5,0,92.200,95.690,12602451968.000,12634585600.000,10,0
figlet,0,1.000,0.110,6761642.667,1,0,env,0,1.000,0.086,6936405.333,1,0,curl,20,1.000,13.605,5148672.000,1,0,110.480,114.970,12669124608.000,12700519936.000,10,0
figlet,0,1.000,0.108,7013888.000,1,0,env,0,1.000,0.073,7309994.667,1,0,curl,20,1.000,12.643,5787648.000,1,0,126.120,122.060,12672406186.667,12655889578.667,10,0
figlet,0,1.000,0.109,7361536.000,1,0,env,0,1.000,0.085,7621120.000,1,0,curl,30,1.000,19.503,7651328.000,1,0,150.200,133.960,12642832384.000,12652760576.000,10,0
figlet,0,1.000,0.098,7699626.667,1,0,env,0,1.000,0.104,8088064.000,1,0,curl,30,1.000,16.404,5331968.000,1,0,137.120,129.390,12652209493.333,12664313173.333,10,0
figlet,0,1.000,0.095,7923712.000,1,0,env,0,1.000,0.082,8410112.000,1,0,curl,30,1.000,26.399,5353472.000,1,0,115.000,119.170,12671194453.333,12682071381.333,10,0
figlet,0,1.000,0.132,8190976.000,1,0,env,0,1.000,0.085,8422570.667,1,0,curl,40,1.000,23.285,4978176.000,1,0,127.040,128.420,12678433450.667,12691693226.667,10,0
figlet,0,1.000,0.104,8466432.000,1,0,env,0,1.000,0.119,8446976.000,1,0,curl,40,1.000,31.495,7323648.000,1,0,139.280,135.810,12687265792.000,12699884544.000,10,0
figlet,0,1.000,0.105,8536064.000,1,0,env,0,1.000,0.082,8475136.000,1,0,curl,40,1.000,29.073,5939200.000,1,0,138.680,136.980,12689249621.333,12697342122.667,10,0
figlet,0,1.000,0.129,8600576.000,1,0,env,0,1.000,0.086,8478378.667,1,0,curl,50,1.000,35.049,8366080.000,1,0,149.920,147.183,12690828629.333,12701180245.333,10,0
figlet,0,1.000,0.091,8616960.000,1,0,env,0,1.000,0.087,8503125.333,1,0,curl,50,1.000,35.499,5990400.000,1,0,162.920,156.770,12683689984.000,12692221440.000,10,0
figlet,0,1.000,0.097,8626176.000,1,0,env,0,1.000,0.081,8540672.000,1,0,curl,50,1.000,34.210,6348288.000,1,0,163.560,155.360,12679314773.333,12688169984.000,10,0
figlet,0,1.000,0.116,8721408.000,1,0,env,10,1.000,0.630,3223552.000,1,0,curl,0,1.000,16.688,8503296.000,1,0,178.960,110.750,12681644032.000,12676853077.333,10,0
figlet,0,1.000,0.103,8716800.000,1,0,env,10,1.000,1.399,2945024.000,1,0,curl,0,1.000,0.210,16793600.000,1,0,91.800,78.290,12664782848.000,12674140330.667,10,0
figlet,0,1.000,0.098,8724480.000,1,0,env,10,1.000,1.376,3862528.000,5,0,curl,0,1.000,0.198,16802474.667,1,0,85.320,98.963,12666570752.000,12704179234.133,10,0
figlet,0,1.000,0.104,8771072.000,1,0,env,10,1.000,1.437,3752960.000,5,0,curl,10,1.000,5.293,18925568.000,5,0,95.880,94.320,12687051434.667,12689058986.667,10,0
figlet,0,1.000,0.094,8794112.000,1,0,env,10,1.000,1.633,4370432.000,5,0,curl,10,1.000,8.092,4874240.000,5,0,115.200,118.460,12710559061.333,12739484672.000,10,0
figlet,0,1.000,0.100,8794112.000,1,0,env,10,1.000,1.628,4475904.000,5,0,curl,10,1.000,6.533,2711552.000,5,0,115.120,115.560,12732656981.333,12750093141.333,10,0
figlet,0,1.000,0.100,8834048.000,1,0,env,10,1.000,1.487,3712341.333,5,0,curl,20,1.000,13.319,5136384.000,5,0,133.880,128.100,12745027584.000,12763542698.667,10,0
figlet,0,1.000,0.087,8855552.000,1,0,env,10,1.000,1.061,2768896.000,5,0,curl,20,1.000,12.636,2854912.000,13,0,132.800,146.010,12751693141.333,12820697429.333,10,0
figlet,0,1.000,0.076,8857770.667,1,0,env,10,1.000,1.594,4183381.333,1,0,curl,20,1.000,13.339,4956160.000,17,1,128.560,137.620,12925391530.667,12989309781.333,10,1
figlet,0,1.000,0.098,8875008.000,1,0,env,20,1.000,1.974,4222464.000,5,0,curl,0,1.000,3.132,7718912.000,1,0,139.800,118.070,13066729472.000,13082114218.667,20,0
figlet,0,1.000,0.093,8949760.000,1,0,env,20,1.000,2.028,2760704.000,9,0,curl,0,1.000,0.183,16519168.000,1,0,132.440,95.220,12865489578.667,12841709738.667,10,0
figlet,0,1.000,0.090,8965632.000,1,0,env,20,1.000,3.263,4094464.000,1,0,curl,0,1.000,0.189,16519168.000,1,0,96.160,102.720,12873143637.333,12915549525.333,10,0
