function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,44.880,44.880,13571962880.000,13571962880.000,10,0
figlet,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,40.800,40.800,13569234944.000,13569234944.000,10,0
figlet,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,46.400,46.400,13570355882.667,13570355882.667,10,0
figlet,0,1.000,0.100,5494784.000,1,0,cows,0,1.000,0.131,68601344.000,1,0,nmap,10,1.000,47.249,27394048.000,1,0,48.480,92.932,13569686186.667,13574035626.667,10,0
figlet,0,1.000,0.073,5897216.000,1,0,cows,0,1.000,0.120,69641728.000,1,0,nmap,10,1.000,55.236,6084608.000,5,0,147.680,158.450,13568897706.667,13596162730.667,10,0
figlet,0,1.000,0.103,6168576.000,1,0,cows,0,1.000,0.095,70343168.000,1,0,nmap,10,1.000,64.536,4919296.000,5,0,148.200,144.650,13577723904.000,13574100138.667,10,0
figlet,0,1.000,0.095,6472089.600,1,0,cows,0,1.000,0.120,71071744.000,1,0,nmap,20,0.373,69.431,9035776.000,1,1,164.440,235.703,13564784640.000,13718399931.733,10,1
figlet,0,1.000,0.080,6901760.000,1,0,cows,0,1.000,0.111,72003072.000,1,0,nmap,20,0.417,106.316,135943509.333,5,1,243.480,210.346,13700230485.333,13688034304.000,10,1
figlet,0,1.000,0.091,7143936.000,1,0,cows,0,1.000,0.096,72363690.667,1,0,nmap,20,0.468,107.115,2732032.000,1,1,158.989,171.995,13669403989.333,13660379136.000,10,1
figlet,0,1.000,0.085,7581184.000,1,0,cows,10,1.000,1.301,10117120.000,5,0,nmap,0,1.000,45.891,3043328.000,1,0,160.760,111.740,13686860458.667,13620498602.667,10,0
figlet,0,1.000,0.111,8011093.333,1,0,cows,10,1.000,2.641,7020544.000,5,0,nmap,0,1.000,0.156,44874752.000,1,0,104.920,83.010,13612412928.000,13594724864.000,10,0
figlet,0,1.000,0.104,8346965.333,1,0,cows,10,1.000,2.342,7020544.000,1,0,nmap,0,1.000,0.178,44857856.000,1,0,77.680,71.800,13600004778.667,13574939648.000,10,0
figlet,0,1.000,0.090,8373418.667,1,0,cows,10,1.000,1.362,7294976.000,1,0,nmap,10,1.000,43.284,48847360.000,1,0,79.600,139.296,13565775189.333,13607935488.000,10,0
figlet,0,1.000,0.108,8404650.667,1,0,cows,10,1.000,1.921,6135808.000,5,0,nmap,10,1.000,59.116,8294400.000,5,0,180.480,171.770,13586170538.667,13621046101.333,10,0
figlet,0,1.000,0.095,8428032.000,1,0,cows,10,1.000,1.572,9166848.000,5,0,nmap,10,1.000,60.092,5365760.000,5,0,167.880,178.548,13625281194.667,13632188416.000,10,0
figlet,0,1.000,0.109,9277986.133,1,0,cows,10,1.000,3.344,5492736.000,1,0,nmap,20,0.168,91.692,6467072.000,1,1,209.200,222.598,13653730645.333,13828836283.733,10,1
figlet,0,1.000,0.095,10289152.000,1,0,cows,10,1.000,1.038,8372224.000,5,0,nmap,20,0.507,119.526,114964889.600,5,1,174.800,196.803,13765855232.000,13720988194.133,10,1
figlet,0,1.000,0.081,10428825.600,1,0,cows,10,1.000,1.323,81074176.000,5,0,nmap,20,0.370,105.735,3063808.000,1,1,216.713,197.428,13790579370.667,13785082402.133,10,1
