function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,46.360,46.360,13528242176.000,13528242176.000,10,0
figlet,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,46.520,46.520,13528795136.000,13528795136.000,10,0
figlet,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,42.001,42.001,13529348778.667,13529348778.667,10,0
figlet,0,1.000,0.076,5222400.000,1,0,cows,0,1.000,0.121,21608448.000,1,0,curl,10,1.000,4.561,2752512.000,5,0,42.880,55.130,13528926208.000,13526314154.667,10,0
figlet,0,1.000,0.098,5856768.000,1,0,cows,0,1.000,0.106,22213632.000,1,0,curl,10,1.000,6.046,3905024.000,1,0,81.960,90.230,13514641408.000,13513051818.667,10,0
figlet,0,1.000,0.073,6158848.000,1,0,cows,0,1.000,0.108,22840490.667,1,0,curl,10,1.000,5.666,4505600.000,5,0,113.960,96.590,13504944128.000,13517833557.333,10,0
figlet,0,1.000,0.094,6580736.000,1,0,cows,0,1.000,0.114,23333034.667,1,0,curl,20,1.000,9.611,4182016.000,5,0,81.640,96.720,13514079573.333,13525632682.667,10,0
figlet,0,1.000,0.089,6934016.000,1,0,cows,0,1.000,0.126,24258560.000,1,0,curl,20,1.000,12.912,6038016.000,9,0,117.520,107.339,13522657280.000,13567848618.667,10,0
figlet,0,1.000,0.093,7212032.000,1,0,cows,0,1.000,0.096,24848384.000,1,0,curl,20,1.000,14.845,5381632.000,17,1,111.440,110.160,13618301610.667,13660269056.000,10,1
figlet,0,1.000,0.094,7527936.000,1,0,cows,10,1.000,1.309,26205525.333,1,0,curl,0,1.000,3.402,7832234.667,1,0,107.040,96.350,13723675306.667,13709003776.000,20,0
figlet,0,1.000,0.101,7760896.000,1,0,cows,10,1.000,1.155,6565888.000,1,0,curl,0,1.000,0.168,26893824.000,1,0,97.440,105.030,13540582058.667,13567926272.000,10,0
figlet,0,1.000,0.114,8051200.000,1,0,cows,10,1.000,2.124,30732800.000,1,0,curl,0,1.000,0.171,26765312.000,1,0,95.920,81.900,13558218752.000,13552569514.667,10,0
figlet,0,1.000,0.100,8250880.000,1,0,cows,10,1.000,2.929,14363136.000,1,0,curl,10,1.000,5.302,28004352.000,1,0,92.960,89.860,13543790592.000,13575399594.667,10,0
figlet,0,1.000,0.081,8295082.667,1,0,cows,10,1.000,1.485,7258112.000,1,0,curl,10,1.000,6.168,3999061.333,1,0,86.400,108.900,13534841514.667,13556152661.333,10,0
figlet,0,1.000,0.105,8354304.000,1,0,cows,10,1.000,2.535,16312320.000,1,0,curl,10,1.000,6.407,4788224.000,1,0,117.560,107.370,13579240789.333,13608551936.000,10,0
figlet,0,1.000,0.093,8384512.000,1,0,cows,10,1.000,1.386,5799936.000,1,0,curl,20,1.000,9.485,4673024.000,1,0,119.320,123.500,13594147498.667,13615925077.333,10,0
figlet,0,1.000,0.086,8385024.000,1,0,cows,10,1.000,1.321,6643712.000,1,0,curl,20,1.000,12.159,7348224.000,1,0,119.080,122.860,13582146218.667,13607479978.667,10,0
figlet,0,1.000,0.103,8442368.000,1,0,cows,10,1.000,1.523,5296128.000,1,0,curl,20,1.000,12.516,5455872.000,1,0,144.120,155.660,13604128768.000,13689398272.000,10,0
figlet,0,1.000,0.089,8450048.000,1,0,cows,10,1.000,1.614,7213056.000,5,0,curl,30,1.000,17.419,5573632.000,5,0,148.480,139.440,13653284181.333,13667231402.667,10,0
figlet,0,1.000,0.087,8450048.000,1,0,cows,10,1.000,1.635,35322368.000,5,0,curl,30,1.000,15.321,5381632.000,5,0,135.960,143.600,13670894250.667,13679711232.000,10,0
figlet,0,1.000,0.092,8498176.000,1,0,cows,10,1.000,2.111,14805674.667,5,0,curl,30,1.000,20.639,7462912.000,5,0,147.680,144.325,13681264640.000,13681782784.000,10,0
figlet,0,1.000,0.093,8515584.000,1,0,cows,10,1.000,1.365,36185600.000,5,0,curl,40,1.000,22.038,6766080.000,13,0,147.080,164.380,13678774954.667,13731977898.667,10,0
figlet,0,1.000,0.092,8608256.000,1,0,cows,10,1.000,3.810,6279168.000,1,0,curl,40,1.000,24.813,11884373.333,17,1,154.360,162.610,13845601621.333,13895710549.333,10,1
figlet,0,1.000,0.096,8566784.000,1,0,cows,10,1.000,1.163,6553600.000,1,0,curl,40,1.000,14.864,11373226.667,5,0,164.320,161.060,13950266709.333,13993102165.333,20,0
figlet,0,1.000,0.090,8584704.000,1,0,cows,10,0.997,1.616,6447104.000,1,0,curl,50,1.000,25.858,6555989.333,1,0,209.760,192.690,13808657066.667,13836293802.667,10,0
figlet,0,1.000,0.078,8587776.000,1,0,cows,10,1.000,2.777,20086784.000,1,0,curl,50,1.000,28.140,6827520.000,1,0,185.700,171.030,13765732761.600,13791392597.333,10,0
figlet,0,1.000,0.097,8619349.333,1,0,cows,10,1.000,1.392,37393920.000,1,0,curl,50,1.000,36.080,10354688.000,1,0,169.800,164.750,13761258154.667,13783043413.333,10,0
figlet,0,1.000,0.097,8591872.000,1,0,cows,20,1.000,1.842,37531648.000,1,0,curl,0,1.000,12.253,3782656.000,1,0,173.480,124.640,13762051413.333,13760876885.333,10,0
figlet,0,1.000,0.078,8593408.000,1,0,cows,20,1.000,3.300,6934528.000,1,0,curl,0,1.000,0.193,30546944.000,1,0,90.760,84.840,13722008917.333,13715674453.333,10,0
figlet,0,1.000,0.092,8689152.000,1,0,cows,20,1.000,4.195,6889472.000,1,0,curl,0,1.000,0.152,30547968.000,1,0,89.160,102.380,13701850453.333,13727782229.333,10,0
figlet,0,1.000,0.087,8614741.333,1,0,cows,20,1.000,4.026,15054336.000,1,0,curl,10,1.000,5.229,32876032.000,1,0,86.800,91.720,13700989610.667,13703484757.333,10,0
figlet,0,1.000,0.095,8599552.000,1,0,cows,20,1.000,3.469,5144576.000,1,0,curl,10,1.000,6.465,5033984.000,1,0,112.120,110.640,13712870741.333,13742309546.667,10,0
