function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,47.000,47.000,14309713237.333,14309713237.333,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,47.040,47.040,14298176170.667,14298176170.667,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,46.300,46.300,14282229350.400,14280890368.000,10,0
nodeinfo,0,1.000,0.144,69583018.667,1,0,shasum,0,1.000,0.074,13262848.000,1,0,env,10,1.000,0.729,3170304.000,5,0,45.360,55.890,14277491370.667,14284270933.333,10,0
nodeinfo,0,1.000,0.140,70515370.667,1,0,shasum,0,1.000,0.083,13633024.000,1,0,env,10,1.000,1.899,4241920.000,5,0,74.040,77.800,14301218133.333,14308859733.333,10,0
nodeinfo,0,1.000,0.155,71163392.000,1,0,shasum,0,1.000,0.073,14049621.333,1,0,env,10,1.000,1.341,4399616.000,5,0,106.360,98.440,14307717120.000,14325905237.333,10,0
nodeinfo,0,1.000,0.147,72141824.000,1,0,shasum,0,1.000,0.080,14340608.000,1,0,env,20,1.000,2.524,2887680.000,5,0,107.360,107.050,14310245034.667,14332840106.667,10,0
nodeinfo,0,1.000,0.159,72684544.000,1,0,shasum,0,1.000,0.075,14609920.000,1,0,env,20,1.000,3.355,4853760.000,5,0,91.400,86.140,14319510186.667,14314839040.000,10,0
nodeinfo,0,1.000,0.141,73460736.000,1,0,shasum,0,1.000,0.087,14925824.000,1,0,env,20,1.000,3.264,3366912.000,9,0,94.240,83.150,14318011050.667,14351616000.000,10,0
nodeinfo,0,1.000,0.140,73845248.000,1,0,shasum,0,1.000,0.079,15247872.000,1,0,env,30,1.000,3.842,6481920.000,13,0,66.680,85.850,14408597504.000,14431718570.667,10,0
nodeinfo,0,1.000,0.140,73846784.000,1,0,shasum,0,1.000,0.080,15503872.000,1,0,env,30,1.000,5.394,8566272.000,17,1,81.800,91.830,14490312704.000,14524862976.000,10,1
nodeinfo,0,1.000,0.144,73591296.000,1,0,shasum,0,1.000,0.112,15935317.333,1,0,env,30,1.000,3.579,3440640.000,5,0,97.240,116.190,14570321237.333,14537715029.333,20,0
nodeinfo,0,1.000,0.151,73757354.667,1,0,shasum,0,1.000,0.082,16153600.000,1,0,env,40,1.000,4.975,6630912.000,9,0,107.520,100.650,14371820885.333,14391695872.000,10,0
nodeinfo,0,1.000,0.143,73775274.667,1,0,shasum,0,1.000,0.068,16160768.000,1,0,env,40,1.000,5.795,9074176.000,13,0,102.040,102.620,14436349952.000,14469479082.667,10,0
nodeinfo,0,1.000,0.119,73584298.667,1,0,shasum,0,1.000,0.136,16193536.000,1,0,env,40,1.000,5.812,3700736.000,17,1,93.560,97.720,14531063125.333,14542693034.667,10,1
nodeinfo,0,1.000,0.131,73712298.667,1,0,shasum,10,1.000,1.006,16438784.000,1,0,env,0,1.000,0.947,6653952.000,1,0,91.640,106.860,14588971690.667,14549230250.667,20,0
nodeinfo,0,1.000,0.150,73913856.000,1,0,shasum,10,1.000,1.935,17099605.333,1,0,env,0,1.000,0.067,10530816.000,1,0,88.760,76.615,14362905941.333,14386030421.333,10,0
nodeinfo,0,1.000,0.137,74146816.000,1,0,shasum,10,1.000,1.226,4279808.000,1,0,env,0,1.000,0.094,10545152.000,1,0,88.640,76.620,14396996949.333,14392840021.333,10,0
nodeinfo,0,1.000,0.138,74385408.000,1,0,shasum,10,1.000,1.402,4436992.000,1,0,env,10,1.000,1.411,10629632.000,1,0,94.720,82.490,14376292352.000,14380539392.000,10,0
nodeinfo,0,1.000,0.140,74485248.000,1,0,shasum,10,1.000,1.519,4364288.000,1,0,env,10,1.000,1.342,3928064.000,1,0,102.240,101.200,14378266624.000,14420934656.000,10,0
nodeinfo,0,1.000,0.134,74814464.000,1,0,shasum,10,1.000,1.440,4335616.000,1,0,env,10,1.000,1.724,4163584.000,1,0,115.880,129.030,14422370304.000,14478692181.333,10,0
nodeinfo,0,1.000,0.142,75185664.000,1,0,shasum,10,1.000,1.627,5943296.000,1,0,env,20,1.000,2.357,4829184.000,1,0,144.800,115.564,14455643477.333,14442310314.667,10,0
nodeinfo,0,1.000,0.156,75060736.000,1,0,shasum,10,1.000,1.613,3682304.000,1,0,env,20,1.000,1.782,4415488.000,1,0,123.040,111.240,14428205738.667,14444736170.667,10,0
nodeinfo,0,1.000,0.203,75299498.667,1,0,shasum,10,1.000,1.585,5115904.000,1,0,env,20,1.000,2.832,6258688.000,1,0,117.560,104.930,14435420842.667,14445757781.333,10,0
nodeinfo,0,1.000,0.145,75284992.000,1,0,shasum,10,1.000,1.348,4192256.000,1,0,env,30,1.000,3.086,4046848.000,1,0,129.840,113.840,14427755178.667,14442640042.667,10,0
nodeinfo,0,1.000,0.118,75344896.000,1,0,shasum,10,1.000,1.693,3704320.000,1,0,env,30,1.000,3.485,4383744.000,1,0,126.800,114.990,14432927744.000,14451076096.000,10,0
nodeinfo,0,1.000,0.140,75486037.333,1,0,shasum,10,1.000,1.399,3524608.000,1,0,env,30,1.000,4.661,5403136.000,1,0,133.480,114.250,14440392704.000,14461084330.667,10,0
nodeinfo,0,1.000,0.142,75642880.000,1,0,shasum,10,1.000,1.532,3917824.000,1,0,env,40,1.000,3.926,4585472.000,1,0,139.120,121.780,14444492800.000,14444590250.667,10,0
nodeinfo,0,1.000,0.147,75774805.333,1,0,shasum,10,1.000,1.425,3930112.000,1,0,env,40,1.000,5.065,4968448.000,1,0,140.200,123.690,14419996672.000,14428907690.667,10,0
nodeinfo,0,1.000,0.129,75769002.667,1,0,shasum,10,1.000,1.923,3950592.000,5,0,env,40,1.000,3.708,4938410.667,5,0,141.250,121.260,14411559594.667,14426221738.667,10,0
nodeinfo,0,1.000,0.140,75995648.000,1,0,shasum,10,1.000,1.271,3244544.000,5,0,env,50,1.000,6.021,4622336.000,5,0,126.080,127.610,14411489280.000,14428588373.333,10,0
nodeinfo,0,1.000,0.117,75808256.000,1,0,shasum,10,1.000,1.176,4001792.000,5,0,env,50,1.000,7.467,4973056.000,5,0,130.760,128.330,14415497216.000,14433411072.000,10,0
nodeinfo,0,1.000,0.123,75875840.000,1,0,shasum,10,1.000,1.537,4028416.000,5,0,env,50,1.000,6.566,5490176.000,13,0,130.120,135.550,14419716096.000,14470317909.333,10,0
nodeinfo,0,1.000,0.137,76029098.667,1,0,shasum,20,1.000,2.483,3960832.000,5,0,env,0,1.000,2.452,3327317.333,1,0,128.320,131.390,14552271530.667,14602172074.667,10,0
nodeinfo,0,1.000,0.120,75872256.000,1,0,shasum,20,1.000,2.570,4597248.000,9,0,env,0,1.000,0.069,3825664.000,1,0,140.040,109.540,14539393706.667,14476074325.333,10,0
nodeinfo,0,1.000,0.130,75873792.000,1,0,shasum,20,1.000,3.560,8125440.000,13,0,env,0,1.000,0.097,11393024.000,1,0,87.080,93.060,14468886528.000,14506424661.333,10,0
nodeinfo,0,1.000,0.122,75954005.333,1,0,shasum,20,1.000,3.855,8542208.000,20,1,env,10,1.000,0.831,2916352.000,5,0,76.400,103.370,14558078976.000,14592866645.333,10,1
nodeinfo,0,1.000,0.121,75987797.333,1,0,shasum,20,1.000,2.850,2920448.000,5,0,env,10,1.000,1.649,4083712.000,1,0,119.000,150.490,14690387968.000,14766141952.000,20,0
nodeinfo,0,1.000,0.141,75245909.333,1,0,shasum,20,1.000,3.397,4569600.000,13,0,env,10,1.000,1.557,4397568.000,1,0,175.080,149.740,14727809024.000,14703472298.667,10,0
nodeinfo,0,1.000,0.148,75355648.000,1,0,shasum,20,1.000,2.718,7280298.667,5,0,env,20,1.000,2.579,4092416.000,5,0,145.480,132.620,14531029674.667,14569127936.000,20,0
nodeinfo,0,1.000,0.140,75298986.667,1,0,shasum,20,1.000,2.981,17814528.000,9,0,env,20,1.000,3.022,4461909.333,9,0,159.760,123.730,14445202090.667,14455768064.000,10,0
nodeinfo,0,1.000,0.132,75355136.000,1,0,shasum,20,1.000,3.215,4051968.000,13,0,env,20,1.000,3.136,8388266.667,13,0,125.880,121.270,14527313237.333,14553872042.667,10,0
nodeinfo,0,1.000,0.139,75522560.000,1,0,shasum,20,1.000,3.152,7064064.000,17,1,env,30,1.000,5.047,3104768.000,17,1,130.960,135.644,14622922069.333,14700590762.667,10,1
nodeinfo,0,1.000,0.142,75755008.000,1,0,shasum,20,1.000,2.537,8053760.000,1,0,env,30,1.000,2.925,5948757.333,5,0,151.760,136.330,14829064874.667,14792828245.333,20,0
nodeinfo,0,1.000,0.133,75934720.000,1,0,shasum,20,1.000,2.348,4267520.000,1,0,env,30,1.000,4.777,3890176.000,13,0,203.800,162.470,14477152938.667,14458636117.333,10,0
nodeinfo,0,1.000,0.135,75665408.000,1,0,shasum,20,1.000,1.632,3866624.000,1,0,env,40,1.000,3.584,3899904.000,5,0,148.480,139.730,14513477632.000,14543675733.333,20,0
nodeinfo,0,1.000,0.129,75750058.667,1,0,shasum,20,1.000,3.066,4646912.000,1,0,env,40,1.000,5.564,4790101.333,1,0,168.404,153.158,14398306304.000,14433215317.333,10,0
nodeinfo,0,1.000,0.132,75865088.000,1,0,shasum,20,1.000,2.640,6578176.000,1,0,env,40,1.000,4.581,4360192.000,1,0,152.720,137.460,14421382485.333,14412593664.000,10,0
nodeinfo,0,1.000,0.128,75941888.000,1,0,shasum,20,1.000,2.981,4087808.000,1,0,env,50,1.000,5.160,7249920.000,1,0,146.400,142.117,14400576853.333,14409651200.000,10,0
nodeinfo,0,1.000,0.144,76113408.000,1,0,shasum,20,1.000,2.490,4368384.000,1,0,env,50,1.000,7.009,5502976.000,1,0,140.640,133.380,14387025920.000,14397143552.000,10,0
nodeinfo,0,1.000,0.132,76172800.000,1,0,shasum,20,1.000,2.416,4001792.000,1,0,env,50,1.000,6.813,7794688.000,1,0,141.720,130.070,14335077034.667,14336716288.000,10,0
nodeinfo,0,1.000,0.119,76164608.000,1,0,shasum,30,1.000,2.960,5804032.000,1,0,env,0,1.000,3.546,3545088.000,1,0,150.760,120.100,14320147797.333,14332031658.667,10,0
nodeinfo,0,1.000,0.139,76215296.000,1,0,shasum,30,1.000,3.178,4382720.000,1,0,env,0,1.000,0.093,4358144.000,1,0,102.600,93.850,14306816000.000,14299400021.333,10,0
nodeinfo,0,1.000,0.125,76319744.000,1,0,shasum,30,1.000,4.150,2854912.000,1,0,env,0,1.000,0.074,11415552.000,1,0,99.640,103.960,14281601706.667,14307025578.667,10,0
nodeinfo,0,1.000,0.167,76280832.000,1,0,shasum,30,1.000,4.056,4433920.000,1,0,env,10,1.000,1.035,11415552.000,1,0,110.520,98.000,14293991424.000,14292562944.000,10,0
nodeinfo,0,1.000,0.122,76270762.667,1,0,shasum,30,1.000,4.373,4248576.000,1,0,env,10,1.000,1.566,4337664.000,1,0,112.640,109.270,14297527637.333,14325286741.333,10,0
nodeinfo,0,1.000,0.136,76421120.000,1,0,shasum,30,1.000,3.478,4492288.000,1,0,env,10,1.000,1.769,4382720.000,1,0,129.200,111.650,14320576512.000,14327015594.667,10,0
nodeinfo,0,1.000,0.131,76642645.333,1,0,shasum,30,1.000,4.060,6500352.000,1,0,env,20,1.000,2.737,4610048.000,1,0,131.920,121.700,14295063893.333,14309144746.667,10,0
nodeinfo,0,1.000,0.118,76853248.000,1,0,shasum,30,1.000,4.831,4348416.000,1,0,env,20,1.000,2.428,4052992.000,1,0,130.160,117.224,14296145237.333,14316731050.667,10,0
nodeinfo,0,1.000,0.125,76992341.333,1,0,shasum,30,1.000,4.680,4399104.000,1,0,env,20,1.000,1.819,5393408.000,1,0,142.160,118.160,14311161856.000,14322476202.667,10,0
nodeinfo,0,1.000,0.173,76712960.000,1,0,shasum,30,1.000,3.643,3976192.000,1,0,env,30,1.000,2.935,4397056.000,1,0,134.840,125.660,14304754346.667,14313069909.333,10,0
nodeinfo,0,1.000,0.144,76756480.000,1,0,shasum,30,1.000,3.170,3982336.000,1,0,env,30,1.000,3.873,4331520.000,1,0,135.800,122.460,14302367744.000,14314178389.333,10,0
nodeinfo,0,1.000,0.117,76841472.000,1,0,shasum,30,1.000,4.168,6066176.000,1,0,env,30,1.000,4.173,4355072.000,1,0,148.120,122.070,14305400149.333,14318860117.333,10,0
nodeinfo,0,1.000,0.140,76913152.000,1,0,shasum,30,1.000,4.036,4188160.000,1,0,env,40,1.000,3.869,4314624.000,1,0,137.320,131.540,14303371946.667,14322190506.667,10,0
nodeinfo,0,1.000,0.109,77050880.000,1,0,shasum,30,1.000,3.053,18146645.333,1,0,env,40,1.000,4.315,4339712.000,1,0,138.960,127.630,14308907008.000,14320043178.667,10,0
nodeinfo,0,1.000,0.132,77172053.333,1,0,shasum,30,1.000,4.805,4257792.000,1,0,env,40,1.000,5.289,4250112.000,1,0,155.680,131.130,14308331520.000,14323711488.000,10,0
nodeinfo,0,1.000,0.141,77064192.000,1,0,shasum,30,1.000,3.872,4743168.000,1,0,env,50,1.000,7.265,4935680.000,1,0,144.600,137.230,14310023850.667,14326495573.333,10,0
nodeinfo,0,1.000,0.107,77106346.667,1,0,shasum,30,1.000,4.437,4368384.000,5,0,env,50,1.000,5.982,4563968.000,5,0,146.640,131.440,14314943146.667,14327513088.000,10,0
nodeinfo,0,1.000,0.134,77244416.000,1,0,shasum,30,1.000,4.371,4647936.000,5,0,env,50,1.000,5.371,3708245.333,5,0,140.200,135.330,14319055530.667,14330605226.667,10,0
nodeinfo,0,1.000,0.165,77228714.667,1,0,shasum,40,1.000,4.434,3854336.000,5,0,env,0,1.000,3.545,3849216.000,1,0,133.600,122.120,14309362346.667,14323012096.000,10,0
nodeinfo,0,1.000,0.124,77400064.000,1,0,shasum,40,1.000,5.403,5431808.000,9,0,env,0,1.000,0.073,11509760.000,1,0,97.680,94.010,14286346240.000,14299562496.000,10,0
nodeinfo,0,1.000,0.120,77658794.667,1,0,shasum,40,1.000,5.308,4428288.000,13,0,env,0,1.000,0.080,11509760.000,1,0,122.360,107.910,14345207808.000,14389925888.000,10,0
nodeinfo,0,1.000,0.120,77488640.000,1,0,shasum,40,1.000,3.980,3529386.667,5,0,env,10,1.000,0.476,11509760.000,5,0,103.480,121.090,14444718080.000,14470929066.667,20,0
nodeinfo,0,1.000,0.126,77650602.667,1,0,shasum,40,1.000,5.243,3627690.667,13,0,env,10,1.000,1.332,4044288.000,5,0,140.440,142.250,14358891861.333,14385886720.000,10,0
nodeinfo,0,1.000,0.137,77839872.000,1,0,shasum,40,1.000,5.310,7981568.000,20,1,env,10,1.000,1.185,4085760.000,5,0,132.520,138.740,14452009642.667,14510010368.000,10,1
nodeinfo,0,1.000,0.137,77611520.000,1,0,shasum,50,1.000,5.200,4366848.000,5,0,env,0,1.000,0.277,3406506.667,1,0,134.840,132.850,14595472725.333,14587301546.667,20,0
