function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,49.240,49.240,14526671530.667,14526671530.667,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,50.960,50.960,14529075882.667,14529075882.667,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,49.880,49.880,14530140842.667,14530140842.667,10,0
nodeinfo,0,1.000,0.143,21805056.000,1,0,shasum,0,1.000,0.083,5560832.000,1,0,cows,10,1.000,1.706,23733248.000,1,0,45.960,50.230,14527771306.667,14528592042.667,10,0
nodeinfo,0,1.000,0.136,22258346.667,1,0,shasum,0,1.000,0.080,6044160.000,1,0,cows,10,1.000,2.478,5554176.000,1,0,86.280,96.930,14557553322.667,14538132480.000,10,0
nodeinfo,0,1.000,0.108,22647808.000,1,0,shasum,0,1.000,0.083,6564352.000,1,0,cows,10,1.000,3.035,13795328.000,1,0,74.120,79.104,14456436736.000,14487505408.000,10,0
nodeinfo,0,1.000,0.128,23253504.000,1,0,shasum,0,1.000,0.082,6944768.000,1,0,cows,20,1.000,3.499,6651904.000,1,0,81.400,82.080,14473342976.000,14499417770.667,10,0
nodeinfo,0,1.000,0.142,23816192.000,1,0,shasum,0,1.000,0.087,7213568.000,1,0,cows,20,1.000,3.246,14131200.000,1,0,95.360,113.503,14478454784.000,14513840128.000,10,0
nodeinfo,0,1.000,0.139,24816128.000,1,0,shasum,0,1.000,0.075,7535616.000,1,0,cows,20,1.000,2.812,6803456.000,1,0,83.143,83.506,14487565653.333,14494628352.000,10,0
nodeinfo,0,1.000,0.131,25127936.000,1,0,shasum,0,1.000,0.074,7829504.000,1,0,cows,30,1.000,2.972,5419008.000,1,0,82.560,101.220,14488704341.333,14518108330.667,10,0
nodeinfo,0,1.000,0.149,25598464.000,1,0,shasum,0,1.000,0.065,8068096.000,1,0,cows,30,1.000,4.390,14770176.000,1,0,93.984,89.616,14495967914.667,14499657728.000,10,0
nodeinfo,0,1.000,0.126,24610816.000,1,0,shasum,0,1.000,0.090,8366592.000,1,0,cows,30,1.000,5.001,13438976.000,1,0,86.880,104.790,14490692266.667,14522284544.000,10,0
nodeinfo,0,1.000,0.133,24898560.000,1,0,shasum,0,1.000,0.086,8796160.000,1,0,cows,40,1.000,5.956,13715456.000,1,0,89.000,91.520,14493138944.000,14500619946.667,10,0
nodeinfo,0,1.000,0.127,25107456.000,1,0,shasum,0,1.000,0.077,8786432.000,1,0,cows,40,1.000,5.306,38856704.000,1,0,96.440,93.190,14505327274.667,14507600042.667,10,0
nodeinfo,0,1.000,0.106,24944128.000,1,0,shasum,0,1.000,0.094,8834048.000,1,0,cows,40,1.000,4.206,5206016.000,1,0,89.920,108.180,14503395328.000,14532188160.000,10,0
nodeinfo,0,1.000,0.118,25034581.333,1,0,shasum,0,1.000,0.080,8875520.000,1,0,cows,50,1.000,5.140,7225344.000,5,0,95.920,101.370,14510967466.667,14523394901.333,10,0
nodeinfo,0,1.000,0.117,25146368.000,1,0,shasum,0,1.000,0.074,8881664.000,1,0,cows,50,1.000,7.044,16515072.000,1,0,127.280,122.130,14551977984.000,14537008128.000,10,0
nodeinfo,0,1.000,0.125,25399808.000,1,0,shasum,0,1.000,0.079,8894805.333,1,0,cows,50,0.999,6.006,40709632.000,1,0,96.440,97.290,14518455637.333,14527990442.667,10,0
nodeinfo,0,1.000,0.126,25430528.000,1,0,shasum,10,1.000,0.771,3248128.000,1,0,cows,0,1.000,3.208,5251072.000,1,0,103.680,85.040,14521301674.667,14527236437.333,10,0
nodeinfo,0,1.000,0.133,25776298.667,1,0,shasum,10,1.000,1.158,4464128.000,1,0,cows,0,1.000,0.112,44440405.333,1,0,81.000,74.450,14501997909.333,14518836736.000,10,0
nodeinfo,0,1.000,0.131,26155008.000,1,0,shasum,10,1.000,1.656,3784704.000,1,0,cows,0,1.000,0.087,44527616.000,1,0,84.240,89.590,14512646144.000,14543278762.667,10,0
nodeinfo,0,1.000,0.132,26484736.000,1,0,shasum,10,1.000,1.426,3612160.000,5,0,cows,10,1.000,1.055,11587584.000,5,0,96.320,95.210,14531245397.333,14546980352.000,10,0
nodeinfo,0,1.000,0.143,26809514.667,1,0,shasum,10,1.000,1.261,3882496.000,5,0,cows,10,1.000,2.043,17238698.667,5,0,117.880,108.850,14581527210.667,14577995776.000,10,0
nodeinfo,0,1.000,0.118,27052544.000,1,0,shasum,10,1.000,1.379,3891200.000,5,0,cows,10,1.000,2.561,44487680.000,5,0,114.000,108.130,14574654122.667,14575584085.333,10,0
nodeinfo,0,1.000,0.215,27274240.000,1,0,shasum,10,1.000,1.192,3485184.000,5,0,cows,20,1.000,2.833,4296704.000,5,0,107.640,110.260,14575839232.000,14559683072.000,10,0
nodeinfo,0,1.000,0.144,27415040.000,1,0,shasum,10,1.000,1.460,4497408.000,5,0,cows,20,1.000,7.190,12396544.000,13,0,118.320,131.370,14527136426.667,14629068629.333,10,0
nodeinfo,0,1.000,0.125,27604480.000,1,0,shasum,10,1.000,1.826,4345344.000,5,0,cows,20,1.000,2.974,4431872.000,5,0,131.200,135.580,14776588970.667,14687370581.333,10,0
nodeinfo,0,1.000,0.115,27720704.000,1,0,shasum,10,1.000,1.338,3489792.000,5,0,cows,30,1.000,7.275,16479744.000,13,0,117.720,133.880,14558932992.000,14657462954.667,10,0
nodeinfo,0,1.000,0.141,27869696.000,1,0,shasum,10,1.000,1.658,4095488.000,5,0,cows,30,1.000,11.207,25902080.000,20,1,132.720,146.000,14809991168.000,14904488789.333,10,1
nodeinfo,0,1.000,0.119,25689088.000,1,0,shasum,10,1.000,1.170,4467370.667,1,0,cows,30,1.000,4.593,26611712.000,5,0,144.360,133.890,15030676138.667,14857556821.333,20,0
