function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,87.200,87.200,14746064213.333,14746064213.333,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,73.560,73.560,14721709397.333,14721709397.333,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,69.880,69.880,14706706432.000,14706706432.000,10,0
nodeinfo,0,1.000,0.155,59470848.000,1,0,shasum,0,1.000,0.083,8046080.000,1,0,nmap,10,1.000,28.520,23463424.000,5,0,61.200,110.750,14706412885.333,14717769728.000,10,0
nodeinfo,0,1.000,0.241,59868672.000,1,0,shasum,0,1.000,0.078,8853674.667,1,0,nmap,10,1.000,58.019,6875136.000,5,0,144.960,150.390,14728747690.667,14735055530.667,10,0
nodeinfo,0,1.000,0.142,60124160.000,1,0,shasum,0,1.000,0.083,9373184.000,1,0,nmap,10,1.000,59.562,38840320.000,5,0,153.520,148.180,14718355456.000,14723516586.667,10,0
nodeinfo,0,1.000,0.131,60757504.000,1,0,shasum,0,1.000,0.073,9802752.000,1,0,nmap,20,0.532,94.197,7102464.000,1,1,158.200,173.182,14718408704.000,14790939648.000,10,1
nodeinfo,0,1.000,0.135,61755392.000,1,0,shasum,0,1.000,0.075,10224128.000,1,0,nmap,20,0.452,98.561,2859008.000,1,1,173.000,179.582,14773006336.000,14775239680.000,10,1
nodeinfo,0,1.000,0.124,63103829.333,1,0,shasum,0,1.000,0.062,10656768.000,1,0,nmap,20,0.328,95.109,3055616.000,1,1,160.960,172.966,14771384320.000,14776496298.667,10,1
nodeinfo,0,1.000,0.129,63706624.000,1,0,shasum,10,1.000,1.143,11706368.000,1,0,nmap,0,1.000,51.986,53696000.000,1,0,168.960,98.669,14740013738.667,14691160917.333,10,0
nodeinfo,0,1.000,0.163,63197866.667,1,0,shasum,10,1.000,1.362,3710464.000,1,0,nmap,0,1.000,0.158,43671552.000,1,0,79.280,76.470,14663533226.667,14679351637.333,10,0
nodeinfo,0,1.000,0.135,63182848.000,1,0,shasum,10,1.000,1.404,3998208.000,1,0,nmap,0,1.000,0.202,43682645.333,1,0,82.720,82.050,14675655338.667,14679951701.333,10,0
nodeinfo,0,1.000,0.134,63370752.000,1,0,shasum,10,1.000,1.348,5726208.000,5,0,nmap,10,1.000,35.673,47244800.000,5,0,89.520,124.110,14673162922.667,14690848938.667,10,0
nodeinfo,0,1.000,0.124,63161685.333,1,0,shasum,10,1.000,1.823,13234688.000,5,0,nmap,10,1.000,46.255,9822208.000,5,0,172.000,169.840,14707606186.667,14735163733.333,10,0
nodeinfo,0,1.000,0.120,63169024.000,1,0,shasum,10,1.000,1.135,13249536.000,5,0,nmap,10,1.000,77.077,10309632.000,5,0,175.360,172.890,14728374272.000,14748069034.667,10,0
nodeinfo,0,1.000,0.112,63306137.600,1,0,shasum,10,1.000,1.535,4218060.800,9,0,nmap,20,0.450,94.349,8822784.000,1,1,185.440,194.983,14740609024.000,14839712017.067,10,1
nodeinfo,0,1.000,0.154,63655389.867,1,0,shasum,10,1.000,1.174,14252851.200,9,0,nmap,20,0.333,105.952,3014656.000,1,1,207.760,200.897,14887174144.000,14877628962.133,10,1
nodeinfo,0,1.000,0.161,66709913.600,1,0,shasum,10,1.000,1.156,2850816.000,5,0,nmap,20,0.302,99.302,3325952.000,1,1,187.911,190.739,14887464277.333,14882789239.467,10,1
nodeinfo,0,1.000,0.124,67988992.000,1,0,shasum,20,1.000,1.477,2973696.000,5,0,nmap,0,1.000,33.791,53770240.000,1,0,166.200,111.900,14813655040.000,14760289450.667,10,0
nodeinfo,0,1.000,0.146,68320768.000,1,0,shasum,20,1.000,3.357,17589248.000,5,0,nmap,0,1.000,0.207,46780416.000,1,0,86.440,86.540,14703901354.667,14722243754.667,10,0
nodeinfo,0,1.000,0.134,68571648.000,1,0,shasum,20,1.000,3.014,4593834.667,5,0,nmap,0,1.000,0.223,46828544.000,1,0,96.200,85.930,14710379861.333,14712911189.333,10,0
nodeinfo,0,1.000,0.145,68529152.000,1,0,shasum,20,1.000,2.121,6164480.000,5,0,nmap,10,1.000,39.972,49829717.333,5,0,97.680,136.560,14696790016.000,14695037440.000,10,0
nodeinfo,0,1.000,0.209,68646400.000,1,0,shasum,20,1.000,2.563,17397760.000,5,0,nmap,10,1.000,69.221,9138176.000,5,0,170.800,170.356,14689856170.667,14734503936.000,10,0
nodeinfo,0,1.000,0.180,68823040.000,1,0,shasum,20,1.000,2.902,17481728.000,5,0,nmap,10,1.000,47.629,5671936.000,5,0,186.920,177.470,14736902826.667,14748829525.333,10,0
nodeinfo,0,1.000,0.140,68748902.400,1,0,shasum,20,1.000,2.413,17630139.733,9,0,nmap,20,0.252,93.487,10326016.000,1,1,187.440,190.450,14733228714.667,14830025113.600,10,1
nodeinfo,0,1.000,0.125,68782626.133,1,0,shasum,20,1.000,2.148,2977792.000,9,0,nmap,20,0.263,98.558,2928640.000,1,1,198.400,199.104,14869641898.667,14889729365.333,10,1
nodeinfo,0,1.000,0.131,68902502.400,1,0,shasum,20,1.000,2.556,17885184.000,9,0,nmap,20,0.333,94.972,3276800.000,1,1,197.120,198.439,14907109376.000,14884410026.667,10,1
nodeinfo,0,1.000,0.103,68971008.000,1,0,shasum,30,1.000,3.163,3358720.000,5,0,nmap,0,1.000,45.277,2469888.000,1,0,196.388,152.178,14894643882.667,14817337002.667,10,0
nodeinfo,0,1.000,0.138,69054976.000,1,0,shasum,30,1.000,4.782,18058581.333,9,0,nmap,0,1.000,0.192,50843648.000,1,0,90.960,92.900,14718633301.333,14747357013.333,10,0
nodeinfo,0,1.000,0.141,69140309.333,1,0,shasum,30,1.000,4.388,18014208.000,13,0,nmap,0,1.000,0.237,50843648.000,1,0,88.480,91.980,14788003157.333,14806312618.667,10,0
nodeinfo,0,1.000,0.113,69254144.000,1,0,shasum,30,1.000,4.403,3543722.667,17,1,nmap,10,1.000,41.712,59390976.000,1,0,104.400,146.460,14853520725.333,14895964330.667,10,1
nodeinfo,0,1.000,0.153,67720704.000,1,0,shasum,30,1.000,3.594,4149077.333,5,0,nmap,10,1.000,45.215,3949056.000,1,0,183.120,166.381,14976593920.000,15027893418.667,20,0
nodeinfo,0,1.000,0.127,66991274.667,1,0,shasum,30,1.000,4.096,0.000,13,0,nmap,10,1.000,70.403,3414016.000,1,0,218.880,205.360,14877669376.000,14875515733.333,10,0
nodeinfo,0,1.000,0.150,64817425.067,1,0,shasum,30,1.000,3.525,2865561.600,5,0,nmap,20,0.215,88.039,3523584.000,1,1,212.191,179.816,14952282112.000,15025264366.933,20,1
nodeinfo,0,1.000,0.136,62023133.867,1,0,shasum,30,1.000,2.264,18133674.667,9,0,nmap,20,0.342,117.350,104071987.200,1,1,179.790,191.161,14882185898.667,14900868437.333,10,1
nodeinfo,0,1.000,0.136,62389316.267,1,0,shasum,30,1.000,3.323,3309568.000,5,0,nmap,20,0.218,93.987,2957312.000,1,1,200.720,194.157,14983427413.333,14952151313.067,10,1
nodeinfo,0,1.000,0.137,62420480.000,1,0,shasum,40,1.000,3.289,2949120.000,5,0,nmap,0,1.000,19.670,66016256.000,1,0,178.296,126.364,14863522474.667,14793796949.333,10,0
nodeinfo,0,1.000,0.126,62514688.000,1,0,shasum,40,1.000,5.033,18745685.333,5,0,nmap,0,1.000,0.172,49807360.000,1,0,95.600,96.420,14725473621.333,14740301312.000,10,0
nodeinfo,0,1.000,0.126,62573056.000,1,0,shasum,40,1.000,5.489,18760192.000,5,0,nmap,0,1.000,0.319,49807360.000,1,0,104.120,97.890,14729814698.667,14732555264.000,10,0
nodeinfo,0,1.000,0.138,62759594.667,1,0,shasum,40,1.000,3.891,18691584.000,5,0,nmap,10,1.000,33.417,51945472.000,5,0,113.240,140.670,14711320576.000,14723979434.667,10,0
nodeinfo,0,1.000,0.120,63085056.000,1,0,shasum,40,1.000,4.128,18528768.000,5,0,nmap,10,1.000,62.108,5524992.000,5,0,185.000,180.710,14732537856.000,14769968128.000,10,0
nodeinfo,0,1.000,0.151,63237973.333,1,0,shasum,40,1.000,5.619,18534912.000,5,0,nmap,10,1.000,51.957,6428672.000,5,0,169.920,178.800,14777984341.333,14796099072.000,10,0
nodeinfo,0,1.000,0.126,63244697.600,1,0,shasum,40,1.000,2.975,18565256.533,17,1,nmap,20,0.243,83.145,10381312.000,1,1,183.920,193.537,14793381205.333,14908161092.267,10,1
nodeinfo,0,1.000,0.123,57674274.133,1,0,shasum,40,1.000,3.790,3272704.000,1,0,nmap,20,0.198,82.391,2990080.000,1,1,200.560,203.880,15069341013.333,15011975850.667,10,1
nodeinfo,0,1.000,0.161,57981337.600,1,0,shasum,40,1.000,2.657,18503270.400,5,0,nmap,20,0.347,101.714,105689088.000,1,1,158.280,182.244,14868956501.333,14858412987.733,10,1
nodeinfo,0,1.000,0.129,58223616.000,1,0,shasum,50,1.000,6.019,18689024.000,5,0,nmap,0,1.000,45.430,79160320.000,1,0,170.240,125.180,14866430634.667,14795554133.333,10,0
nodeinfo,0,1.000,0.152,58282496.000,1,0,shasum,50,1.000,5.153,18582528.000,5,0,nmap,0,1.000,0.162,50397184.000,1,0,92.640,98.940,14733965312.000,14729662293.333,10,0
nodeinfo,0,1.000,0.143,58480640.000,1,0,shasum,50,1.000,5.217,18657280.000,5,0,nmap,0,1.000,0.176,50398720.000,1,0,112.880,100.570,14683462314.667,14691779072.000,10,0
nodeinfo,0,1.000,0.115,58679125.333,1,0,shasum,50,1.000,5.064,4784128.000,5,0,nmap,10,1.000,40.941,55144960.000,5,0,116.880,159.020,14686012074.667,14709899776.000,10,0
nodeinfo,0,1.000,0.116,58754048.000,1,0,shasum,50,1.000,5.583,18677248.000,5,0,nmap,10,1.000,61.171,5602304.000,5,0,179.040,178.700,14719823189.333,14757013504.000,10,0
nodeinfo,0,1.000,0.166,58803200.000,1,0,shasum,50,1.000,6.295,5099520.000,5,0,nmap,10,1.000,53.418,9519104.000,5,0,189.800,182.750,14758327637.333,14758232234.667,10,0
nodeinfo,0,1.000,0.123,58754798.933,1,0,shasum,50,1.000,5.454,20426752.000,5,0,nmap,20,0.168,70.156,36573184.000,1,1,198.560,196.263,14732528298.667,14860378521.600,10,1
nodeinfo,0,1.000,0.132,58882048.000,1,0,shasum,50,1.000,4.323,3194880.000,5,0,nmap,20,0.265,111.227,135331430.400,1,1,173.350,182.385,14867961173.333,14850669772.800,10,1
nodeinfo,0,1.000,0.131,58843545.600,1,0,shasum,50,1.000,3.863,22953984.000,5,0,nmap,20,0.255,107.918,121535419.733,1,1,157.240,180.990,14836501162.667,14845625275.733,10,1
nodeinfo,10,1.000,1.291,60293120.000,5,0,shasum,0,1.000,0.083,22986752.000,1,0,nmap,0,1.000,46.372,89760085.333,1,0,184.040,116.320,14834145962.667,14775971157.333,10,0
nodeinfo,10,1.000,3.430,64841045.333,5,0,shasum,0,1.000,0.079,22988288.000,1,0,nmap,0,1.000,0.158,50274816.000,1,0,88.120,84.370,14731930965.333,14732847274.667,10,0
nodeinfo,10,1.000,2.964,66882389.333,5,0,shasum,0,1.000,0.089,22990848.000,1,0,nmap,0,1.000,0.233,50257920.000,1,0,82.280,80.130,14727929856.000,14728852309.333,10,0
nodeinfo,10,1.000,3.162,68258304.000,5,0,shasum,0,1.000,0.072,22990848.000,1,0,nmap,10,1.000,46.130,56104448.000,5,0,80.800,120.463,14714879317.333,14723530752.000,10,0
nodeinfo,10,1.000,1.602,8069120.000,5,0,shasum,0,1.000,0.083,22990848.000,1,0,nmap,10,1.000,61.353,5914624.000,5,0,160.749,170.777,14756531541.333,14762678442.667,10,0
nodeinfo,10,1.000,2.155,6074368.000,5,0,shasum,0,1.000,0.071,22990848.000,1,0,nmap,10,1.000,51.036,6123008.000,5,0,172.320,175.640,14756711765.333,14771493888.000,10,0
nodeinfo,10,1.000,2.159,2805760.000,1,0,shasum,0,1.000,0.061,22990848.000,1,0,nmap,20,0.332,94.350,7077888.000,1,1,171.760,185.519,14762839381.333,14841840981.333,10,1
nodeinfo,10,1.000,1.741,69123686.400,9,0,shasum,0,1.000,0.073,22990848.000,1,0,nmap,20,0.372,112.750,120209408.000,1,1,196.120,197.156,14924121429.333,14879373858.133,10,1
nodeinfo,10,1.000,2.001,5713920.000,9,0,shasum,0,1.000,0.070,22990848.000,1,0,nmap,20,0.345,110.539,2838528.000,1,1,205.360,207.116,14906124288.000,14876392243.200,10,1
nodeinfo,10,1.000,1.636,6041600.000,5,0,shasum,10,1.000,1.104,23159808.000,5,0,nmap,0,1.000,26.595,2736128.000,1,0,201.160,150.350,14867290112.000,14801824085.333,10,0
nodeinfo,10,0.997,3.346,69674496.000,5,0,shasum,10,1.000,1.570,23046485.333,5,0,nmap,0,1.000,0.197,50555904.000,1,0,104.280,103.400,14757895509.333,14785533781.333,10,0
nodeinfo,10,1.000,3.739,13103104.000,5,0,shasum,10,1.000,1.332,4542464.000,5,0,nmap,0,1.000,0.258,50540544.000,1,0,116.880,104.970,14763187541.333,14773819904.000,10,0
nodeinfo,10,1.000,3.917,69483520.000,5,0,shasum,10,1.000,1.452,5263360.000,5,0,nmap,10,1.000,46.626,58388309.333,5,0,114.240,148.430,14765689514.667,14792533333.333,10,0
nodeinfo,10,1.000,1.862,69556906.667,5,0,shasum,10,1.000,1.432,23050240.000,5,0,nmap,10,1.000,51.209,5240832.000,5,0,190.200,187.770,14798495061.333,14847446186.667,10,0
nodeinfo,10,1.000,2.186,69764608.000,5,0,shasum,10,1.000,1.074,23049728.000,5,0,nmap,10,1.000,83.490,6012928.000,5,0,188.680,193.820,14822224554.667,14859363669.333,10,0
nodeinfo,10,1.000,2.188,4358144.000,1,0,shasum,10,1.000,1.171,22995217.067,1,0,nmap,20,0.210,74.198,6739968.000,1,1,194.640,200.496,14858857130.667,14943914803.200,10,1
nodeinfo,10,1.000,1.819,69162598.400,5,0,shasum,10,1.000,1.335,2969600.000,5,0,nmap,20,0.243,102.742,3469312.000,1,1,209.800,208.811,14998540970.667,14985305429.333,10,1
