function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,37.720,37.720,2845391530.667,2845391530.667,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,36.280,36.280,2839660544.000,2839660544.000,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,37.400,37.400,2839006549.333,2839006549.333,10,0
nodeinfo,0,1.000,0.135,38187690.667,1,0,shasum,0,1.000,0.076,6811648.000,1,0,curl,10,1.000,4.451,22372864.000,1,0,44.480,56.990,2840847018.667,2838508032.000,10,0
nodeinfo,0,1.000,0.112,38994432.000,1,0,shasum,0,1.000,0.074,7521792.000,1,0,curl,10,1.000,7.131,4390912.000,5,0,71.600,87.030,2783277738.667,2776707584.000,10,0
nodeinfo,0,1.000,0.125,39504896.000,1,0,shasum,0,1.000,0.079,8171349.333,1,0,curl,10,1.000,7.405,2494464.000,5,0,99.760,87.720,2786656938.667,2797569194.667,10,0
nodeinfo,0,1.000,0.126,39892138.667,1,0,shasum,0,1.000,0.070,8475136.000,1,0,curl,20,1.000,11.336,2969600.000,5,0,83.520,87.980,2802653184.000,2813157205.333,10,0
nodeinfo,0,1.000,0.164,40692736.000,1,0,shasum,0,1.000,0.057,8756224.000,1,0,curl,20,1.000,13.474,7904256.000,9,0,84.760,86.590,2800142336.000,2819520512.000,10,0
nodeinfo,0,1.000,0.127,41454592.000,1,0,shasum,0,1.000,0.061,9008640.000,1,0,curl,20,1.000,13.760,10346325.333,13,0,97.360,91.030,2868616533.333,2893088256.000,10,0
nodeinfo,0,1.000,0.118,41743872.000,1,0,shasum,0,1.000,0.075,9324032.000,1,0,curl,30,1.000,15.919,10917376.000,17,1,115.720,109.240,2941257045.333,2979409066.667,10,1
nodeinfo,0,1.000,0.147,41782784.000,1,0,shasum,0,1.000,0.065,9645568.000,1,0,curl,30,1.000,10.346,10720597.333,5,0,113.520,137.020,3051713877.333,3034941440.000,20,0
nodeinfo,0,1.000,0.129,41285120.000,1,0,shasum,0,1.000,0.094,10036224.000,1,0,curl,30,1.000,15.700,7366826.667,1,0,223.720,156.700,2868445184.000,2878558208.000,10,0
nodeinfo,0,1.000,0.113,41588224.000,1,0,shasum,0,1.000,0.066,10203648.000,1,0,curl,40,1.000,16.891,34634240.000,1,0,123.560,114.700,2871434581.333,2877121194.667,10,0
nodeinfo,0,1.000,0.134,41611946.667,1,0,shasum,0,1.000,0.070,10279253.333,1,0,curl,40,1.000,25.070,6676480.000,1,0,116.320,126.870,2868192597.333,2879931221.333,10,0
nodeinfo,0,1.000,0.127,41675264.000,1,0,shasum,0,1.000,0.090,10340864.000,1,0,curl,40,1.000,24.154,4974592.000,1,0,120.400,118.880,2877683029.333,2886077098.667,10,0
nodeinfo,0,1.000,0.118,41864192.000,1,0,shasum,0,1.000,0.072,10372608.000,1,0,curl,50,1.000,22.479,33325568.000,1,0,128.120,132.180,2881463637.333,2887681877.333,10,0
nodeinfo,0,1.000,0.140,41925632.000,1,0,shasum,0,1.000,0.062,10383360.000,1,0,curl,50,1.000,28.461,7391232.000,1,0,125.880,132.750,2875822080.000,2887220053.333,10,0
nodeinfo,0,1.000,0.137,42064384.000,1,0,shasum,0,1.000,0.081,10454528.000,1,0,curl,50,1.000,26.344,3336874.667,1,0,134.720,130.630,2882894506.667,2892802048.000,10,0
nodeinfo,0,1.000,0.128,42188288.000,1,0,shasum,10,1.000,0.983,11027968.000,1,0,curl,0,1.000,17.090,5176320.000,1,0,137.720,89.860,2890506240.000,2885781674.667,10,0
nodeinfo,0,1.000,0.127,42524672.000,1,0,shasum,10,1.000,1.205,11949568.000,1,0,curl,0,1.000,0.172,30068736.000,1,0,71.800,68.560,2870995626.667,2877665280.000,10,0
nodeinfo,0,1.000,0.123,42914816.000,1,0,shasum,10,1.000,1.164,2887680.000,1,0,curl,0,1.000,0.144,30069248.000,1,0,84.760,82.870,2879269546.667,2901014698.667,10,0
nodeinfo,0,1.000,0.125,43359744.000,1,0,shasum,10,1.000,1.285,12021930.667,1,0,curl,10,1.000,2.702,31654570.667,1,0,82.120,79.430,2885267456.000,2885476010.667,10,0
nodeinfo,0,1.000,0.149,43446784.000,1,0,shasum,10,1.000,1.569,11960320.000,1,0,curl,10,1.000,6.874,5352448.000,1,0,103.360,100.380,2901883562.667,2923153408.000,10,0
nodeinfo,0,1.000,0.171,43620864.000,1,0,shasum,10,1.000,0.897,3570346.667,1,0,curl,10,1.000,6.087,3942912.000,1,0,116.280,102.610,2918196565.333,2929610922.667,10,0
nodeinfo,0,1.000,0.137,43795968.000,1,0,shasum,10,1.000,1.323,2682880.000,5,0,curl,20,1.000,10.619,3297280.000,5,0,116.480,109.100,2918896981.333,2938637482.667,10,0
nodeinfo,0,1.000,0.138,43844096.000,1,0,shasum,10,1.000,1.229,3978240.000,5,0,curl,20,1.000,13.180,4040021.333,5,0,114.720,117.440,2934372352.000,2949134677.333,10,0
nodeinfo,0,1.000,0.112,43853312.000,1,0,shasum,10,1.000,1.693,3026944.000,5,0,curl,20,1.000,12.035,2859008.000,5,0,114.600,114.800,2950520149.333,2960967509.333,10,0
nodeinfo,0,1.000,0.122,43915776.000,1,0,shasum,10,1.000,1.322,4659882.667,5,0,curl,30,1.000,16.752,5029888.000,13,0,114.840,133.730,2952275285.333,3021685418.667,10,0
nodeinfo,0,1.000,0.128,43965952.000,1,0,shasum,10,1.000,1.696,12192256.000,5,0,curl,30,1.000,20.320,9814528.000,20,1,134.800,147.000,3129649834.667,3200226133.333,10,1
