function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,51.600,51.600,4360723797.333,4360723797.333,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,48.440,48.440,4358871722.667,4358871722.667,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,46.880,46.880,4356582741.333,4356582741.333,10,0
nodeinfo,0,1.000,0.130,21575680.000,1,0,env,0,1.000,0.078,5935445.333,1,0,cows,10,1.000,1.191,5373952.000,1,0,50.760,59.210,4355408554.667,4361199104.000,10,0
nodeinfo,0,1.000,0.144,22489600.000,1,0,env,0,1.000,0.078,6489088.000,1,0,cows,10,1.000,1.289,5496832.000,1,0,86.960,86.650,4405731328.000,4413464576.000,10,0
nodeinfo,0,1.000,0.134,23221077.333,1,0,env,0,1.000,0.089,6977536.000,1,0,cows,10,1.000,2.383,14763520.000,1,0,83.120,84.360,4419063125.333,4419068928.000,10,0
nodeinfo,0,1.000,0.128,23837696.000,1,0,env,0,1.000,0.089,7297706.667,1,0,cows,20,1.000,3.552,6098944.000,1,0,86.920,88.820,4417107968.000,4415539200.000,10,0
nodeinfo,0,1.000,0.147,24510805.333,1,0,env,0,1.000,0.082,7602517.333,1,0,cows,20,1.000,4.769,5361664.000,1,0,105.040,114.500,4424866474.667,4445744981.333,10,0
nodeinfo,0,1.000,0.153,25371648.000,1,0,env,0,1.000,0.094,8101376.000,1,0,cows,20,1.000,2.759,7761920.000,1,0,91.600,91.140,4422378154.667,4423035050.667,10,0
nodeinfo,0,1.000,0.119,25707520.000,1,0,env,0,1.000,0.072,8278528.000,1,0,cows,30,1.000,3.806,7761920.000,1,0,91.760,95.110,4424707413.333,4427672746.667,10,0
nodeinfo,0,1.000,0.153,26092544.000,1,0,env,0,1.000,0.109,8653824.000,1,0,cows,30,1.000,2.515,7163904.000,1,0,98.640,101.890,4428167168.000,4432529066.667,10,0
nodeinfo,0,1.000,0.155,25188864.000,1,0,env,0,1.000,0.074,8812544.000,1,0,cows,30,1.000,4.214,15596544.000,1,0,99.560,101.760,4429982378.667,4430529706.667,10,0
nodeinfo,0,1.000,0.136,25243648.000,1,0,env,0,1.000,0.084,8801792.000,1,0,cows,40,1.000,4.512,16401920.000,1,0,108.000,106.930,4429170005.333,4434998272.000,10,0
nodeinfo,0,1.000,0.153,25464832.000,1,0,env,0,1.000,0.116,8865280.000,1,0,cows,40,1.000,5.254,5292032.000,1,0,106.160,110.360,4435434837.333,4434994346.667,10,0
nodeinfo,0,1.000,0.110,25469440.000,1,0,env,0,1.000,0.071,8885760.000,1,0,cows,40,1.000,3.884,6787072.000,1,0,121.040,129.690,4442361856.000,4461869568.000,10,0
nodeinfo,0,1.000,0.146,25656320.000,1,0,env,0,1.000,0.081,8907264.000,1,0,cows,50,1.000,5.551,6033408.000,5,0,110.960,111.290,4441207466.667,4447355221.333,10,0
nodeinfo,0,1.000,0.166,25830400.000,1,0,env,0,1.000,0.117,8960000.000,1,0,cows,50,1.000,7.524,5570560.000,1,0,110.277,112.299,4459189589.333,4436854442.667,10,0
nodeinfo,0,1.000,0.123,25891328.000,1,0,env,0,1.000,0.088,8974336.000,1,0,cows,50,1.000,8.901,15706794.667,5,0,121.800,113.920,4438336170.667,4440240640.000,10,0
nodeinfo,0,1.000,0.129,26013013.333,1,0,env,10,1.000,0.770,9313792.000,1,0,cows,0,1.000,2.795,7467008.000,1,0,118.480,92.360,4457428992.000,4435257856.000,10,0
nodeinfo,0,1.000,0.162,26362368.000,1,0,env,10,1.000,1.801,3606528.000,5,0,cows,0,1.000,0.126,44786176.000,1,0,85.440,98.955,4406720512.000,4420140544.000,10,0
nodeinfo,0,1.000,0.124,26643968.000,1,0,env,10,1.000,1.447,3774464.000,5,0,cows,0,1.000,0.106,45012992.000,1,0,106.560,106.360,4444275370.667,4461346645.333,10,0
nodeinfo,0,1.000,0.157,27160064.000,1,0,env,10,1.000,2.021,2732032.000,5,0,cows,10,1.000,1.137,9691136.000,5,0,121.320,124.310,4454081877.333,4480288256.000,10,0
nodeinfo,0,1.000,0.143,27287040.000,1,0,env,10,1.000,1.999,3072000.000,5,0,cows,10,1.000,2.226,7127040.000,5,0,117.953,135.178,4516201130.667,4510560768.000,10,0
nodeinfo,0,1.000,0.238,27129173.333,1,0,env,10,1.000,1.273,4090880.000,5,0,cows,10,1.000,1.648,5332992.000,5,0,116.320,115.410,4525522944.000,4509839701.333,10,0
nodeinfo,0,1.000,0.240,27215872.000,1,0,env,10,1.000,1.576,3770880.000,5,0,cows,20,1.000,2.082,5332992.000,5,0,133.680,127.830,4512621226.667,4511270400.000,10,0
