function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
shasum,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,63.480,63.480,6698444117.333,6698444117.333,10,0
shasum,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,64.840,64.840,6699776682.667,6699776682.667,10,0
shasum,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,65.960,65.960,6700537173.333,6700537173.333,10,0
shasum,0,1.000,0.079,5443072.000,1,0,cows,0,1.000,0.107,21939370.667,1,0,curl,10,1.000,5.345,2715648.000,5,0,66.800,82.420,6699490645.333,6712692394.667,10,0
shasum,0,1.000,0.078,5945685.333,1,0,cows,0,1.000,0.109,22585514.667,1,0,curl,10,1.000,7.108,5870592.000,1,0,101.280,97.880,6751315968.000,6765770752.000,10,0
shasum,0,1.000,0.079,6284800.000,1,0,cows,0,1.000,0.119,23352320.000,1,0,curl,10,1.000,6.053,7458816.000,1,0,110.720,107.090,6760137386.667,6752831658.667,10,0
shasum,0,1.000,0.078,6608896.000,1,0,cows,0,1.000,0.128,24145920.000,1,0,curl,20,1.000,12.843,5021696.000,1,0,116.160,117.040,6714920277.333,6715174058.667,10,0
shasum,0,1.000,0.073,6955520.000,1,0,cows,0,1.000,0.112,25049088.000,1,0,curl,20,1.000,13.394,4206080.000,1,0,139.800,138.230,6714070357.333,6744036181.333,10,0
shasum,0,1.000,0.081,7322624.000,1,0,cows,0,1.000,0.118,25289898.667,1,0,curl,20,1.000,8.793,4748629.333,1,0,136.680,122.010,6728714922.667,6724600661.333,10,0
shasum,0,1.000,0.076,7601322.667,1,0,cows,0,1.000,0.116,25436160.000,1,0,curl,30,1.000,14.678,5300736.000,5,0,145.440,146.420,6726176085.333,6756026368.000,10,0
