function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,72.720,72.720,7034119509.333,7034119509.333,10,0
env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,70.680,70.680,7035822080.000,7035822080.000,10,0
env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,64.800,64.800,7037810688.000,7037810688.000,10,0
env,0,1.000,0.081,5650944.000,1,0,cows,0,1.000,0.122,68397056.000,1,0,nmap,10,1.000,33.654,12929706.667,1,0,64.880,113.477,7037732181.333,7043576661.333,10,0
env,0,1.000,0.060,6189568.000,1,0,cows,0,1.000,0.188,68308138.667,1,0,nmap,10,1.000,56.257,19268778.667,1,0,141.215,156.154,7070242133.333,7052836864.000,10,0
env,0,1.000,0.083,6450176.000,1,0,cows,0,1.000,0.106,68619605.333,1,0,nmap,10,1.000,53.666,18991104.000,1,0,164.680,161.840,7029043882.667,7036227584.000,10,0
env,0,1.000,0.077,6929203.200,1,0,cows,0,1.000,0.111,69222400.000,1,0,nmap,20,0.348,95.952,87136802.133,5,1,158.280,181.095,7023084202.667,7142130210.133,10,1
env,0,1.000,0.075,7349725.867,1,0,cows,0,1.000,0.112,70440960.000,1,0,nmap,20,0.455,125.168,2899968.000,1,1,179.368,185.568,7168907264.000,7153116501.333,10,1
env,0,1.000,0.079,7688192.000,1,0,cows,0,1.000,0.089,71091200.000,1,0,nmap,20,0.492,111.024,2678784.000,5,1,181.396,195.196,7172850346.667,7141515946.667,10,1
env,0,1.000,0.094,8079872.000,1,0,cows,10,1.000,1.327,71776768.000,5,0,nmap,0,1.000,31.912,64370688.000,1,0,193.564,134.101,7163145557.333,7110058666.667,10,0
env,0,1.000,0.091,8364202.667,1,0,cows,10,1.000,2.801,75529728.000,1,0,nmap,0,1.000,0.266,30452565.333,1,0,95.280,90.970,7104582997.333,7079250773.333,10,0
env,0,1.000,0.078,8454144.000,1,0,cows,10,1.000,1.746,77394432.000,5,0,nmap,0,1.000,0.176,30476288.000,1,0,95.650,100.120,7052943360.000,7050761216.000,10,0
env,0,1.000,0.087,8488448.000,1,0,cows,10,1.000,2.500,79346688.000,5,0,nmap,10,1.000,41.113,35334144.000,5,0,114.360,144.940,7074553856.000,7058559146.667,10,0
env,0,1.000,0.061,8521898.667,1,0,cows,10,1.000,1.389,81097216.000,5,0,nmap,10,1.000,42.042,47942656.000,5,0,162.640,177.355,7112295082.667,7118867968.000,10,0
env,0,1.000,0.069,8536064.000,1,0,cows,10,1.000,1.832,82095104.000,5,0,nmap,10,1.000,67.826,3491840.000,5,0,172.080,178.093,7120391509.333,7119367168.000,10,0
env,0,1.000,0.067,8564326.400,1,0,cows,10,1.000,1.750,81539891.200,5,0,nmap,20,0.213,100.410,3491840.000,1,1,211.227,211.029,7148787029.333,7251419818.667,10,1
env,0,1.000,0.075,8601600.000,1,0,cows,10,1.000,0.801,81695744.000,5,0,nmap,20,0.507,103.770,64446976.000,5,1,200.289,194.132,7196358656.000,7186528938.667,10,1
env,0,1.000,0.076,8607744.000,1,0,cows,10,1.000,1.178,81763942.400,9,0,nmap,20,0.270,95.523,109993710.933,1,1,209.440,210.379,7288029184.000,7261711018.667,10,1
env,0,1.000,0.069,8663040.000,1,0,cows,20,1.000,1.873,82527232.000,5,0,nmap,0,1.000,26.912,47409664.000,1,0,217.125,163.302,7296462848.000,7190101504.000,10,0
env,0,1.000,0.080,8669184.000,1,0,cows,20,1.000,9.404,82590208.000,13,0,nmap,0,1.000,0.191,33097728.000,1,0,112.000,125.280,7129428650.667,7226995200.000,10,0
env,0,1.000,0.070,8678400.000,1,0,cows,20,1.000,6.028,82792277.333,17,1,nmap,0,1.000,0.204,33075200.000,1,0,236.296,177.636,7368295219.200,7391640064.000,10,1
env,10,1.000,1.031,8929280.000,1,0,cows,0,1.000,0.748,82826410.667,1,0,nmap,0,1.000,0.232,33078784.000,1,0,112.160,126.230,7486141781.333,7304940032.000,20,0
env,10,1.000,1.708,3888640.000,1,0,cows,0,1.000,0.120,82884608.000,1,0,nmap,0,1.000,0.198,33083392.000,1,0,97.120,93.490,7053709312.000,7068610048.000,10,0
env,10,1.000,1.578,9667072.000,1,0,cows,0,1.000,0.111,82176512.000,1,0,nmap,0,1.000,0.196,33095680.000,1,0,108.320,98.900,7062620842.667,7069132117.333,10,0
env,10,1.000,1.747,4329472.000,1,0,cows,0,1.000,0.104,81747968.000,1,0,nmap,10,1.000,33.660,37138432.000,1,0,108.840,140.770,7068736170.667,7081971882.667,10,0
env,10,1.000,1.318,4612096.000,1,0,cows,0,1.000,0.094,81747968.000,1,0,nmap,10,1.000,49.842,40991744.000,1,0,189.840,178.010,7089562965.333,7120006314.667,10,0
env,10,1.000,1.481,9933312.000,1,0,cows,0,1.000,0.110,81392981.333,1,0,nmap,10,1.000,65.290,42022400.000,1,0,189.000,185.651,7117199360.000,7134546432.000,10,0
env,10,1.000,1.668,4280320.000,5,0,cows,0,1.000,0.091,81106124.800,1,0,nmap,20,0.300,71.116,9932390.400,1,1,183.480,193.102,7116279808.000,7218638301.867,10,1
env,10,1.000,0.717,3506176.000,9,0,cows,0,1.000,0.098,81136844.800,1,0,nmap,20,0.380,102.977,115535462.400,1,1,183.177,195.532,7240613205.333,7230800691.200,10,1
env,10,1.000,0.869,10130636.800,5,0,cows,0,1.000,0.095,81167564.800,1,0,nmap,20,0.287,106.767,134516326.400,1,1,186.430,196.350,7274631168.000,7254584251.733,10,1
env,10,1.000,0.542,3207168.000,1,0,cows,10,1.000,1.072,81776640.000,1,0,nmap,0,1.000,48.051,55186090.667,1,0,181.205,132.085,7220049920.000,7156551168.000,10,0
env,10,1.000,1.506,3489792.000,1,0,cows,10,1.000,2.676,82767872.000,1,0,nmap,0,1.000,0.185,33460224.000,1,0,120.680,123.360,7140563626.667,7144722773.333,10,0
env,10,1.000,1.433,3953152.000,1,0,cows,10,1.000,1.936,82824704.000,1,0,nmap,0,1.000,0.256,33473877.333,1,0,135.080,121.620,7125103274.667,7129671168.000,10,0
env,10,1.000,1.440,4605952.000,5,0,cows,10,1.000,1.304,83201194.667,5,0,nmap,10,1.000,23.504,36580352.000,5,0,129.240,160.290,7121065301.333,7148079957.333,10,0
env,10,1.000,1.014,3964928.000,5,0,cows,10,1.000,0.793,83315712.000,5,0,nmap,10,1.000,19.305,57655808.000,5,0,190.560,199.027,7208269824.000,7213652138.667,10,0
env,10,1.000,1.468,3274752.000,5,0,cows,10,1.000,1.337,83458560.000,5,0,nmap,10,1.000,53.045,4337664.000,5,0,204.720,201.193,7200292864.000,7210390016.000,10,0
env,10,1.000,1.028,3307520.000,5,0,cows,10,1.000,1.284,83450265.600,5,0,nmap,20,0.280,93.604,117576362.667,1,1,215.480,206.173,7190021461.333,7261509222.400,10,1
env,10,1.000,1.052,3178496.000,9,0,cows,10,1.000,1.203,83657932.800,9,0,nmap,20,0.360,115.639,140030361.600,1,1,207.040,203.434,7268825088.000,7256244497.067,10,1
env,10,1.000,0.706,2924544.000,5,0,cows,10,1.000,1.678,83937689.600,5,0,nmap,20,0.215,95.766,2752512.000,1,1,217.400,212.102,7380997461.333,7405999581.867,10,1
env,10,1.000,0.708,2662400.000,5,0,cows,20,1.000,1.853,84262400.000,5,0,nmap,0,1.000,34.786,50789888.000,1,0,210.946,166.924,7339371178.667,7231234218.667,10,0
env,10,1.000,1.660,4233898.667,5,0,cows,20,1.000,2.852,84418560.000,5,0,nmap,0,1.000,0.190,35324416.000,1,0,117.600,125.860,7204797098.667,7191200938.667,10,0
env,10,1.000,1.657,2965504.000,5,0,cows,20,0.998,2.305,84352512.000,5,0,nmap,0,1.000,0.195,35359402.667,1,0,136.160,133.180,7191255040.000,7178814293.333,10,0
env,10,1.000,1.492,4777301.333,5,0,cows,20,0.998,6.333,83663360.000,13,0,nmap,10,1.000,48.397,53222912.000,1,0,125.200,171.063,7179498154.667,7276220074.667,10,0
