function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,65.920,65.920,7191261866.667,7191261866.667,10,0
env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,64.440,64.440,7189692416.000,7189692416.000,10,0
env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,64.520,64.520,7188387157.333,7188387157.333,10,0
env,0,1.000,0.086,5973504.000,1,0,cows,0,1.000,0.121,21743616.000,1,0,curl,10,1.000,4.399,22101504.000,1,0,66.680,113.570,7191913813.333,7196594688.000,10,0
env,0,1.000,0.087,6325760.000,1,0,cows,0,1.000,0.120,22426624.000,1,0,curl,10,1.000,7.882,4102144.000,1,0,105.520,116.910,7204131498.667,7195587242.667,10,0
env,0,1.000,0.072,6676821.333,1,0,cows,0,1.000,0.116,23047168.000,1,0,curl,10,1.000,4.953,2904064.000,1,0,108.480,108.600,7155285333.333,7170993322.667,10,0
env,0,1.000,0.076,7026176.000,1,0,cows,0,1.000,0.109,23566848.000,1,0,curl,20,1.000,9.780,5254144.000,1,0,117.760,116.310,7163757226.667,7179256149.333,10,0
env,0,1.000,0.073,7325013.333,1,0,cows,0,1.000,0.120,24944640.000,1,0,curl,20,1.000,11.224,4077056.000,1,0,138.160,141.940,7185636693.333,7213224277.333,10,0
env,0,1.000,0.079,7620608.000,1,0,cows,0,1.000,0.105,25507328.000,1,0,curl,20,1.000,15.119,5820416.000,1,0,135.840,121.120,7194905941.333,7188640256.000,10,0
env,0,1.000,0.074,7972181.333,1,0,cows,0,1.000,0.106,25647104.000,1,0,curl,30,1.000,19.953,4730880.000,5,0,133.560,145.010,7196648789.333,7230893738.667,10,0
env,0,1.000,0.100,8302933.333,1,0,cows,0,1.000,0.127,25008640.000,1,0,curl,30,1.000,20.977,5847040.000,5,0,131.760,138.970,7208314880.000,7210264917.333,10,0
env,0,1.000,0.067,8554496.000,1,0,cows,0,1.000,0.106,25146880.000,1,0,curl,30,1.000,21.696,2863104.000,5,0,149.040,155.090,7217937066.667,7238095530.667,10,0
env,0,1.000,0.063,8579584.000,1,0,cows,0,1.000,0.126,25319936.000,1,0,curl,40,1.000,17.270,4697088.000,17,1,142.600,165.590,7212258645.333,7287292928.000,10,1
env,0,1.000,0.114,8624128.000,1,0,cows,0,1.000,0.119,25321984.000,1,0,curl,40,1.000,18.928,8110080.000,5,0,158.120,154.180,7436182186.667,7438246229.333,20,0
env,0,1.000,0.079,8637098.667,1,0,cows,0,1.000,0.110,25539072.000,1,0,curl,40,1.000,27.066,6145536.000,13,0,188.360,174.090,7292730709.333,7354126336.000,10,0
env,0,1.000,0.080,8654848.000,1,0,cows,0,1.000,0.112,25607680.000,1,0,curl,50,1.000,30.509,9734656.000,1,0,147.480,166.570,7435019605.333,7456355669.333,10,0
env,0,1.000,0.097,8726016.000,1,0,cows,0,1.000,0.114,25710080.000,1,0,curl,50,1.000,35.769,5912576.000,1,0,204.360,221.760,7342979072.000,7310366037.333,10,0
env,0,1.000,0.058,8790016.000,1,0,cows,0,1.000,0.098,25795584.000,1,0,curl,50,1.000,27.326,7235072.000,1,0,174.160,180.620,7283408896.000,7317602133.333,10,0
env,0,1.000,0.077,8802304.000,1,0,cows,10,1.000,1.519,27160064.000,1,0,curl,0,1.000,10.883,3700224.000,1,0,175.920,120.900,7296428714.667,7281642496.000,10,0
env,0,1.000,0.089,8845312.000,1,0,cows,10,1.000,2.824,5349376.000,1,0,curl,0,1.000,0.177,30535680.000,1,0,117.240,104.980,7291526485.333,7283223552.000,10,0
env,0,1.000,0.079,8870400.000,1,0,cows,10,1.000,3.705,15725909.333,1,0,curl,0,1.000,0.178,30546261.333,1,0,108.080,119.430,7285073237.333,7303927637.333,10,0
env,0,1.000,0.075,8876032.000,1,0,cows,10,1.000,1.913,15728640.000,1,0,curl,10,1.000,5.611,32238421.333,1,0,101.400,105.130,7284926464.000,7287012010.667,10,0
env,0,1.000,0.088,8918016.000,1,0,cows,10,1.000,1.715,5496832.000,5,0,curl,10,1.000,8.448,4407808.000,5,0,136.240,133.390,7299463850.667,7317376000.000,10,0
env,0,1.000,0.081,8949248.000,1,0,cows,10,1.000,1.217,35012608.000,5,0,curl,10,1.000,8.790,2465792.000,5,0,123.200,133.600,7324934144.000,7321511424.000,10,0
env,0,1.000,0.074,8952320.000,1,0,cows,10,1.000,1.389,20082688.000,5,0,curl,20,1.000,13.510,5217792.000,5,0,130.720,141.250,7346158250.667,7341119488.000,10,0
env,0,1.000,0.088,8955392.000,1,0,cows,10,1.000,1.639,4919296.000,5,0,curl,20,1.000,11.477,3035136.000,13,0,147.080,155.240,7361073152.000,7408153429.333,10,0
env,0,1.000,0.074,8957952.000,1,0,cows,10,1.000,5.390,15167488.000,1,0,curl,20,1.000,13.897,3997696.000,17,1,152.800,151.970,7491784021.333,7539774293.333,10,1
env,0,1.000,0.076,8960512.000,1,0,cows,20,1.000,2.854,20254720.000,1,0,curl,0,1.000,2.188,7317504.000,1,0,161.960,139.750,7592855552.000,7560560128.000,20,0
env,0,1.000,0.073,8962048.000,1,0,cows,20,1.000,1.926,5255168.000,1,0,curl,0,1.000,0.186,30712832.000,1,0,146.280,117.860,7324221440.000,7333174272.000,10,0
env,0,1.000,0.064,8962048.000,1,0,cows,20,1.000,4.639,13291520.000,1,0,curl,0,1.000,0.221,30709248.000,1,0,107.560,103.790,7289464832.000,7298754218.667,10,0
env,0,1.000,0.082,8962048.000,1,0,cows,20,1.000,2.907,14881792.000,1,0,curl,10,1.000,6.356,33132202.667,1,0,100.720,113.990,7283308544.000,7291165696.000,10,0
env,0,1.000,0.072,8962048.000,1,0,cows,20,1.000,2.361,8654848.000,1,0,curl,10,1.000,7.722,4280320.000,1,0,136.440,137.740,7303757824.000,7323978581.333,10,0
env,0,1.000,0.074,8962901.333,1,0,cows,20,1.000,2.177,6320128.000,1,0,curl,10,1.000,6.454,4874240.000,1,0,142.920,143.290,7322615125.333,7334391808.000,10,0
env,0,1.000,0.078,8973312.000,1,0,cows,20,1.000,2.197,37621760.000,1,0,curl,20,1.000,10.600,4773888.000,1,0,156.920,150.460,7323396096.000,7334553088.000,10,0
env,0,1.000,0.076,8974336.000,1,0,cows,20,1.000,2.692,37429589.333,5,0,curl,20,1.000,12.339,4913152.000,5,0,157.160,149.650,7322859520.000,7335382698.667,10,0
env,0,1.000,0.079,8974336.000,1,0,cows,20,1.000,3.540,5943296.000,5,0,curl,20,1.000,13.999,2906794.667,5,0,143.600,150.160,7352722090.667,7345766229.333,10,0
env,0,1.000,0.074,8975360.000,1,0,cows,20,1.000,3.090,4870144.000,5,0,curl,30,1.000,16.241,3022848.000,5,0,147.440,160.816,7345822378.667,7351056213.333,10,0
