function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,53.520,53.520,4459498837.333,4459498837.333,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,51.520,51.520,4445236565.333,4445236565.333,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,52.080,52.080,4434462037.333,4434462037.333,10,0
nodeinfo,0,1.000,0.129,22014976.000,1,0,env,0,1.000,0.080,5257728.000,1,0,nmap,10,1.000,40.768,27589120.000,1,0,56.560,124.890,4437344938.667,4442718890.667,10,0
nodeinfo,0,1.000,0.145,22772224.000,1,0,env,0,1.000,0.081,5791744.000,1,0,nmap,10,1.000,71.045,5976576.000,5,0,262.720,206.340,4459439445.333,4485922304.000,10,0
nodeinfo,0,1.000,0.127,23665152.000,1,0,env,0,1.000,0.084,6507861.333,1,0,nmap,10,1.000,61.434,7660032.000,5,0,148.200,155.086,4489940309.333,4496384341.333,10,0
nodeinfo,0,1.000,0.116,24254976.000,1,0,env,0,1.000,0.081,6813696.000,1,0,nmap,20,0.435,77.333,9539584.000,5,1,176.040,188.030,4496961536.000,4599063210.667,10,1
nodeinfo,0,1.000,0.141,25155072.000,1,0,env,0,1.000,0.080,7178752.000,1,0,nmap,20,0.448,94.071,2899968.000,5,1,172.186,180.695,4616435029.333,4598078634.667,10,1
nodeinfo,0,1.000,0.131,25903616.000,1,0,env,0,1.000,0.079,7593984.000,1,0,nmap,20,0.390,72.381,3121152.000,5,1,155.440,171.088,4575584256.000,4587744426.667,10,1
nodeinfo,0,1.000,0.110,26223104.000,1,0,env,10,1.000,0.930,8444757.333,1,0,nmap,0,1.000,35.153,3215360.000,1,0,180.120,118.160,4593685162.667,4544453802.667,10,0
nodeinfo,0,1.000,0.152,25582080.000,1,0,env,10,1.000,1.399,9589760.000,1,0,nmap,0,1.000,0.214,44695552.000,1,0,88.720,83.675,4507368789.333,4517127680.000,10,0
nodeinfo,0,1.000,0.131,25653418.667,1,0,env,10,1.000,1.790,9758037.333,1,0,nmap,0,1.000,0.245,44808021.333,1,0,88.640,87.420,4501272576.000,4502890837.333,10,0
nodeinfo,0,1.000,0.123,25871872.000,1,0,env,10,1.000,1.538,9838592.000,1,0,nmap,10,1.000,30.503,49557504.000,1,0,77.080,129.510,4500267008.000,4510647125.333,10,0
nodeinfo,0,1.000,0.128,25798144.000,1,0,env,10,1.000,1.598,3922432.000,1,0,nmap,10,1.000,60.603,5395968.000,1,0,169.160,168.690,4526977706.667,4555288746.667,10,0
