function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,54.120,54.120,4700573013.333,4700573013.333,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,50.960,50.960,4699536725.333,4699536725.333,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,51.520,51.520,4699471872.000,4699471872.000,10,0
nodeinfo,0,1.000,0.141,22078976.000,1,0,env,0,1.000,0.074,5788160.000,1,0,curl,10,1.000,4.554,22882816.000,1,0,52.880,69.230,4699168768.000,4704221525.333,10,0
nodeinfo,0,1.000,0.141,22934016.000,1,0,env,0,1.000,0.087,6300160.000,1,0,curl,10,1.000,7.885,26551125.333,1,0,90.400,95.420,4701460480.000,4690738688.000,10,0
nodeinfo,0,1.000,0.135,23511552.000,1,0,env,0,1.000,0.059,6750720.000,1,0,curl,10,1.000,5.298,26705920.000,1,0,99.560,90.980,4667553109.333,4683663018.667,10,0
nodeinfo,0,1.000,0.135,24446976.000,1,0,env,0,1.000,0.075,7021226.667,1,0,curl,20,1.000,11.060,26749269.333,1,0,101.720,109.940,4680549034.667,4697804629.333,10,0
nodeinfo,0,1.000,0.106,25027584.000,1,0,env,0,1.000,0.076,7349589.333,1,0,curl,20,1.000,14.929,30570325.333,1,0,134.120,141.870,4693814613.333,4723739136.000,10,0
nodeinfo,0,1.000,0.129,25752576.000,1,0,env,0,1.000,0.071,7662080.000,1,0,curl,20,1.000,8.891,30369280.000,1,0,136.840,116.200,4707005781.333,4703582549.333,10,0
nodeinfo,0,1.000,0.120,26160128.000,1,0,env,0,1.000,0.080,8018432.000,1,0,curl,30,1.000,18.546,33306624.000,1,0,118.800,124.700,4698978986.667,4713156608.000,10,0
nodeinfo,0,1.000,0.146,26060800.000,1,0,env,0,1.000,0.114,8526165.333,1,0,curl,30,1.000,19.148,36610048.000,1,0,153.280,138.350,4714651648.000,4720539648.000,10,0
nodeinfo,0,1.000,0.143,25611605.333,1,0,env,0,1.000,0.082,8789504.000,1,0,curl,30,1.000,20.486,34834432.000,1,0,135.840,130.130,4718090240.000,4726564352.000,10,0
nodeinfo,0,1.000,0.128,25839616.000,1,0,env,0,1.000,0.072,8834560.000,1,0,curl,40,1.000,19.280,36504576.000,5,0,121.400,135.470,4719036416.000,4731037184.000,10,0
nodeinfo,0,1.000,0.145,25804458.667,1,0,env,0,1.000,0.109,8878080.000,1,0,curl,40,1.000,24.271,36826624.000,5,0,123.000,140.670,4731446613.333,4743569408.000,10,0
nodeinfo,0,1.000,0.138,25801216.000,1,0,env,0,1.000,0.075,8911872.000,1,0,curl,40,1.000,18.605,35948544.000,9,0,159.640,140.610,4760812202.667,4808160085.333,10,0
nodeinfo,0,1.000,0.124,25919488.000,1,0,env,0,1.000,0.072,8919040.000,1,0,curl,50,1.000,29.465,30575616.000,17,1,148.680,158.010,4860003669.333,4907275946.667,10,1
nodeinfo,0,1.000,0.144,26148352.000,1,0,env,0,1.000,0.073,8975872.000,1,0,curl,50,1.000,29.006,38952448.000,5,0,156.683,152.190,4982100650.667,4968819712.000,20,0
nodeinfo,0,1.000,0.112,26398208.000,1,0,env,0,1.000,0.075,8989184.000,1,0,curl,50,1.000,27.717,33095680.000,9,0,177.240,163.120,4814305962.667,4845072896.000,10,0
nodeinfo,0,1.000,0.134,26619904.000,1,0,env,10,1.000,1.016,9219754.667,1,0,curl,0,1.000,13.209,31013376.000,1,0,155.360,130.320,4894576640.000,4899930453.333,10,0
nodeinfo,0,1.000,0.141,26676565.333,1,0,env,10,1.000,1.715,4527616.000,1,0,curl,0,1.000,0.168,30891520.000,1,0,112.600,94.180,4798048256.000,4786320725.333,10,0
nodeinfo,0,1.000,0.135,27081216.000,1,0,env,10,1.000,1.732,4168192.000,1,0,curl,0,1.000,0.200,30899200.000,1,0,98.560,99.650,4780191744.000,4799765504.000,10,0
