function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,57.680,57.680,5087440213.333,5087440213.333,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,52.960,52.960,5075139242.667,5075139242.667,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,57.400,57.400,5078019413.333,5078019413.333,10,0
nodeinfo,0,1.000,0.127,21784064.000,1,0,cows,0,1.000,0.110,21697024.000,1,0,nmap,10,1.000,19.768,26489685.333,1,0,54.040,98.540,5077960021.333,5084614485.333,10,0
nodeinfo,0,1.000,0.116,22478336.000,1,0,cows,0,1.000,0.104,22398976.000,1,0,nmap,10,1.000,53.966,35510784.000,1,0,149.600,145.550,5111629824.000,5120498005.333,10,0
nodeinfo,0,1.000,0.111,22982144.000,1,0,cows,0,1.000,0.106,22867456.000,1,0,nmap,10,1.000,40.516,5273600.000,1,0,133.960,147.730,5103708842.667,5111699114.667,10,0
nodeinfo,0,1.000,0.130,23815372.800,1,0,cows,0,1.000,0.131,23499161.600,1,0,nmap,20,0.480,70.785,6688768.000,5,1,154.520,185.601,5115052714.667,5216142813.867,10,1
nodeinfo,0,1.000,0.126,24678912.000,1,0,cows,0,1.000,0.092,24444928.000,1,0,nmap,20,0.622,117.660,2826240.000,5,1,170.687,174.765,5234582186.667,5202596522.667,10,1
nodeinfo,0,1.000,0.134,25179477.333,1,0,cows,0,1.000,0.110,24665600.000,1,0,nmap,20,0.433,111.128,2924544.000,5,1,155.400,173.272,5171472384.000,5179307008.000,10,1
nodeinfo,0,1.000,0.140,25222144.000,1,0,cows,10,1.000,1.201,25970688.000,1,0,nmap,0,1.000,65.400,3371008.000,1,0,180.437,117.429,5187138218.667,5140207274.667,10,0
nodeinfo,0,1.000,0.139,24597504.000,1,0,cows,10,1.000,1.222,6791168.000,1,0,nmap,0,1.000,0.258,43560960.000,1,0,102.240,112.450,5137380693.333,5135753386.667,10,0
nodeinfo,0,1.000,0.133,24864768.000,1,0,cows,10,1.000,2.808,4788224.000,1,0,nmap,0,1.000,0.209,43570688.000,1,0,87.480,88.890,5086372522.667,5090485930.667,10,0
nodeinfo,0,1.000,0.143,25120768.000,1,0,cows,10,1.000,2.309,6443008.000,1,0,nmap,10,1.000,59.553,52624896.000,1,0,84.800,127.290,5082555050.667,5086534826.667,10,0
nodeinfo,0,1.000,0.129,25112576.000,1,0,cows,10,1.000,1.417,5353472.000,1,0,nmap,10,1.000,55.062,48912384.000,1,0,168.280,175.088,5109132629.333,5136362154.667,10,0
nodeinfo,0,1.000,0.126,25282389.333,1,0,cows,10,1.000,3.214,15566848.000,1,0,nmap,10,1.000,62.638,6158336.000,1,0,186.280,199.104,5152884736.000,5243684864.000,10,0
nodeinfo,0,1.000,0.120,25309047.467,1,0,cows,10,1.000,2.093,6746112.000,9,0,nmap,20,0.287,75.565,3923968.000,1,1,207.840,205.302,5214103552.000,5290425412.267,10,1
nodeinfo,0,1.000,0.118,25459097.600,1,0,cows,10,1.000,1.177,9396224.000,9,0,nmap,20,0.333,90.265,2600960.000,1,1,209.124,205.435,5368980138.667,5358359483.733,10,1
nodeinfo,0,1.000,0.109,25542246.400,1,0,cows,10,1.000,1.471,18870272.000,5,0,nmap,20,0.335,112.071,2912256.000,1,1,208.600,210.673,5391050069.333,5277984221.867,10,1
nodeinfo,0,1.000,0.123,25859925.333,1,0,cows,20,1.000,2.054,6729728.000,1,0,nmap,0,1.000,9.765,75584512.000,1,0,180.798,119.451,5220453034.667,5156699818.667,10,0
nodeinfo,0,1.000,0.127,26303146.667,1,0,cows,20,1.000,3.670,5636096.000,1,0,nmap,0,1.000,0.160,50028544.000,1,0,100.680,115.500,5142823594.667,5150942208.000,10,0
nodeinfo,0,1.000,0.130,26703872.000,1,0,cows,20,1.000,2.648,6754304.000,1,0,nmap,0,1.000,0.250,50028544.000,1,0,98.760,93.570,5118915242.667,5115728725.333,10,0
nodeinfo,0,1.000,0.159,26895701.333,1,0,cows,20,1.000,2.848,8015872.000,1,0,nmap,10,1.000,66.373,57815552.000,1,0,96.440,138.392,5109496490.667,5121641813.333,10,0
nodeinfo,0,1.000,0.239,27016192.000,1,0,cows,20,0.998,2.622,6512640.000,1,0,nmap,10,1.000,65.534,6673408.000,1,0,172.680,174.243,5136852309.333,5163681621.333,10,0
nodeinfo,0,1.000,0.131,27059200.000,1,0,cows,20,1.000,2.321,5525504.000,5,0,nmap,10,1.000,76.116,5840896.000,5,0,184.880,173.970,5159527765.333,5167164757.333,10,0
nodeinfo,0,1.000,0.120,27134634.667,1,0,cows,20,1.000,2.131,5455872.000,9,0,nmap,20,0.303,85.306,5023744.000,1,1,168.560,189.057,5199374336.000,5264778444.800,10,1
