function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,63.160,63.160,5203542016.000,5203542016.000,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,57.280,57.280,5208426496.000,5208426496.000,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,58.000,58.000,5212084906.667,5212084906.667,10,0
nodeinfo,0,1.000,0.124,22296064.000,1,0,nmap,0,1.000,0.189,20664320.000,1,0,curl,10,1.000,2.876,8896000.000,1,0,56.760,71.630,5214204586.667,5209534634.667,10,0
nodeinfo,0,1.000,0.108,23050240.000,1,0,nmap,0,1.000,0.191,21154304.000,1,0,curl,10,1.000,6.906,13584384.000,1,0,97.160,90.590,5196548096.000,5214855509.333,10,0
nodeinfo,0,1.000,0.134,23704917.333,1,0,nmap,0,1.000,0.207,21666304.000,1,0,curl,10,1.000,6.825,4700160.000,1,0,106.200,100.620,5202027178.667,5208653994.667,10,0
nodeinfo,0,1.000,0.132,24253952.000,1,0,nmap,0,1.000,0.182,22053376.000,1,0,curl,20,1.000,8.937,5404672.000,1,0,111.240,133.840,5212697941.333,5246609066.667,10,0
nodeinfo,0,1.000,0.131,24775168.000,1,0,nmap,0,1.000,0.201,22412288.000,1,0,curl,20,1.000,12.994,6629376.000,1,0,127.120,116.930,5224781141.333,5221142016.000,10,0
nodeinfo,0,1.000,0.117,25609898.667,1,0,nmap,0,1.000,0.197,22856021.333,1,0,curl,20,1.000,12.547,2703360.000,1,0,118.760,114.940,5212089002.667,5218736981.333,10,0
nodeinfo,0,1.000,0.134,25873408.000,1,0,nmap,0,1.000,0.179,23152981.333,1,0,curl,30,1.000,17.211,5375317.333,1,0,115.960,127.620,5212695210.667,5224457216.000,10,0
nodeinfo,0,1.000,0.146,25607680.000,1,0,nmap,0,1.000,0.176,23204864.000,1,0,curl,30,1.000,15.984,5718016.000,1,0,134.360,128.750,5225730730.667,5234293077.333,10,0
nodeinfo,0,1.000,0.124,25235285.333,1,0,nmap,0,1.000,0.228,23236608.000,1,0,curl,30,1.000,16.258,21861888.000,1,0,136.840,132.210,5223688874.667,5231803050.667,10,0
nodeinfo,0,1.000,0.142,25425408.000,1,0,nmap,0,1.000,0.155,23262720.000,1,0,curl,40,1.000,27.353,4744533.333,1,0,141.000,140.320,5225067178.667,5237272234.667,10,0
