function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
shasum,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,83.960,83.960,5592848384.000,5592848384.000,10,0
shasum,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,80.240,80.240,5580310528.000,5580310528.000,10,0
shasum,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,66.560,66.560,5578143061.333,5578143061.333,10,0
shasum,0,1.000,0.078,13773312.000,1,0,env,0,1.000,0.085,5661525.333,1,0,cows,10,1.000,0.763,5099520.000,5,0,60.280,71.950,5567275008.000,5567925077.333,10,0
shasum,0,1.000,0.084,14280192.000,1,0,env,0,1.000,0.091,6367232.000,1,0,cows,10,1.000,3.357,5099520.000,1,0,97.440,90.260,5619062101.333,5597990741.333,10,0
shasum,0,1.000,0.079,14663168.000,1,0,env,0,1.000,0.081,6805333.333,1,0,cows,10,1.000,1.509,6242304.000,1,0,106.840,115.770,5613698389.333,5625445034.667,10,0
shasum,0,1.000,0.076,14932992.000,1,0,env,0,1.000,0.074,7076522.667,1,0,cows,20,1.000,3.498,5713920.000,1,0,108.720,117.600,5602989397.333,5625983317.333,10,0
shasum,0,1.000,0.080,15203328.000,1,0,env,0,1.000,0.082,7438848.000,1,0,cows,20,1.000,2.556,8241152.000,5,0,97.320,107.250,5609536170.667,5614197248.000,10,0
shasum,0,1.000,0.073,15481856.000,1,0,env,0,1.000,0.068,7760384.000,1,0,cows,20,1.000,3.120,8241152.000,1,0,128.480,119.360,5649091242.667,5622679381.333,10,0
shasum,0,1.000,0.072,15754752.000,1,0,env,0,1.000,0.084,8121002.667,1,0,cows,30,1.000,4.205,3911680.000,5,0,105.920,111.220,5587555669.333,5589067946.667,10,0
shasum,0,1.000,0.092,16035328.000,1,0,env,0,1.000,0.106,8593920.000,1,0,cows,30,1.000,3.761,3911680.000,1,0,112.280,106.330,5623660544.000,5604579669.333,10,0
shasum,0,1.000,0.083,16377344.000,1,0,env,0,1.000,0.080,8692224.000,1,0,cows,30,1.000,4.959,14708736.000,1,0,112.160,110.319,5608753152.000,5613167616.000,10,0
shasum,0,1.000,0.075,16468992.000,1,0,env,0,1.000,0.082,8715264.000,1,0,cows,40,1.000,4.681,5935104.000,1,0,126.000,138.110,5618893482.667,5634657621.333,10,0
shasum,0,1.000,0.081,16496640.000,1,0,env,0,1.000,0.093,8752128.000,1,0,cows,40,1.000,5.458,15638016.000,5,0,161.440,176.470,5609754624.000,5645411328.000,10,0
shasum,0,1.000,0.103,16538624.000,1,0,env,0,1.000,0.075,8813226.667,1,0,cows,40,1.000,6.429,7323648.000,5,0,118.840,108.790,5635930112.000,5619207850.667,10,0
shasum,0,1.000,0.081,16555008.000,1,0,env,0,1.000,0.082,8800768.000,1,0,cows,50,1.000,8.226,17885866.667,5,0,109.120,109.870,5631926954.667,5609242965.333,10,0
shasum,0,1.000,0.082,16580608.000,1,0,env,0,1.000,0.081,8852480.000,1,0,cows,50,1.000,7.944,7671808.000,5,0,115.960,111.440,5633595392.000,5617065301.333,10,0
shasum,0,1.000,0.082,16676352.000,1,0,env,0,1.000,0.077,8928256.000,1,0,cows,50,1.000,5.693,7671808.000,5,0,121.360,109.451,5624060586.667,5603460096.000,10,0
shasum,0,1.000,0.083,16711168.000,1,0,env,10,1.000,0.992,2797568.000,1,0,cows,0,1.000,2.013,6823936.000,1,0,108.440,92.460,5620399445.333,5600356864.000,10,0
shasum,0,1.000,0.075,16721749.333,1,0,env,10,1.000,1.365,3182592.000,5,0,cows,0,1.000,0.110,38519808.000,1,0,87.680,91.810,5587131733.333,5592056320.000,10,0
shasum,0,1.000,0.081,16784213.333,1,0,env,10,1.000,1.544,4329472.000,5,0,cows,0,1.000,0.100,38541824.000,1,0,109.560,108.170,5609426944.000,5631253162.667,10,0
