function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,68.920,68.920,7984852309.333,7984852309.333,10,0
figlet,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,64.960,64.960,7987156992.000,7987156992.000,10,0
figlet,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,66.760,66.760,7993869653.333,7993869653.333,10,0
figlet,0,1.000,0.088,13644288.000,1,0,env,10,1.000,1.027,14521856.000,5,0,63.000,74.890,7999277738.667,8006492672.000,10,0
figlet,0,1.000,0.087,14156288.000,1,0,env,10,1.000,1.351,17385984.000,5,0,101.320,95.350,8039621973.333,8044371968.000,10,0
figlet,0,1.000,0.096,14501888.000,1,0,env,10,1.000,1.702,17784320.000,5,0,94.240,92.161,8035454976.000,8046322346.667,10,0
figlet,0,1.000,0.085,14849024.000,1,0,env,20,1.000,2.613,17885866.667,5,0,91.360,99.900,8057094144.000,8063663104.000,10,0
figlet,0,1.000,0.099,15132842.667,1,0,env,20,1.000,2.796,17971712.000,9,0,105.920,99.370,8057672362.667,8076692138.667,10,0
figlet,0,1.000,0.121,15534080.000,1,0,env,20,1.000,3.688,17979562.667,13,0,119.360,107.220,8112786090.667,8140801024.000,10,0
figlet,0,1.000,0.096,15777280.000,1,0,env,30,1.000,4.488,17989632.000,17,1,108.320,107.170,8181883562.667,8205101226.667,10,1
figlet,0,1.000,0.097,16045056.000,1,0,env,30,1.000,3.470,18054144.000,5,0,124.200,119.318,8252837205.333,8227739648.000,20,0
figlet,0,1.000,0.115,16356352.000,1,0,env,30,1.000,3.788,18238464.000,9,0,124.160,109.430,8069472256.000,8091200000.000,10,0
figlet,0,1.000,0.099,16852138.667,1,0,env,40,1.000,5.285,18263552.000,13,0,104.800,108.755,8135931904.000,8154961578.667,10,0
figlet,0,1.000,0.072,16941568.000,1,0,env,40,1.000,5.942,18251776.000,17,1,115.960,111.720,8194891776.000,8218236416.000,10,1
figlet,0,1.000,0.101,17017856.000,1,0,env,40,1.000,4.223,18495488.000,5,0,123.240,124.600,8253645482.667,8221148672.000,20,0
figlet,0,1.000,0.089,17053696.000,1,0,env,50,1.000,4.191,18587136.000,9,0,127.000,119.320,8058204842.667,8077511509.333,10,0
figlet,0,1.000,0.083,17064960.000,1,0,env,50,1.000,7.937,18578944.000,13,0,120.280,121.300,8119050240.000,8142216704.000,10,0
figlet,0,1.000,0.092,17086464.000,1,0,env,50,1.000,6.911,18567680.000,17,1,147.160,132.700,8195056298.667,8215041194.667,10,1
figlet,10,1.000,1.474,17512448.000,1,0,env,0,1.000,1.219,18669568.000,1,0,129.320,115.320,8247318528.000,8210197333.333,20,0
figlet,10,1.000,1.710,4065280.000,1,0,env,0,1.000,0.076,18674688.000,1,0,127.960,127.980,8030840149.333,8048162133.333,10,0
figlet,10,1.000,2.033,4270080.000,1,0,env,0,1.000,0.099,18677760.000,1,0,128.640,105.040,8054688426.667,8060732074.667,10,0
figlet,10,1.000,2.167,3379200.000,1,0,env,10,1.000,0.756,18679296.000,1,0,110.560,104.010,8053966165.333,8065427797.333,10,0
figlet,10,1.000,2.065,4317184.000,1,0,env,10,1.000,1.553,18703360.000,1,0,129.320,121.240,8077882026.667,8103396352.000,10,0
figlet,10,1.000,2.550,4466688.000,1,0,env,10,1.000,1.587,18712576.000,1,0,146.280,122.680,8111153152.000,8113043456.000,10,0
figlet,10,1.000,1.920,4085248.000,1,0,env,20,1.000,2.227,18766336.000,1,0,131.480,131.073,8096716117.333,8103526912.000,10,0
figlet,10,1.000,1.627,5644288.000,1,0,env,20,1.000,3.233,18825216.000,1,0,140.160,126.110,8092741632.000,8100335274.667,10,0
figlet,10,1.000,2.328,3760128.000,1,0,env,20,1.000,2.937,18845696.000,1,0,158.880,132.310,8087928832.000,8094302208.000,10,0
figlet,10,1.000,2.494,3776512.000,1,0,env,30,1.000,3.218,18871808.000,1,0,140.040,137.140,8082236074.667,8090516992.000,10,0
figlet,10,1.000,1.760,4352000.000,1,0,env,30,1.000,3.895,18830848.000,1,0,150.600,159.860,8093739690.667,8120719360.000,10,0
