function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,63.760,63.760,8050439509.333,8050439509.333,10,0
figlet,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,64.080,64.080,8050107050.667,8050107050.667,10,0
figlet,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,65.640,65.640,8046832981.333,8046832981.333,10,0
figlet,0,1.000,0.090,5469184.000,1,0,curl,10,1.000,4.747,22215168.000,1,0,68.600,77.810,8044376746.667,8027742037.333,10,0
figlet,0,1.000,0.087,6158336.000,1,0,curl,10,1.000,8.011,3268608.000,1,0,102.600,109.170,8022532096.000,8039400106.667,10,0
figlet,0,1.000,0.093,6496597.333,1,0,curl,10,1.000,6.362,5234688.000,1,0,103.320,107.360,8041959424.000,8050777088.000,10,0
figlet,0,1.000,0.097,6747136.000,1,0,curl,20,1.000,13.822,5989376.000,1,0,120.120,122.700,8048616789.333,8050718208.000,10,0
figlet,0,1.000,0.095,7019520.000,1,0,curl,20,1.000,13.190,3366912.000,5,0,139.200,141.850,8057426602.667,8078420992.000,10,0
figlet,0,1.000,0.097,7285760.000,1,0,curl,20,1.000,13.089,2715648.000,5,0,119.600,124.770,8042350592.000,8052527445.333,10,0
figlet,0,1.000,0.096,7652352.000,1,0,curl,30,1.000,12.936,4990293.333,5,0,130.240,133.770,8054148437.333,8061237760.000,10,0
figlet,0,1.000,0.090,7838037.333,1,0,curl,30,1.000,20.205,7671808.000,9,0,129.320,134.120,8063213568.000,8100090197.333,10,0
figlet,0,1.000,0.089,8041472.000,1,0,curl,30,1.000,21.241,4390912.000,13,0,126.640,141.870,8160159061.333,8200401408.000,10,0
figlet,0,1.000,0.108,8322560.000,1,0,curl,40,1.000,23.689,8828416.000,17,1,139.120,153.280,8253677568.000,8302623744.000,10,1
figlet,0,1.000,0.087,8552960.000,1,0,curl,40,1.000,17.834,9727488.000,5,0,147.160,164.320,8370527573.333,8362403669.333,20,0
figlet,0,1.000,0.086,8599552.000,1,0,curl,40,1.000,16.723,34305024.000,1,0,180.840,165.300,8182196906.667,8176939690.667,10,0
figlet,0,1.000,0.167,8729088.000,1,0,curl,50,1.000,24.491,7155712.000,1,0,199.640,177.280,8157658453.333,8163068586.667,10,0
figlet,0,1.000,0.092,8665600.000,1,0,curl,50,1.000,31.967,6154240.000,1,0,174.440,168.020,8180530517.333,8178878464.000,10,0
figlet,0,1.000,0.097,8671232.000,1,0,curl,50,1.000,30.575,6319616.000,1,0,167.640,180.510,8164269397.333,8203665920.000,10,0
figlet,10,1.000,0.992,9143808.000,1,0,curl,0,1.000,12.181,7131136.000,1,0,171.280,121.590,8189755392.000,8173136042.667,10,0
figlet,10,1.000,2.168,9936896.000,1,0,curl,0,1.000,0.163,31003648.000,1,0,113.280,101.280,8156368896.000,8160480426.667,10,0
figlet,10,1.000,2.245,10188117.333,1,0,curl,0,1.000,0.190,30957568.000,1,0,114.760,124.730,8158846976.000,8185832277.333,10,0
figlet,10,1.000,2.178,10109952.000,1,0,curl,10,1.000,3.275,32006656.000,1,0,123.320,117.446,8166973440.000,8163650901.333,10,0
figlet,10,1.000,2.049,10220714.667,1,0,curl,10,1.000,8.044,4718592.000,1,0,144.520,137.560,8178942634.667,8202169514.667,10,0
figlet,10,1.000,1.889,10109952.000,1,0,curl,10,1.000,5.313,31859712.000,1,0,146.640,137.320,8204830720.000,8214753792.000,10,0
figlet,10,1.000,1.779,10098858.667,1,0,curl,20,1.000,7.897,33099776.000,1,0,155.400,140.840,8219435690.667,8225731072.000,10,0
figlet,10,1.000,1.867,10148181.333,5,0,curl,20,1.000,12.219,2564096.000,5,0,161.840,145.710,8215215445.333,8225654272.000,10,0
figlet,10,1.000,2.100,10132992.000,5,0,curl,20,1.000,15.614,5876736.000,5,0,138.920,158.330,8209454421.333,8232124928.000,10,0
figlet,10,1.000,2.167,10180608.000,5,0,curl,30,1.000,16.498,3308202.667,5,0,151.320,154.830,8234377898.667,8252143616.000,10,0
figlet,10,1.000,1.953,10170368.000,5,0,curl,30,1.000,18.095,2920448.000,13,0,162.280,177.240,8251919701.333,8292837205.333,10,0
figlet,10,1.000,1.710,10163200.000,5,0,curl,30,1.000,20.612,6806528.000,20,1,167.760,175.290,8361986048.000,8441937749.333,10,1
figlet,20,1.000,2.349,18115072.000,5,0,curl,0,1.000,4.209,8695808.000,1,0,188.560,144.620,8520712192.000,8459455488.000,20,0
figlet,20,1.000,3.509,18442240.000,9,0,curl,0,1.000,0.158,30621696.000,1,0,146.240,112.720,8229919402.667,8234706090.667,10,0
figlet,20,1.000,4.364,18329600.000,17,1,curl,0,1.000,0.178,30621696.000,1,0,129.240,117.390,8286212096.000,8334080341.333,10,1
