function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,67.000,67.000,8155365376.000,8155365376.000,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,68.560,68.560,8138897408.000,8138897408.000,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,65.160,65.160,8129271125.333,8129271125.333,10,0
nodeinfo,0,1.000,0.122,68390912.000,1,0,env,10,1.000,1.200,14879232.000,1,0,63.040,68.650,8129425408.000,8133617152.000,10,0
nodeinfo,0,1.000,0.144,69102080.000,1,0,env,10,1.000,1.595,2863104.000,1,0,88.150,98.800,8138818355.200,8161306965.333,10,0
nodeinfo,0,1.000,0.124,69496832.000,1,0,env,10,1.000,1.349,4303530.667,1,0,96.320,94.930,8167505920.000,8151165098.667,10,0
nodeinfo,0,1.000,0.137,70075392.000,1,0,env,20,1.000,2.152,17846272.000,1,0,95.800,101.930,8123293696.000,8142126421.333,10,0
nodeinfo,0,1.000,0.121,70587050.667,1,0,env,20,1.000,2.431,4136960.000,1,0,132.120,133.170,8144319146.667,8169359530.667,10,0
nodeinfo,0,1.000,0.142,71503360.000,1,0,env,20,1.000,2.192,3399680.000,5,0,122.040,111.400,8155022677.333,8150830421.333,10,0
nodeinfo,0,1.000,0.129,71945728.000,1,0,env,30,1.000,3.931,4556800.000,1,0,134.680,123.580,8154553002.667,8164142080.000,10,0
nodeinfo,0,1.000,0.136,72210432.000,1,0,env,30,1.000,3.513,4702720.000,1,0,112.440,110.920,8129006933.333,8143769600.000,10,0
nodeinfo,0,1.000,0.146,71628288.000,1,0,env,30,1.000,3.473,3293184.000,1,0,113.520,193.960,8141775530.667,8145359018.667,10,0
nodeinfo,0,1.000,0.129,71508992.000,1,0,env,40,1.000,4.613,4449792.000,1,0,119.960,116.010,8142860288.000,8151365120.000,10,0
nodeinfo,0,1.000,0.146,71760896.000,1,0,env,40,1.000,6.263,6463488.000,1,0,122.360,119.620,8140836181.333,8144612522.667,10,0
nodeinfo,0,1.000,0.141,71757312.000,1,0,env,40,1.000,4.344,3890688.000,1,0,133.720,135.310,8144733525.333,8172642816.000,10,0
nodeinfo,0,1.000,0.122,71851008.000,1,0,env,50,1.000,5.400,5041152.000,1,0,138.040,124.750,8158485845.333,8152202752.000,10,0
nodeinfo,0,1.000,0.136,72024064.000,1,0,env,50,1.000,7.572,2940928.000,1,0,139.160,143.970,8151293952.000,8185268394.667,10,0
nodeinfo,0,1.000,0.145,72016384.000,1,0,env,50,1.000,3.953,5365248.000,1,0,137.280,124.020,8168185856.000,8163734186.667,10,0
nodeinfo,10,1.000,1.754,6905856.000,1,0,env,0,1.000,2.629,3728384.000,1,0,136.760,110.270,8151420245.333,8159037269.333,10,0
nodeinfo,10,1.000,4.555,16110933.333,1,0,env,0,1.000,0.089,18703018.667,1,0,107.920,103.410,8189859840.000,8189183488.000,10,0
nodeinfo,10,1.000,2.251,5619712.000,1,0,env,0,1.000,0.069,18710528.000,1,0,113.160,120.740,8196351317.333,8214440448.000,10,0
nodeinfo,10,1.000,3.011,7585792.000,1,0,env,10,1.000,0.959,18710528.000,1,0,115.400,126.560,8203317930.667,8223113728.000,10,0
nodeinfo,10,1.000,2.332,83037696.000,1,0,env,10,1.000,1.189,18710528.000,1,0,119.640,125.240,8220384597.333,8243436885.333,10,0
nodeinfo,10,1.000,3.035,16575146.667,1,0,env,10,1.000,1.680,3760128.000,1,0,154.880,134.920,8247065941.333,8249406634.667,10,0
nodeinfo,10,1.000,4.020,5988352.000,1,0,env,20,1.000,2.492,4374528.000,1,0,141.560,133.020,8239207082.667,8254173013.333,10,0
nodeinfo,10,1.000,3.594,14852096.000,1,0,env,20,1.000,3.599,18732032.000,1,0,133.080,128.350,8242948096.000,8255103146.667,10,0
nodeinfo,10,1.000,1.693,19345408.000,1,0,env,20,1.000,2.471,4270080.000,1,0,141.720,129.610,8252397568.000,8257428480.000,10,0
nodeinfo,10,1.000,3.739,15000917.333,1,0,env,30,1.000,3.110,4139690.667,1,0,142.960,135.270,8246127957.333,8257877674.667,10,0
nodeinfo,10,1.000,2.343,5283840.000,1,0,env,30,1.000,4.233,4238848.000,1,0,139.680,135.560,8251749717.333,8260691456.000,10,0
nodeinfo,10,1.000,2.386,15559338.667,1,0,env,30,1.000,3.801,4112896.000,1,0,151.000,138.670,8252858368.000,8261268309.333,10,0
nodeinfo,10,1.000,3.576,84568234.667,1,0,env,40,1.000,5.715,3330048.000,1,0,137.320,142.530,8276040362.667,8271000917.333,10,0
nodeinfo,10,1.000,2.067,5550080.000,5,0,env,40,1.000,3.830,4630528.000,5,0,133.000,137.490,8275961173.333,8272082773.333,10,0
nodeinfo,10,1.000,1.946,5550080.000,5,0,env,40,1.000,5.817,2588672.000,5,0,140.440,140.654,8290205696.000,8278294698.667,10,0
nodeinfo,10,1.000,2.773,85133312.000,5,0,env,50,1.000,4.220,4270592.000,5,0,148.840,159.640,8286182741.333,8292484778.667,10,0
nodeinfo,10,0.997,2.595,84953770.667,5,0,env,50,1.000,6.501,4303530.667,13,0,163.560,159.131,8372523690.667,8444499797.333,10,0
nodeinfo,10,1.000,2.755,10883072.000,5,0,env,50,1.000,7.697,8600064.000,20,1,173.000,168.610,8514501973.333,8534112938.667,10,1
nodeinfo,20,1.000,2.667,8450048.000,5,0,env,0,1.000,1.954,9262592.000,1,0,166.680,137.400,8595432789.333,8479628970.667,20,0
nodeinfo,20,1.000,8.249,7081984.000,9,0,env,0,1.000,0.103,19180032.000,1,0,138.920,115.480,8276974933.333,8307975168.000,10,0
nodeinfo,20,1.000,10.916,16278016.000,13,0,env,0,1.000,0.068,19183104.000,1,0,139.600,119.430,8389842261.333,8459224064.000,10,0
nodeinfo,20,1.000,6.328,24145920.000,5,0,env,10,1.000,0.616,19210752.000,5,0,125.120,134.570,8527816704.000,8395024042.667,20,0
nodeinfo,20,1.000,10.474,10883072.000,13,0,env,10,1.000,1.521,2969600.000,5,0,138.720,151.510,8275105792.000,8348026880.000,10,0
nodeinfo,20,1.000,9.628,23313408.000,20,1,env,10,1.000,1.005,2920448.000,5,0,173.440,168.820,8416970752.000,8512885589.333,10,1
nodeinfo,30,1.000,5.812,5660672.000,5,0,env,0,1.000,0.662,4654876.444,1,0,154.400,147.799,8607691434.667,8379692714.667,20,0
nodeinfo,30,1.000,10.043,16524800.000,9,0,env,0,1.000,0.105,19218944.000,1,0,130.000,118.053,8139324757.333,8165505365.333,10,0
