function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
shasum,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,64.040,64.040,7961952938.667,7961952938.667,10,0
shasum,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,69.000,69.000,7963996160.000,7963996160.000,10,0
shasum,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,69.640,69.640,7963839146.667,7963839146.667,10,0
shasum,0,1.000,0.093,5665280.000,1,0,cows,10,1.000,0.876,5926912.000,1,0,70.880,75.780,7954622464.000,7933349205.333,10,0
shasum,0,1.000,0.080,5945344.000,1,0,cows,10,1.000,3.855,15435093.333,1,0,116.160,125.750,7968647168.000,7984543402.667,10,0
shasum,0,1.000,0.083,6273536.000,1,0,cows,10,1.000,2.151,5931008.000,1,0,105.160,100.770,7964972373.333,7967815338.667,10,0
shasum,0,1.000,0.078,6601728.000,1,0,cows,20,1.000,2.735,5931008.000,1,0,107.240,102.340,7977347754.667,7951466154.667,10,0
shasum,0,1.000,0.090,7036245.333,1,0,cows,20,1.000,3.967,5193728.000,1,0,118.520,130.750,7970405034.667,7983428778.667,10,0
shasum,0,1.000,0.073,7325184.000,1,0,cows,20,1.000,4.302,5779456.000,5,0,111.600,112.190,7955515392.000,7967613610.667,10,0
shasum,0,1.000,0.079,7648426.667,1,0,cows,30,1.000,4.420,5779456.000,1,0,111.120,106.770,7985214122.667,7959819605.333,10,0
shasum,0,1.000,0.073,7963648.000,1,0,cows,30,1.000,4.638,5439488.000,1,0,109.440,112.920,7956069717.333,7963884714.667,10,0
shasum,0,1.000,0.119,8215210.667,1,0,cows,30,1.000,2.976,7348224.000,1,0,123.040,133.040,7971236522.667,7991512917.333,10,0
shasum,0,1.000,0.086,8505856.000,1,0,cows,40,1.000,3.788,5767168.000,1,0,111.360,117.292,7979743914.667,7980730709.333,10,0
shasum,0,1.000,0.078,8626688.000,1,0,cows,40,1.000,2.896,4915200.000,1,0,112.400,115.490,7974350848.000,7979220821.333,10,0
shasum,0,1.000,0.129,8608256.000,1,0,cows,40,1.000,4.968,5718016.000,1,0,131.520,139.610,7986468864.000,8006447274.667,10,0
shasum,0,1.000,0.080,8630272.000,1,0,cows,50,1.000,7.101,15536640.000,1,0,111.520,124.300,7976780458.667,7974819328.000,10,0
shasum,0,1.000,0.090,8633344.000,1,0,cows,50,1.000,5.562,39437482.667,1,0,116.560,124.610,7968963242.667,7976670208.000,10,0
shasum,0,1.000,0.086,8655701.333,1,0,cows,50,1.000,5.491,42818389.333,1,0,129.640,127.780,7975275178.667,7982259541.333,10,0
shasum,10,1.000,1.206,8880128.000,1,0,cows,0,1.000,1.613,6995968.000,1,0,132.320,148.064,7985358165.333,8002237610.667,10,0
shasum,10,1.000,1.436,4388352.000,1,0,cows,0,1.000,0.107,42733056.000,1,0,120.360,104.260,7961225216.000,7974144682.667,10,0
shasum,10,1.000,1.948,2981888.000,1,0,cows,0,1.000,0.108,42743808.000,1,0,124.560,123.310,7978650282.667,8000301056.000,10,0
shasum,10,1.000,1.631,4082688.000,1,0,cows,10,1.000,0.913,5484544.000,1,0,127.640,130.570,7987144704.000,8007906645.333,10,0
shasum,10,1.000,1.716,5242880.000,1,0,cows,10,1.000,2.134,16016725.333,1,0,142.720,134.770,8041605802.667,8040021674.667,10,0
shasum,10,1.000,1.557,3516416.000,1,0,cows,10,1.000,1.141,5722112.000,1,0,150.600,136.600,8025167872.000,8040087552.000,10,0
shasum,10,1.000,1.402,4229120.000,1,0,cows,20,1.000,3.266,7393280.000,1,0,135.320,134.040,8034819413.333,8041301845.333,10,0
shasum,10,1.000,1.227,3772416.000,1,0,cows,20,1.000,2.145,44261376.000,1,0,147.400,134.310,8029509632.000,8040195584.000,10,0
shasum,10,1.000,1.635,4154880.000,1,0,cows,20,1.000,2.493,12877824.000,1,0,144.440,137.780,8032212992.000,8045691562.667,10,0
shasum,10,1.000,1.271,4101120.000,1,0,cows,30,1.000,2.713,4964352.000,1,0,142.640,141.550,8047514282.667,8054142976.000,10,0
shasum,10,1.000,1.861,2777088.000,5,0,cows,30,1.000,3.819,44444501.333,5,0,139.840,136.800,8065117525.333,8051421184.000,10,0
shasum,10,1.000,1.634,3680938.667,5,0,cows,30,1.000,4.319,5791744.000,5,0,137.080,138.680,8056928256.000,8049345194.667,10,0
shasum,10,1.000,1.559,2940928.000,5,0,cows,40,1.000,5.526,5165056.000,5,0,138.200,165.330,8054911658.667,8048307029.333,10,0
shasum,10,1.000,1.518,3722240.000,5,0,cows,40,1.000,6.029,5165056.000,5,0,153.160,147.020,8067238570.667,8055736661.333,10,0
shasum,10,1.000,1.379,2801664.000,5,0,cows,40,1.000,10.745,5365760.000,13,0,147.160,158.900,8054080170.667,8164543658.667,10,0
shasum,10,1.000,1.698,3096576.000,5,0,cows,50,1.000,13.666,15633408.000,20,1,152.480,165.749,8309549056.000,8419854336.000,10,1
shasum,10,1.000,0.877,4147882.667,5,0,cows,50,1.000,5.395,24997888.000,5,0,169.400,159.818,8566672042.667,8370836650.667,20,0
shasum,10,1.000,1.346,3332096.000,5,0,cows,50,1.000,11.695,12014933.333,13,0,166.600,164.690,8137939626.667,8232987648.000,10,0
shasum,20,1.000,2.431,2670592.000,5,0,cows,0,1.000,4.650,25729706.667,1,0,163.480,174.130,8373001557.333,8362269696.000,10,0
shasum,20,1.000,2.326,4094464.000,9,0,cows,0,1.000,0.107,47440896.000,1,0,158.240,115.890,8118452224.000,8115932160.000,10,0
shasum,20,1.000,3.962,3779242.667,13,0,cows,0,1.000,0.100,47691264.000,1,0,124.280,120.130,8153054549.333,8200094037.333,10,0
shasum,20,1.000,3.837,3618133.333,17,1,cows,10,1.000,1.096,47212544.000,1,0,96.080,116.330,8246514346.667,8278557866.667,10,1
shasum,20,1.000,2.483,2674688.000,5,0,cows,10,1.000,1.993,47131136.000,1,0,144.400,151.820,8366885546.667,8361684821.333,20,0
shasum,20,1.000,3.051,4878848.000,13,0,cows,10,1.000,2.055,7184384.000,1,0,185.040,161.490,8177318570.667,8248615082.667,10,0
shasum,20,1.000,3.305,3567616.000,1,0,cows,20,1.000,3.704,4829184.000,1,0,157.000,161.310,8318995114.667,8314044245.333,20,0
shasum,20,1.000,2.536,4216832.000,1,0,cows,20,1.000,3.714,7139328.000,1,0,169.280,156.167,8155838464.000,8186467669.333,10,0
shasum,20,1.000,3.160,4526080.000,1,0,cows,20,1.000,4.473,6193152.000,1,0,150.200,146.235,8194221397.333,8199455573.333,10,0
shasum,20,1.000,3.757,4624384.000,1,0,cows,30,1.000,3.610,8339456.000,1,0,153.720,159.860,8196920661.333,8202599082.667,10,0
shasum,20,1.000,3.010,4061184.000,1,0,cows,30,1.000,4.183,14405632.000,1,0,148.920,154.690,8188232362.667,8201202005.333,10,0
shasum,20,1.000,3.032,4382720.000,5,0,cows,30,1.000,3.365,5287936.000,5,0,154.360,156.730,8206050645.333,8200340992.000,10,0
shasum,20,1.000,1.884,4409344.000,5,0,cows,40,0.998,3.929,7254016.000,5,0,284.840,223.240,8154978304.000,8175152640.000,10,0
shasum,20,1.000,2.905,3096576.000,5,0,cows,40,1.000,4.730,13070336.000,5,0,141.880,144.380,8211321514.667,8197216938.667,10,0
shasum,20,1.000,2.274,4827136.000,5,0,cows,40,1.000,6.690,19105109.333,5,0,148.640,146.680,8204759722.667,8193243818.667,10,0
