function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,89.160,89.160,8156904106.667,8156904106.667,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,89.360,89.360,8154626730.667,8154626730.667,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,64.880,64.880,8156179114.667,8156179114.667,10,0
figlet,0,1.000,0.095,13575338.667,1,0,nodeinfo,0,1.000,0.140,22247765.333,1,0,curl,10,1.000,2.919,21855573.333,1,0,69.200,78.760,8152909141.333,8161754112.000,10,0
figlet,0,1.000,0.097,14024192.000,1,0,nodeinfo,0,1.000,0.141,23123456.000,1,0,curl,10,1.000,5.692,4751360.000,1,0,100.960,106.410,8175903402.667,8187525973.333,10,0
figlet,0,1.000,0.086,14347776.000,1,0,nodeinfo,0,1.000,0.136,23751680.000,1,0,curl,10,1.000,5.962,2908160.000,1,0,124.320,115.850,8144655018.667,8146798080.000,10,0
figlet,0,1.000,0.103,14674944.000,1,0,nodeinfo,0,1.000,0.145,24425472.000,1,0,curl,20,1.000,9.029,3418794.667,1,0,116.920,124.220,8139539114.667,8147146240.000,10,0
figlet,0,1.000,0.097,15131136.000,1,0,nodeinfo,0,1.000,0.123,24929280.000,1,0,curl,20,1.000,15.153,3768320.000,1,0,142.040,146.140,8147283285.333,8176323413.333,10,0
figlet,0,1.000,0.086,15393280.000,1,0,nodeinfo,0,1.000,0.140,25743872.000,1,0,curl,20,1.000,11.721,5201920.000,1,0,151.360,136.250,8154994005.333,8152035669.333,10,0
figlet,0,1.000,0.095,15666176.000,1,0,nodeinfo,0,1.000,0.134,26273792.000,1,0,curl,30,1.000,14.764,6460928.000,1,0,133.440,138.130,8145735680.000,8157780650.667,10,0
figlet,0,1.000,0.084,15953408.000,1,0,nodeinfo,0,1.000,0.127,26460672.000,1,0,curl,30,1.000,16.482,5042176.000,1,0,146.160,139.880,8157431125.333,8164299776.000,10,0
figlet,0,1.000,0.109,16294570.667,1,0,nodeinfo,0,1.000,0.116,25466368.000,1,0,curl,30,1.000,18.560,4691968.000,1,0,168.400,163.390,8161317546.667,8190881621.333,10,0
figlet,0,1.000,0.095,16492544.000,1,0,nodeinfo,0,1.000,0.134,25675776.000,1,0,curl,40,1.000,30.753,2617344.000,5,0,136.480,150.490,8164264618.667,8169480874.667,10,0
figlet,0,1.000,0.092,16545792.000,1,0,nodeinfo,0,1.000,0.114,25986730.667,1,0,curl,40,1.000,28.054,3035136.000,5,0,142.280,153.470,8166121472.000,8175949653.333,10,0
