function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,73.240,73.240,8479421098.667,8479421098.667,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,73.800,73.800,8478855850.667,8478855850.667,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,76.200,76.200,8481581738.667,8481581738.667,10,0
nodeinfo,0,1.000,0.146,22079488.000,1,0,cows,0,1.000,0.122,21745664.000,1,0,curl,10,1.000,4.949,8870912.000,1,0,78.240,87.470,8480857429.333,8472798208.000,10,0
nodeinfo,0,1.000,0.120,23220224.000,1,0,cows,0,1.000,0.118,22344192.000,1,0,curl,10,1.000,7.012,4917248.000,1,0,108.720,109.100,8465806677.333,8474022570.667,10,0
nodeinfo,0,1.000,0.131,23956821.333,1,0,cows,0,1.000,0.128,22902784.000,1,0,curl,10,1.000,7.502,5044224.000,1,0,123.240,110.620,8471659861.333,8478592341.333,10,0
nodeinfo,0,1.000,0.128,24537429.333,1,0,cows,0,1.000,0.120,23358976.000,1,0,curl,20,1.000,10.858,4919296.000,1,0,125.040,129.310,8472754858.667,8482237610.667,10,0
nodeinfo,0,1.000,0.127,25088512.000,1,0,cows,0,1.000,0.138,24823466.667,1,0,curl,20,1.000,9.804,4546560.000,1,0,133.600,129.480,8476454229.333,8492341760.000,10,0
nodeinfo,0,1.000,0.133,25972736.000,1,0,cows,0,1.000,0.130,25188352.000,1,0,curl,20,1.000,8.372,2785280.000,1,0,143.280,148.560,8498830677.333,8530134528.000,10,0
nodeinfo,0,1.000,0.124,26287104.000,1,0,cows,0,1.000,0.115,25538560.000,1,0,curl,30,1.000,20.163,7251968.000,1,0,152.960,143.120,8518894250.667,8519453013.333,10,0
nodeinfo,0,1.000,0.145,26540544.000,1,0,cows,0,1.000,0.119,24763392.000,1,0,curl,30,1.000,10.275,5018112.000,1,0,146.280,141.060,8512055296.000,8522205866.667,10,0
