function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,76.400,76.400,8358999381.333,8358999381.333,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,67.320,67.320,8357761024.000,8357761024.000,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,69.960,69.960,8356150613.333,8356150613.333,10,0
figlet,0,1.000,0.100,5385728.000,1,0,nodeinfo,10,1.000,2.787,24006144.000,1,0,72.880,82.114,8353039018.667,8355016874.667,10,0
figlet,0,1.000,0.124,5940736.000,1,0,nodeinfo,10,1.000,3.815,15001088.000,1,0,115.680,108.720,8400935594.667,8417054720.000,10,0
figlet,0,1.000,0.135,6283264.000,1,0,nodeinfo,10,1.000,3.848,7221248.000,1,0,118.960,111.882,8403393194.667,8422250837.333,10,0
figlet,0,1.000,0.123,6548992.000,1,0,nodeinfo,20,1.000,6.376,7475200.000,1,0,116.200,119.875,8412964864.000,8437604522.667,10,0
figlet,0,1.000,0.127,6810112.000,1,0,nodeinfo,20,1.000,5.886,5931008.000,1,0,127.880,120.165,8429546154.667,8442264064.000,10,0
figlet,0,1.000,0.118,7092736.000,1,0,nodeinfo,20,1.000,7.053,4190208.000,1,0,123.080,118.301,8421224448.000,8439520256.000,10,0
figlet,0,1.000,0.108,7349760.000,1,0,nodeinfo,30,0.997,6.700,5959680.000,5,0,118.680,131.700,8447463424.000,8449248768.000,10,0
figlet,0,1.000,0.122,7615488.000,1,0,nodeinfo,30,1.000,9.521,15544832.000,5,0,125.520,129.678,8445343061.333,8444950016.000,10,0
figlet,0,1.000,0.123,7896064.000,1,0,nodeinfo,30,1.000,5.311,6754304.000,5,0,124.400,133.216,8445370368.000,8450164565.333,10,0
figlet,0,1.000,0.113,8133632.000,1,0,nodeinfo,40,1.000,8.696,5332992.000,5,0,128.160,138.200,8450874709.333,8454649344.000,10,0
figlet,0,1.000,0.148,8433152.000,1,0,nodeinfo,40,1.000,10.711,17036288.000,9,0,133.600,132.273,8457969664.000,8498236757.333,10,0
figlet,0,1.000,0.099,8547840.000,1,0,nodeinfo,40,1.000,11.414,29364906.667,13,0,141.080,139.275,8568412842.667,8619886080.000,10,0
figlet,0,1.000,0.134,8596992.000,1,0,nodeinfo,50,1.000,12.977,31395840.000,17,1,142.320,147.407,8700805120.000,8746004309.333,10,1
figlet,0,1.000,0.098,8631808.000,1,0,nodeinfo,50,1.000,8.970,32583452.444,5,0,162.672,155.507,8828509525.333,8715506005.333,20,0
figlet,0,1.000,0.118,8638464.000,1,0,nodeinfo,50,1.000,15.604,20468906.667,9,0,149.440,142.523,8477602474.667,8516624042.667,10,0
