function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,75.800,75.800,8589684736.000,8589684736.000,10,0
figlet,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,75.760,75.760,8589294250.667,8589294250.667,10,0
figlet,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,79.720,79.720,8589845845.333,8589845845.333,10,0
figlet,0,1.000,0.114,5791744.000,1,0,shasum,10,1.000,1.277,14681600.000,1,0,73.560,78.530,8588260693.333,8589895680.000,10,0
figlet,0,1.000,0.106,6129664.000,1,0,shasum,10,1.000,1.588,3059712.000,5,0,103.800,116.404,8598952618.667,8619576149.333,10,0
figlet,0,1.000,0.118,6540629.333,1,0,shasum,10,1.000,1.745,4416512.000,5,0,109.560,114.490,8627704490.667,8638398293.333,10,0
figlet,0,1.000,0.115,6880085.333,1,0,shasum,20,1.000,2.526,5275648.000,5,0,136.480,139.634,8646253909.333,8673220096.000,10,0
figlet,0,1.000,0.099,7138816.000,1,0,shasum,20,1.000,3.606,3043328.000,5,0,127.000,124.823,8655250773.333,8647756458.667,10,0
figlet,0,1.000,0.102,7358976.000,1,0,shasum,20,1.000,4.068,4957525.333,5,0,122.080,115.820,8639858688.000,8634979840.000,10,0
figlet,0,1.000,0.112,7599616.000,1,0,shasum,30,1.000,4.323,3063808.000,9,0,115.760,121.500,8617851562.667,8647566677.333,10,0
figlet,0,1.000,0.113,7900672.000,1,0,shasum,30,1.000,4.743,2932736.000,13,0,122.800,123.023,8705327786.667,8725743104.000,10,0
figlet,0,1.000,0.135,8171520.000,1,0,shasum,30,1.000,5.658,5709312.000,17,1,130.880,135.402,8772216832.000,8812980906.667,10,1
figlet,10,1.000,1.594,2826240.000,5,0,shasum,0,1.000,1.337,7212032.000,1,0,114.640,140.885,8863118677.333,8856637610.667,20,0
figlet,10,1.000,2.245,3422720.000,1,0,shasum,0,1.000,0.097,18274816.000,1,0,170.880,125.390,8718802261.333,8675845973.333,10,0
figlet,10,1.000,2.233,3089408.000,1,0,shasum,0,1.000,0.106,18280448.000,1,0,110.360,106.882,8637043370.667,8642300757.333,10,0
figlet,10,1.000,2.542,4168704.000,1,0,shasum,10,1.000,0.914,18382165.333,1,0,108.560,113.610,8626782208.000,8651292330.667,10,0
figlet,10,1.000,2.680,6098944.000,1,0,shasum,10,1.000,1.985,3211264.000,1,0,134.240,171.411,8662028288.000,8714189141.333,10,0
figlet,10,1.000,2.176,3319296.000,1,0,shasum,10,1.000,1.721,3742720.000,1,0,184.188,162.537,8729838250.667,8702805162.667,10,0
figlet,10,1.000,2.506,4653056.000,1,0,shasum,20,1.000,2.068,5079040.000,1,0,175.000,154.150,8691533824.000,8688252757.333,10,0
figlet,10,1.000,2.871,3921920.000,1,0,shasum,20,1.000,3.446,4386816.000,1,0,156.215,154.157,8647916885.333,8670367232.000,10,0
figlet,10,1.000,2.574,4395008.000,1,0,shasum,20,1.000,3.206,3708928.000,1,0,167.363,157.281,8696568490.667,8702541141.333,10,0
figlet,10,1.000,2.529,3881984.000,1,0,shasum,30,1.000,3.874,5480448.000,1,0,155.256,158.984,8681082880.000,8688586240.000,10,0
figlet,10,1.000,2.369,3949056.000,1,0,shasum,30,1.000,4.898,6651904.000,1,0,169.360,164.160,8681013248.000,8692501674.667,10,0
figlet,10,1.000,2.721,5042176.000,1,0,shasum,30,1.000,5.146,4587520.000,1,0,175.200,152.161,8679413760.000,8696976554.667,10,0
figlet,10,1.000,2.699,3897344.000,1,0,shasum,40,1.000,5.222,4502528.000,1,0,173.880,160.713,8684058624.000,8696076970.667,10,0
figlet,10,1.000,2.215,5074944.000,1,0,shasum,40,1.000,6.008,4493312.000,1,0,177.608,166.817,8693148330.667,8703030954.667,10,0
figlet,10,1.000,2.324,3394560.000,1,0,shasum,40,1.000,6.158,4325376.000,1,0,178.960,157.286,8690731690.667,8701789696.000,10,0
figlet,10,1.000,2.638,3774464.000,1,0,shasum,50,1.000,6.478,6721536.000,1,0,171.960,159.196,8689863338.667,8701253290.667,10,0
figlet,10,1.000,2.424,4061184.000,1,0,shasum,50,1.000,5.912,4223488.000,1,0,185.960,164.138,8693909504.000,8699455488.000,10,0
figlet,10,1.000,2.403,10347008.000,1,0,shasum,50,1.000,7.717,4608000.000,1,0,174.200,154.590,8690218325.333,8702805504.000,10,0
figlet,20,1.000,3.168,10302293.333,1,0,shasum,0,1.000,4.515,3464704.000,1,0,181.520,152.225,8695096661.333,8696425642.667,10,0
figlet,20,1.000,4.931,10394794.667,1,0,shasum,0,1.000,0.098,4214784.000,1,0,141.800,122.660,8672600746.667,8665644714.667,10,0
figlet,20,1.000,4.915,4782080.000,1,0,shasum,0,1.000,0.095,19385344.000,1,0,134.760,133.710,8656898730.667,8682805077.333,10,0
figlet,20,1.000,4.896,4878336.000,1,0,shasum,10,1.000,0.871,19387904.000,1,0,138.920,126.900,8672148821.333,8664543914.667,10,0
figlet,20,1.000,5.205,10381824.000,1,0,shasum,10,1.000,1.585,3552938.667,1,0,155.360,139.770,8675971754.667,8699183957.333,10,0
figlet,20,1.000,4.373,4386816.000,1,0,shasum,10,1.000,1.735,4739072.000,1,0,170.160,144.730,8696182784.000,8708039168.000,10,0
figlet,20,1.000,5.274,4220928.000,1,0,shasum,20,1.000,2.828,3717632.000,1,0,162.600,149.767,8693002240.000,8701488810.667,10,0
figlet,20,1.000,4.765,4241408.000,1,0,shasum,20,1.000,3.713,5148672.000,1,0,173.640,155.424,8695883776.000,8710453418.667,10,0
figlet,20,1.000,4.954,3952640.000,1,0,shasum,20,1.000,3.768,4075520.000,1,0,186.560,158.376,8704598016.000,8719412906.667,10,0
figlet,20,1.000,5.258,4594688.000,1,0,shasum,30,1.000,5.081,4571136.000,1,0,180.240,165.417,8705015808.000,8719190186.667,10,0
figlet,20,1.000,5.047,3866624.000,5,0,shasum,30,1.000,2.888,4847616.000,5,0,176.520,169.562,8722620416.000,8739432106.667,10,0
figlet,20,1.000,5.361,3952640.000,5,0,shasum,30,1.000,4.528,4485120.000,5,0,179.280,169.125,8729265493.333,8739730773.333,10,0
figlet,20,1.000,5.125,4429824.000,5,0,shasum,40,1.000,6.199,4423680.000,5,0,179.320,188.186,8724585130.667,8741355008.000,10,0
figlet,20,1.000,5.063,5328896.000,5,0,shasum,40,1.000,6.515,3643392.000,13,0,200.529,189.807,8743385770.667,8792683008.000,10,0
figlet,20,1.000,5.459,10701141.333,5,0,shasum,40,1.000,7.658,3616768.000,20,1,178.280,186.618,8897991338.667,8950435328.000,10,1
figlet,30,1.000,5.742,4093952.000,5,0,shasum,0,1.000,1.358,3960832.000,1,0,178.000,164.044,9026641920.000,9033929898.667,20,0
figlet,30,1.000,6.620,11066368.000,9,0,shasum,0,1.000,0.084,19439957.333,1,0,187.440,145.194,8845076480.000,8812181845.333,10,0
figlet,30,1.000,7.059,4022784.000,13,0,shasum,0,1.000,0.107,19443200.000,1,0,151.141,137.719,8846077952.000,8897255082.667,10,0
figlet,30,1.000,5.223,3880960.000,5,0,shasum,10,1.000,0.585,19443712.000,1,0,125.680,139.675,8954274474.667,8959949312.000,20,0
figlet,30,1.000,6.295,3986944.000,13,0,shasum,10,1.000,1.635,3298816.000,1,0,189.480,171.413,8828713642.667,8877697365.333,10,0
figlet,30,1.000,3.633,7236096.000,5,0,shasum,10,1.000,1.407,3369642.667,1,0,166.035,160.550,8950276778.667,8959219370.667,20,0
figlet,30,1.000,6.748,4154709.333,9,0,shasum,20,1.000,3.146,3824298.667,5,0,209.320,186.024,8817340416.000,8850656426.667,10,0
figlet,30,1.000,7.840,4326400.000,17,1,shasum,20,1.000,3.492,3847509.333,1,0,167.803,190.867,8942047914.667,9017317034.667,10,1
figlet,30,1.000,5.435,6844416.000,5,0,shasum,20,1.000,2.655,4075520.000,1,0,213.913,183.961,9080907093.333,9065611605.333,20,0
figlet,30,1.000,5.956,3006464.000,1,0,shasum,30,1.000,4.408,4288512.000,1,0,236.529,208.735,8885630293.333,8896091136.000,10,0
figlet,30,1.000,6.884,4079616.000,1,0,shasum,30,1.000,4.452,6848512.000,1,0,216.240,195.058,8879813973.333,8860858880.000,10,0
figlet,30,1.000,6.963,6168576.000,1,0,shasum,30,1.000,5.282,4414464.000,1,0,193.056,194.096,8835857066.667,8846790485.333,10,0
figlet,30,1.000,7.714,3943936.000,1,0,shasum,40,1.000,6.318,6529024.000,1,0,200.833,187.942,8832162474.667,8850121728.000,10,0
figlet,30,1.000,6.319,4307968.000,1,0,shasum,40,1.000,6.922,4913152.000,1,0,200.800,186.369,8842087082.667,8849341098.667,10,0
figlet,30,1.000,6.789,6586368.000,1,0,shasum,40,1.000,7.720,4941824.000,1,0,195.157,182.419,8832081237.333,8847208277.333,10,0
figlet,30,1.000,7.965,6471680.000,1,0,shasum,50,1.000,8.441,4864000.000,1,0,198.450,191.252,8835771733.333,8844178090.667,10,0
figlet,30,1.000,6.956,4659200.000,1,0,shasum,50,1.000,6.897,4685824.000,1,0,200.840,185.835,8832603477.333,8847789056.000,10,0
figlet,30,1.000,7.758,4242432.000,1,0,shasum,50,1.000,9.217,3031040.000,1,0,200.208,189.399,8833247914.667,8848307541.333,10,0
figlet,40,1.000,8.310,4343808.000,1,0,shasum,0,1.000,2.205,3676160.000,1,0,200.320,171.698,8831335765.333,8833815893.333,10,0
figlet,40,1.000,6.033,4914688.000,1,0,shasum,0,1.000,0.098,4050944.000,1,0,163.593,139.098,8812872362.667,8800484864.000,10,0
figlet,40,1.000,10.970,6066176.000,1,0,shasum,0,1.000,0.102,19587072.000,1,0,149.902,165.344,8789681493.333,8824903168.000,10,0
figlet,40,1.000,7.987,4851200.000,1,0,shasum,10,1.000,1.475,19679232.000,1,0,182.800,164.233,8826890240.000,8816922453.333,10,0
figlet,40,1.000,11.675,4245504.000,5,0,shasum,10,1.000,2.064,3915776.000,5,0,192.800,175.480,8823564970.667,8847104682.667,10,0
figlet,40,1.000,9.262,4243456.000,5,0,shasum,10,1.000,1.877,4968448.000,5,0,196.000,176.016,8839700480.000,8850000384.000,10,0
figlet,40,1.000,11.470,4517888.000,5,0,shasum,20,1.000,3.352,3852288.000,5,0,167.400,179.086,8833477973.333,8857590613.333,10,0
figlet,40,1.000,8.844,11478869.333,5,0,shasum,20,1.000,3.855,4423168.000,5,0,201.760,187.031,8867044693.333,8868215466.667,10,0
figlet,40,1.000,8.709,4337493.333,13,0,shasum,20,1.000,3.805,3895296.000,5,0,198.720,197.453,8837341866.667,8888915285.333,10,0
figlet,40,1.000,9.921,4021248.000,17,1,shasum,30,1.000,5.851,4896256.000,9,0,186.658,176.784,8980206250.667,9027833514.667,10,1
