function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,69.360,69.360,9133999445.333,9133999445.333,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,70.920,70.920,9137823744.000,9137823744.000,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,70.400,70.400,9137341781.333,9137341781.333,10,0
nodeinfo,0,1.000,0.141,21696512.000,1,0,nmap,10,1.000,36.174,28378624.000,1,0,67.560,108.020,9139225258.667,9143985322.667,10,0
nodeinfo,0,1.000,0.133,22351872.000,1,0,nmap,10,1.000,63.559,5898240.000,1,0,150.480,154.160,9166845269.333,9188670976.000,10,0
nodeinfo,0,1.000,0.118,22921216.000,1,0,nmap,10,1.000,50.659,6381568.000,1,0,155.920,161.100,9188104192.000,9175049728.000,10,0
nodeinfo,0,1.000,0.130,23646481.067,1,0,nmap,20,0.425,41.203,2418005.333,5,1,154.463,184.658,9140811776.000,9278890939.733,10,1
nodeinfo,0,1.000,0.118,24734208.000,1,0,nmap,20,0.535,100.378,3092480.000,1,1,191.022,187.230,9301076650.667,9257737216.000,10,1
nodeinfo,0,1.000,0.118,25231872.000,1,0,nmap,20,0.597,107.087,2490368.000,5,1,185.136,184.985,9239494656.000,9235595434.667,10,1
nodeinfo,10,1.000,1.694,26632704.000,1,0,nmap,0,1.000,37.109,2641920.000,1,0,188.980,133.244,9202324138.667,9160926720.000,10,0
nodeinfo,10,1.000,1.766,6877184.000,1,0,nmap,0,1.000,0.186,44786688.000,1,0,91.160,98.880,9136065877.333,9168356522.667,10,0
nodeinfo,10,1.000,4.651,5439488.000,1,0,nmap,0,1.000,0.206,44814848.000,1,0,119.240,105.478,9152627370.667,9167662080.000,10,0
nodeinfo,10,1.000,2.740,5525504.000,1,0,nmap,10,1.000,34.678,46098432.000,1,0,106.360,145.815,9145900373.333,9176494592.000,10,0
nodeinfo,10,1.000,2.498,6008832.000,1,0,nmap,10,1.000,54.217,5920256.000,1,0,165.200,180.431,9170510506.667,9216149162.667,10,0
nodeinfo,10,1.000,1.898,4235264.000,1,0,nmap,10,1.000,66.442,10592256.000,1,0,196.059,206.122,9196884650.667,9298469205.333,10,0
