function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,72.905,72.905,9193420117.333,9193420117.333,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,74.679,74.679,9184646485.333,9184646485.333,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,75.440,75.440,9172122965.333,9172122965.333,10,0
nodeinfo,0,1.000,0.138,21921792.000,1,0,curl,10,1.000,6.022,21634048.000,1,0,66.840,77.390,9165789184.000,9164804437.333,10,0
nodeinfo,0,1.000,0.149,22880768.000,1,0,curl,10,1.000,7.534,5144064.000,1,0,111.320,103.840,9167334741.333,9183835989.333,10,0
nodeinfo,0,1.000,0.133,23365120.000,1,0,curl,10,1.000,6.777,24938496.000,1,0,114.080,114.800,9177796608.000,9195683840.000,10,0
nodeinfo,0,1.000,0.139,24017920.000,1,0,curl,20,1.000,7.560,5088768.000,5,0,121.560,118.850,9202834090.667,9208681813.333,10,0
nodeinfo,0,1.000,0.153,24806912.000,1,0,curl,20,1.000,8.662,9581056.000,1,0,129.760,131.470,9230972245.333,9256917674.667,10,0
nodeinfo,0,1.000,0.127,25656832.000,1,0,curl,20,1.000,10.713,10072064.000,1,0,148.790,138.417,9233333589.333,9215637162.667,10,0
nodeinfo,0,1.000,0.134,26033664.000,1,0,curl,30,1.000,15.256,6017024.000,1,0,127.120,143.640,9201339733.333,9239017472.000,10,0
nodeinfo,0,1.000,0.148,26058752.000,1,0,curl,30,1.000,19.530,5040128.000,5,0,155.200,142.670,9235496960.000,9227928234.667,10,0
nodeinfo,0,1.000,0.133,25605632.000,1,0,curl,30,1.000,23.845,8101888.000,5,0,137.560,146.430,9226164224.000,9227042133.333,10,0
nodeinfo,0,1.000,0.134,25790293.333,1,0,curl,40,1.000,24.462,5784064.000,1,0,146.600,148.130,9219847509.333,9233002325.333,10,0
nodeinfo,0,1.000,0.134,25862656.000,1,0,curl,40,1.000,27.960,7448576.000,1,0,163.720,151.532,9221459968.000,9239631018.667,10,0
nodeinfo,0,1.000,0.123,25697792.000,1,0,curl,40,1.000,22.851,5403818.667,1,0,158.000,151.472,9239108949.333,9250377557.333,10,0
nodeinfo,0,1.000,0.142,25868288.000,1,0,curl,50,1.000,25.239,8040448.000,5,0,165.840,154.002,9245516458.667,9255488341.333,10,0
