function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_qrcode-go,rate_function_qrcode-go,success_rate_function_qrcode-go,cpu_usage_function_qrcode-go,ram_usage_function_qrcode-go,replica_qrcode-go,overloaded_function_qrcode-go,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,71.600,71.600,9360276138.667,9360276138.667,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,71.360,71.360,9354874197.333,9354874197.333,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,71.240,71.240,9352550400.000,9352550400.000,10,0
nodeinfo,0,1.000,0.150,21888682.667,1,0,qrcode-go,10,1.000,6.233,15324672.000,1,0,65.960,81.480,9353734826.667,9358999381.333,10,0
nodeinfo,0,1.000,0.129,22611456.000,1,0,qrcode-go,10,1.000,13.741,4231168.000,1,0,110.640,107.416,9367603882.667,9385528149.333,10,0
nodeinfo,0,1.000,0.157,23027541.333,1,0,qrcode-go,10,1.000,11.458,4902912.000,1,0,122.040,111.640,9380819626.667,9379075413.333,10,0
nodeinfo,0,1.000,0.130,23565824.000,1,0,qrcode-go,20,1.000,17.160,5660672.000,1,0,120.040,137.280,9370382336.000,9401217194.667,10,0
nodeinfo,0,1.000,0.134,24460117.333,1,0,qrcode-go,20,1.000,20.604,18892629.333,5,0,157.160,142.236,9379310250.667,9360595285.333,10,0
nodeinfo,0,1.000,0.139,24921770.667,1,0,qrcode-go,20,1.000,26.052,19450197.333,1,0,145.362,132.061,9351443114.667,9352377002.667,10,0
nodeinfo,0,1.000,0.149,25361749.333,1,0,qrcode-go,30,1.000,27.411,4446208.000,1,0,142.009,141.133,9335912448.000,9347833856.000,10,0
nodeinfo,0,1.000,0.145,25249280.000,1,0,qrcode-go,30,1.000,38.011,19097600.000,1,0,161.920,149.560,9338571434.667,9341970432.000,10,0
nodeinfo,0,1.000,0.148,24669696.000,1,0,qrcode-go,30,1.000,36.300,4751360.000,1,0,154.200,146.150,9336150016.000,9343097344.000,10,0
nodeinfo,0,1.000,0.154,24818176.000,1,0,qrcode-go,40,1.000,40.276,4308480.000,1,0,160.790,155.145,9342008661.333,9353059498.667,10,0
nodeinfo,0,1.000,0.129,24947200.000,1,0,qrcode-go,40,1.000,45.250,21787648.000,1,0,189.220,216.235,9345622698.667,9380428458.667,10,0
nodeinfo,0,1.000,0.138,25019904.000,1,0,qrcode-go,40,1.000,45.430,4956160.000,5,0,187.640,167.796,9373084330.667,9364737194.667,10,0
nodeinfo,0,1.000,0.146,25197056.000,1,0,qrcode-go,50,1.000,61.439,3514368.000,5,0,179.800,176.126,9364635648.000,9364941994.667,10,0
nodeinfo,0,1.000,0.169,25277440.000,1,0,qrcode-go,50,1.000,43.882,4782762.667,5,0,180.400,174.991,9360137420.800,9361785446.400,10,0
nodeinfo,0,1.000,0.137,25422677.333,1,0,qrcode-go,50,1.000,57.398,23950336.000,5,0,159.680,173.389,9354371754.667,9370857813.333,10,0
nodeinfo,10,1.000,1.759,27022506.667,5,0,qrcode-go,0,1.000,18.426,3371008.000,1,0,172.520,139.550,9387263317.333,9406015146.667,10,0
nodeinfo,10,1.000,3.159,5824512.000,5,0,qrcode-go,0,1.000,0.130,21552640.000,1,0,123.440,119.610,9435376981.333,9408284330.667,10,0
nodeinfo,10,1.000,4.735,6369280.000,5,0,qrcode-go,0,1.000,0.122,21622784.000,1,0,127.880,132.459,9411531434.667,9422639445.333,10,0
nodeinfo,10,1.000,4.303,5074944.000,5,0,qrcode-go,10,1.000,8.646,21936298.667,5,0,107.880,123.249,9386605226.667,9384495445.333,10,0
nodeinfo,10,1.000,1.963,5632000.000,5,0,qrcode-go,10,1.000,14.376,21785429.333,5,0,130.600,145.888,9402861568.000,9426430293.333,10,0
nodeinfo,10,1.000,2.160,3776512.000,1,0,qrcode-go,10,1.000,11.088,21864960.000,1,0,151.800,137.990,9434056704.000,9435044181.333,10,0
nodeinfo,10,1.000,2.824,5857280.000,1,0,qrcode-go,20,1.000,22.123,4470784.000,9,0,138.926,161.339,9370321578.667,9440349525.333,10,0
nodeinfo,10,1.000,2.453,16285696.000,1,0,qrcode-go,20,1.000,24.478,8693248.000,17,1,175.215,178.082,9498930517.333,9586403840.000,10,1
nodeinfo,10,1.000,2.509,6238208.000,1,0,qrcode-go,20,1.000,19.996,3734528.000,5,0,186.800,167.066,9663564458.667,9698694826.667,20,0
nodeinfo,10,1.000,4.026,37872128.000,1,0,qrcode-go,30,1.000,32.939,21633536.000,13,0,209.200,201.059,9521315157.333,9566667434.667,10,0
nodeinfo,10,1.000,2.983,38378496.000,1,0,qrcode-go,30,1.000,27.024,3920896.000,1,0,207.080,183.139,9613581653.333,9684321962.667,20,0
nodeinfo,10,1.000,3.054,14071808.000,1,0,qrcode-go,30,1.000,40.798,22456832.000,1,0,197.485,186.911,9522571946.667,9542479872.000,10,0
nodeinfo,10,1.000,2.925,4526080.000,1,0,qrcode-go,40,1.000,32.847,22215680.000,1,0,202.080,201.988,9516537173.333,9546460672.000,10,0
nodeinfo,10,1.000,1.618,7737344.000,1,0,qrcode-go,40,1.000,53.311,21401941.333,1,0,211.360,207.967,9521050965.333,9541986304.000,10,0
nodeinfo,10,1.000,1.924,20785152.000,1,0,qrcode-go,40,1.000,41.999,4868096.000,1,0,204.040,193.169,9507297962.667,9531633868.800,10,0
nodeinfo,10,1.000,2.281,14282752.000,1,0,qrcode-go,50,1.000,63.984,21827072.000,1,0,202.872,205.746,9496149333.333,9520297642.667,10,0
nodeinfo,10,1.000,1.722,38680576.000,1,0,qrcode-go,50,1.000,58.820,22726144.000,1,0,218.230,216.285,9495810048.000,9531657728.000,10,0
nodeinfo,10,1.000,2.459,18591744.000,1,0,qrcode-go,50,1.000,44.364,28270080.000,1,0,209.233,202.366,9504425301.333,9531563690.667,10,0
nodeinfo,20,1.000,2.995,5734400.000,1,0,qrcode-go,0,1.000,26.757,26377216.000,1,0,209.322,154.767,9503423146.667,9519038634.667,10,0
nodeinfo,20,1.000,3.962,15797248.000,1,0,qrcode-go,0,1.000,0.124,22761472.000,1,0,132.000,117.770,9487594837.333,9486771200.000,10,0
nodeinfo,20,1.000,5.385,7557120.000,5,0,qrcode-go,0,1.000,0.125,22763861.333,1,0,115.100,149.910,9459585024.000,9501276501.333,10,0
nodeinfo,20,1.000,5.266,39290368.000,5,0,qrcode-go,10,1.000,7.688,23597909.333,5,0,116.000,132.097,9477118634.667,9476709888.000,10,0
nodeinfo,20,1.000,3.731,7036928.000,5,0,qrcode-go,10,1.000,14.182,23362560.000,5,0,141.200,155.974,9490882560.000,9510822229.333,10,0
nodeinfo,20,1.000,5.006,39275178.667,5,0,qrcode-go,10,1.000,11.732,23349418.667,5,0,147.720,150.332,9506926592.000,9517339306.667,10,0
nodeinfo,20,1.000,3.890,17657856.000,5,0,qrcode-go,20,1.000,18.183,23313408.000,5,0,161.600,166.978,9515377322.667,9519458816.000,10,0
nodeinfo,20,1.000,4.492,5611520.000,5,0,qrcode-go,20,1.000,26.578,3854336.000,13,0,167.800,176.161,9515077632.000,9556595200.000,10,0
nodeinfo,20,1.000,5.353,15500288.000,9,0,qrcode-go,20,1.000,21.723,6650368.000,17,1,170.080,165.250,9641735509.333,9718881792.000,10,1
nodeinfo,30,1.000,5.929,5828608.000,5,0,qrcode-go,0,1.000,3.219,7882752.000,1,0,182.440,164.369,9864059562.667,9843842560.000,20,0
nodeinfo,30,1.000,8.511,16918528.000,9,0,qrcode-go,0,1.000,0.131,22755840.000,1,0,165.360,133.620,9593210880.000,9596439040.000,10,0
nodeinfo,30,1.000,12.149,27693226.667,13,0,qrcode-go,0,1.000,0.144,22759936.000,1,0,144.494,139.144,9679865856.000,9752686762.667,10,0
nodeinfo,30,1.000,5.648,29210624.000,5,0,qrcode-go,10,1.000,9.694,23182848.000,1,0,131.722,155.056,9801631744.000,9741405354.667,20,0
nodeinfo,30,1.000,13.099,14438400.000,13,0,qrcode-go,10,1.000,11.212,22540288.000,1,0,179.280,174.051,9578851669.333,9692959402.667,10,0
nodeinfo,30,1.000,6.786,25288704.000,5,0,qrcode-go,10,1.000,8.676,4209152.000,1,0,185.857,199.841,9850084010.667,9836121941.333,20,0
