function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
shasum,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,81.080,81.080,9538067797.333,9538067797.333,10,0
shasum,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,79.200,79.200,9535944021.333,9535944021.333,10,0
shasum,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,71.800,71.800,9535442261.333,9535442261.333,10,0
shasum,0,1.000,0.090,5669546.667,1,0,curl,10,1.000,5.706,23440896.000,1,0,75.240,87.329,9535560362.667,9533265237.333,10,0
shasum,0,1.000,0.109,6020096.000,1,0,curl,10,1.000,8.151,25981440.000,1,0,111.120,113.390,9553271466.667,9573597525.333,10,0
shasum,0,1.000,0.085,6305962.667,1,0,curl,10,1.000,7.124,5079040.000,1,0,127.640,114.740,9575445845.333,9583276032.000,10,0
shasum,0,1.000,0.074,6633984.000,1,0,curl,20,1.000,11.721,4138325.333,1,0,130.000,149.110,9565196288.000,9593647616.000,10,0
shasum,0,1.000,0.082,6945792.000,1,0,curl,20,1.000,14.274,6631424.000,1,0,147.280,133.500,9593193813.333,9586185557.333,10,0
shasum,0,1.000,0.089,7243776.000,1,0,curl,20,1.000,13.821,5951488.000,1,0,154.040,133.306,9582851413.333,9589753344.000,10,0
shasum,0,1.000,0.088,7516842.667,1,0,curl,30,1.000,16.462,2555904.000,5,0,141.342,145.873,9580754261.333,9589688149.333,10,0
shasum,0,1.000,0.089,7764992.000,1,0,curl,30,1.000,18.469,5586944.000,5,0,156.639,142.300,9600152917.333,9602530986.667,10,0
shasum,0,1.000,0.086,8141312.000,1,0,curl,30,1.000,19.297,6213802.667,1,0,153.480,137.720,9595842560.000,9599527082.667,10,0
shasum,0,1.000,0.102,8432640.000,1,0,curl,40,1.000,24.670,34770090.667,5,0,140.650,153.525,9581748224.000,9599336721.067,10,0
shasum,0,1.000,0.078,8537600.000,1,0,curl,40,1.000,19.148,2916352.000,5,0,176.640,182.048,9611907754.667,9641883989.333,10,0
