function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,79.320,79.320,9749845333.333,9749845333.333,10,0
env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,83.440,83.440,9732758186.667,9732758186.667,10,0
env,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,82.680,82.680,9716698453.333,9716698453.333,10,0
env,0,1.000,0.097,5690880.000,1,0,cows,10,1.000,0.971,43091456.000,1,0,77.160,80.880,9717128533.333,9722746538.667,10,0
env,0,1.000,0.090,6183082.667,1,0,cows,10,1.000,2.396,48196096.000,1,0,111.424,116.596,9747595264.000,9787135146.667,10,0
env,0,1.000,0.111,6410240.000,1,0,cows,10,1.000,3.318,50411008.000,1,0,124.130,111.932,9802414080.000,9803089066.667,10,0
env,0,1.000,0.095,6761984.000,1,0,cows,20,1.000,4.103,52157952.000,1,0,112.840,141.410,9765174613.333,9820274005.333,10,0
env,0,1.000,0.089,7099392.000,1,0,cows,20,1.000,2.953,54347264.000,1,0,146.240,131.020,9801586005.333,9806682112.000,10,0
env,0,1.000,0.091,7590741.333,1,0,cows,20,1.000,4.322,54648320.000,1,0,131.680,119.770,9810625194.667,9829357056.000,10,0
env,0,1.000,0.098,7912960.000,1,0,cows,30,1.000,4.312,54790997.333,5,0,130.120,129.048,9834090496.000,9818338645.333,10,0
env,0,1.000,0.094,8217600.000,1,0,cows,30,1.000,4.941,55818752.000,1,0,152.160,146.570,9842883242.667,9848750592.000,10,0
env,0,1.000,0.104,8574464.000,1,0,cows,30,1.000,5.157,56184320.000,5,0,114.887,125.682,9805393920.000,9821458261.333,10,0
env,0,1.000,0.088,8676864.000,1,0,cows,40,1.000,6.136,56498176.000,5,0,116.680,123.093,9814220117.333,9834054314.667,10,0
env,0,1.000,0.116,8701952.000,1,0,cows,40,1.000,7.516,15553024.000,5,0,167.483,163.466,9858519040.000,9852205226.667,10,0
env,0,1.000,0.113,8744448.000,1,0,cows,40,1.000,8.998,57945600.000,5,0,123.200,135.160,9810973354.667,9809532416.000,10,0
