function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,78.320,78.320,9734162432.000,9734162432.000,10,0
env,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,75.680,75.680,9728983040.000,9728983040.000,10,0
env,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,67.800,67.800,9727133013.333,9727133013.333,10,0
env,0,1.000,0.087,5441877.333,1,0,nmap,10,1.000,42.566,25340416.000,1,0,74.080,120.478,9729073152.000,9734534656.000,10,0
env,0,1.000,0.070,5850112.000,1,0,nmap,10,1.000,53.909,39584256.000,5,0,153.840,167.604,9757407914.667,9761098410.667,10,0
env,0,1.000,0.092,6295040.000,1,0,nmap,10,1.000,60.772,5500928.000,5,0,170.680,171.443,9726554112.000,9720511488.000,10,0
env,0,1.000,0.080,6664601.600,1,0,nmap,20,0.367,90.040,103911424.000,5,1,185.520,198.017,9715823274.667,9839836364.800,10,1
env,0,1.000,0.085,7208686.933,1,0,nmap,20,0.457,100.023,103457177.600,1,1,192.696,192.059,9853732864.000,9840560537.600,10,1
env,0,1.000,0.065,7625523.200,1,0,nmap,20,0.420,111.069,104758749.867,1,1,194.402,188.597,9820593493.333,9810794632.533,10,1
env,10,1.000,1.256,8428714.667,5,0,nmap,0,1.000,32.938,67551744.000,1,0,163.593,122.766,9810390357.333,9755221845.333,10,0
env,10,1.000,1.224,4296192.000,5,0,nmap,0,1.000,0.215,45819904.000,1,0,101.360,102.890,9725951317.333,9735708842.667,10,0
env,10,1.000,2.005,3317760.000,5,0,nmap,0,1.000,0.206,45843456.000,1,0,145.280,130.740,9754852010.667,9762298197.333,10,0
env,10,1.000,2.008,4553386.667,5,0,nmap,10,1.000,44.937,64628736.000,5,0,108.720,156.509,9723374933.333,9749191168.000,10,0
env,10,1.000,1.367,3012096.000,5,0,nmap,10,1.000,74.713,3385344.000,5,0,178.080,187.235,9793661610.667,9794597376.000,10,0
env,10,1.000,1.608,2818048.000,1,0,nmap,10,1.000,63.278,8169472.000,1,0,201.594,196.888,9773372074.667,9833461930.667,10,0
env,10,1.000,1.572,4162355.200,9,0,nmap,20,0.113,69.797,125575987.200,1,1,217.531,210.583,9832516266.667,10005457305.600,10,1
env,10,1.000,0.826,5246976.000,5,0,nmap,20,0.152,60.467,133587353.600,1,1,209.336,210.248,10009232725.333,9970541226.667,10,1
env,10,1.000,1.035,2826240.000,9,0,nmap,20,0.255,98.513,130547848.533,1,1,185.432,190.871,9910248789.333,9899652164.267,10,1
env,20,1.000,1.315,2826240.000,1,0,nmap,0,1.000,51.530,3096576.000,1,0,205.278,169.374,9917246122.667,9855496192.000,10,0
env,20,1.000,3.492,3672064.000,1,0,nmap,0,1.000,0.190,52169898.667,1,0,106.920,102.010,9763685717.333,9776312149.333,10,0
env,20,1.000,2.909,4012032.000,1,0,nmap,0,1.000,0.282,52178944.000,1,0,124.520,110.850,9761103189.333,9762272938.667,10,0
env,20,1.000,3.317,4274176.000,1,0,nmap,10,1.000,65.817,61659136.000,1,0,118.240,167.654,9753593856.000,9807596202.667,10,0
env,20,1.000,2.403,2985984.000,1,0,nmap,10,1.000,52.786,5112832.000,1,0,210.933,199.289,9828199765.333,9832995840.000,10,0
env,20,1.000,3.493,4027392.000,5,0,nmap,10,1.000,70.162,9244672.000,5,0,205.320,204.471,9801994922.667,9827757909.333,10,0
env,20,1.000,2.697,5332992.000,9,0,nmap,20,0.285,79.996,144061781.333,1,1,196.240,199.643,9799598080.000,9918074606.933,10,1
env,20,1.000,2.426,3096576.000,1,0,nmap,20,0.180,108.257,157684508.444,1,1,213.663,212.440,9931413504.000,9985148359.111,10,1
env,20,1.000,2.832,2580480.000,9,0,nmap,20,0.213,88.822,136135884.800,1,1,178.023,191.057,9932864170.667,9938712576.000,10,1
env,30,1.000,3.447,3330048.000,1,0,nmap,0,1.000,0.216,52404224.000,1,0,210.460,186.437,9905365674.667,9853554176.000,10,0
env,30,1.000,3.883,4845568.000,1,0,nmap,0,1.000,0.248,52404224.000,1,0,144.240,125.410,9754970112.000,9759645013.333,10,0
env,30,1.000,4.953,4386816.000,1,0,nmap,0,1.000,0.338,52404224.000,1,0,141.720,125.080,9744948565.333,9749302442.667,10,0
env,30,1.000,3.631,3531264.000,5,0,nmap,10,1.000,40.687,65144832.000,5,0,130.480,171.358,9743771648.000,9796709888.000,10,0
env,30,1.000,4.032,4470784.000,5,0,nmap,10,1.000,59.243,66999808.000,5,0,197.117,197.567,9829903701.333,9826100053.333,10,0
env,30,1.000,2.707,4448256.000,5,0,nmap,10,1.000,60.091,77130752.000,5,0,208.600,205.604,9802457770.667,9813080405.333,10,0
env,30,1.000,3.700,5187584.000,9,0,nmap,20,0.152,90.273,38546909.867,1,1,200.720,197.005,9786368682.667,10014340437.333,10,1
env,30,1.000,2.631,8336725.333,5,0,nmap,20,0.210,107.478,14943232.000,1,1,190.101,203.472,10032915114.667,9956024320.000,10,1
env,30,1.000,3.032,2887680.000,5,0,nmap,20,0.222,112.556,159879168.000,1,1,192.624,195.026,9903139498.667,9914859929.600,10,1
env,40,1.000,2.478,2826240.000,1,0,nmap,0,1.000,47.081,83047424.000,1,0,184.061,143.766,9919731712.000,9841196885.333,10,0
env,40,1.000,5.474,5021696.000,1,0,nmap,0,1.000,0.192,52247381.333,1,0,129.360,125.054,9764291925.333,9783445674.667,10,0
env,40,1.000,6.342,4734293.333,1,0,nmap,0,1.000,0.373,52248576.000,1,0,127.514,127.528,9765031253.333,9778250922.667,10,0
env,40,1.000,5.006,7114752.000,1,0,nmap,10,1.000,54.356,58137088.000,1,0,129.440,170.666,9771460608.000,9787804672.000,10,0
env,40,1.000,4.733,7237632.000,1,0,nmap,10,1.000,62.038,62250496.000,1,0,206.079,200.678,9818829482.667,9845165909.333,10,0
env,40,1.000,5.382,4278784.000,1,0,nmap,10,1.000,76.808,69115904.000,1,0,208.000,201.550,9851825493.333,9874649600.000,10,0
env,40,1.000,5.482,6672384.000,5,0,nmap,20,0.198,92.200,108874137.600,1,1,213.800,206.606,9857962666.667,9975407411.200,10,1
env,40,1.000,2.925,2891776.000,9,0,nmap,20,0.278,104.998,151952179.200,1,1,188.620,190.594,9975951360.000,9927267669.333,10,1
env,40,1.000,2.704,2875392.000,5,0,nmap,20,0.197,94.072,133196185.600,1,1,208.274,207.765,9952079189.333,9971633766.400,10,1
env,50,1.000,4.234,2772992.000,5,0,nmap,0,1.000,31.961,67487232.000,1,0,172.002,142.557,9947011072.000,9862150997.333,10,0
env,50,1.000,5.465,5406208.000,9,0,nmap,0,1.000,0.192,53067776.000,1,0,127.240,117.672,9790891349.333,9810534058.667,10,0
env,50,1.000,7.080,9495893.333,13,0,nmap,0,1.000,0.330,53067776.000,1,0,119.120,124.629,9836107093.333,9861585408.000,10,0
env,50,1.000,6.727,4980736.000,17,1,nmap,10,1.000,29.869,56139093.333,1,0,124.680,161.811,9909901312.000,9954458624.000,10,1
env,50,1.000,4.864,3532288.000,5,0,nmap,10,0.997,24.936,6554112.000,1,0,213.920,183.405,10017824085.333,10132808874.667,20,0
env,50,1.000,5.920,2891776.000,1,0,nmap,10,1.000,68.834,93483178.667,1,0,222.937,225.631,10013788160.000,10008461994.667,10,0
env,50,0.762,6.094,4802901.333,1,1,nmap,20,0.107,77.305,145856398.222,1,1,230.465,213.635,10079857322.667,10237564245.333,10,1
env,50,1.000,3.354,6352896.000,5,0,nmap,20,0.200,93.559,158377028.267,1,1,190.101,202.413,10166005760.000,10126116590.933,10,1
env,50,1.000,4.411,3530752.000,5,0,nmap,20,0.190,100.991,176517939.200,1,1,183.334,192.113,10071743146.667,10048000000.000,10,1
