function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,73.600,73.600,9875423232.000,9875423232.000,10,0
env,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,73.920,73.920,9876071765.333,9876071765.333,10,0
env,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,73.680,73.680,9870773589.333,9870773589.333,10,0
env,0,1.000,0.096,5736448.000,1,0,curl,10,1.000,4.843,22898688.000,1,0,69.840,80.830,9857969493.333,9838400000.000,10,0
env,0,1.000,0.094,6275072.000,1,0,curl,10,1.000,4.023,4311040.000,1,0,112.800,121.886,9814199637.333,9858174464.000,10,0
env,0,1.000,0.088,6559744.000,1,0,curl,10,1.000,5.753,2813952.000,5,0,138.840,122.090,9859936938.667,9852368896.000,10,0
env,0,1.000,0.087,6874112.000,1,0,curl,20,1.000,8.170,2797568.000,5,0,117.040,127.220,9855435434.667,9853919402.667,10,0
env,0,1.000,0.076,7119872.000,1,0,curl,20,1.000,12.290,4982101.333,5,0,128.040,125.160,9843590485.333,9848249344.000,10,0
env,0,1.000,0.083,7452672.000,1,0,curl,20,1.000,15.036,6986752.000,9,0,131.320,130.129,9837393237.333,9859902464.000,10,0
env,0,1.000,0.075,7811584.000,1,0,curl,30,1.000,20.394,10841088.000,13,0,129.720,149.250,9906653184.000,9960360789.333,10,0
env,0,1.000,0.085,8163840.000,1,0,curl,30,1.000,19.808,11618133.333,17,1,133.600,148.430,10031704746.667,10064958122.667,10,1
env,0,1.000,0.086,8491008.000,1,0,curl,30,1.000,19.690,11162624.000,1,0,162.000,157.674,10120728576.000,10118870357.333,20,0
env,0,1.000,0.078,8516096.000,1,0,curl,40,1.000,23.252,7208960.000,1,0,190.400,170.686,9937958912.000,9909964288.000,10,0
env,0,1.000,0.107,8559616.000,1,0,curl,40,1.000,25.908,5386240.000,1,0,151.720,152.060,9890978474.667,9896558592.000,10,0
env,0,1.000,0.059,8584192.000,1,0,curl,40,1.000,26.063,6750208.000,1,0,166.771,170.116,9890997589.333,9927633578.667,10,0
env,0,1.000,0.090,8676864.000,1,0,curl,50,1.000,29.080,7823360.000,5,0,171.280,171.740,9920249856.000,9915609770.667,10,0
env,0,1.000,0.098,8762538.667,1,0,curl,50,1.000,29.919,4805973.333,5,0,169.960,167.629,9915026090.667,9912321706.667,10,0
env,0,1.000,0.087,8805034.667,1,0,curl,50,1.000,37.655,6135808.000,5,0,188.000,171.521,9901418496.000,9909059072.000,10,0
env,10,1.000,1.168,8956928.000,5,0,curl,0,1.000,9.900,4028416.000,1,0,145.854,125.813,9893595136.000,9902953130.667,10,0
env,10,1.000,1.488,3694592.000,5,0,curl,0,1.000,0.183,30015488.000,1,0,101.400,102.300,9896984576.000,9898007552.000,10,0
env,10,1.000,1.674,2953216.000,5,0,curl,0,1.000,0.178,30015488.000,1,0,135.960,132.140,9885432490.667,9895601493.333,10,0
env,10,1.000,1.992,9773056.000,5,0,curl,10,1.000,4.984,31798954.667,5,0,118.720,133.080,9871205034.667,9871815680.000,10,0
env,10,1.000,1.587,3738112.000,5,0,curl,10,1.000,6.716,5295104.000,5,0,153.240,152.057,9910689109.333,9888989525.333,10,0
env,10,1.000,1.838,3807232.000,1,0,curl,10,1.000,3.998,4544512.000,1,0,174.645,147.091,9826940245.333,9841850880.000,10,0
env,10,1.000,1.691,10036736.000,1,0,curl,20,1.000,9.383,2994176.000,9,0,142.120,161.289,9801266517.333,9865916245.333,10,0
env,10,1.000,1.473,4397056.000,1,0,curl,20,1.000,15.416,7293440.000,1,0,181.400,169.353,9961837226.667,9968839850.667,10,0
env,10,1.000,1.550,4125184.000,1,0,curl,20,1.000,13.381,2527232.000,1,0,205.040,182.857,9908317525.333,9861166592.000,10,0
env,10,1.000,1.423,6160384.000,1,0,curl,30,1.000,21.132,7700480.000,1,0,162.160,166.340,9809602560.000,9831320576.000,10,0
env,10,1.000,0.946,10098176.000,1,0,curl,30,1.000,19.993,6125568.000,1,0,180.760,168.992,9828412074.667,9849120597.333,10,0
env,10,1.000,1.671,4155904.000,1,0,curl,30,1.000,15.670,6330368.000,1,0,194.400,172.635,9856904533.333,9865400832.000,10,0
env,10,1.000,1.958,4069376.000,1,0,curl,40,1.000,24.759,4954112.000,1,0,177.688,182.620,9841135616.000,9860844202.667,10,0
env,10,1.000,1.543,4179968.000,1,0,curl,40,1.000,19.322,5000704.000,1,0,206.839,182.734,9840165546.667,9842995541.333,10,0
env,10,1.000,1.689,3590144.000,1,0,curl,40,1.000,26.017,8577024.000,1,0,203.684,187.354,9831954432.000,9848200192.000,10,0
env,10,1.000,1.609,5160960.000,5,0,curl,50,1.000,41.281,5769216.000,5,0,195.040,191.918,9829713920.000,9848178005.333,10,0
env,10,1.000,1.208,3728384.000,5,0,curl,50,1.000,26.466,5527552.000,5,0,203.155,201.046,9874698240.000,9882884608.000,10,0
env,10,1.000,1.792,3872768.000,5,0,curl,50,1.000,32.967,5442560.000,13,0,199.880,205.228,9869456042.667,9912619349.333,10,0
env,20,1.000,2.148,3006464.000,5,0,curl,0,1.000,9.594,9669973.333,1,0,203.920,168.590,10008787626.667,10039510016.000,10,0
env,20,1.000,3.080,5260800.000,9,0,curl,0,1.000,0.153,3772416.000,1,0,164.560,128.300,9966260224.000,9890063360.000,10,0
env,20,1.000,3.746,8316928.000,13,0,curl,0,1.000,0.183,31529472.000,1,0,123.080,128.220,9879733589.333,9918639786.667,10,0
env,20,1.000,3.963,8593920.000,17,1,curl,10,1.000,5.439,32938496.000,1,0,103.480,129.711,9971004757.333,10008469333.333,10,1
env,20,1.000,2.745,8912896.000,5,0,curl,10,1.000,7.150,3731456.000,1,0,140.400,163.318,10062287530.667,10096958122.667,20,0
env,20,1.000,2.012,3817984.000,1,0,curl,10,1.000,6.536,4958208.000,1,0,213.720,184.032,9936567637.333,9952689493.333,10,0
env,20,1.000,3.133,5648384.000,1,0,curl,20,1.000,12.739,5351424.000,1,0,186.480,182.536,9939052544.000,9935796224.000,10,0
env,20,1.000,2.258,6430720.000,1,0,curl,20,1.000,10.789,4711936.000,1,0,192.000,176.832,9906806101.333,9916457130.667,10,0
env,20,1.000,2.581,4470784.000,1,0,curl,20,1.000,15.197,5867520.000,1,0,184.816,175.534,9907719509.333,9924152832.000,10,0
env,20,1.000,3.310,4528128.000,1,0,curl,30,1.000,17.415,4886016.000,1,0,216.186,204.710,9917637290.667,9928719018.667,10,0
env,20,1.000,3.313,4501504.000,1,0,curl,30,1.000,17.640,8032256.000,1,0,205.680,177.500,9899272192.000,9904498858.667,10,0
env,20,1.000,2.863,4667392.000,1,0,curl,30,1.000,20.487,7194624.000,1,0,178.240,166.963,9890869248.000,9898337792.000,10,0
env,20,1.000,2.636,4247552.000,1,0,curl,40,1.000,15.008,6991872.000,1,0,187.640,173.581,9892817578.667,9907154773.333,10,0
env,20,1.000,3.461,6049792.000,5,0,curl,40,1.000,32.137,6598656.000,5,0,199.760,187.383,9895826773.333,9907347626.667,10,0
env,20,1.000,3.026,10677248.000,5,0,curl,40,1.000,28.398,5898240.000,5,0,188.720,192.447,9909568853.333,9925514410.667,10,0
env,20,1.000,3.209,3912192.000,5,0,curl,50,1.000,20.457,8103424.000,13,0,191.160,200.069,9915540821.333,9964060672.000,10,0
env,20,1.000,3.255,4020224.000,5,0,curl,50,1.000,35.722,12517376.000,20,1,214.167,214.147,10052429141.333,10111760042.667,10,1
env,20,1.000,1.539,3506176.000,5,0,curl,50,1.000,14.024,12893184.000,5,0,213.326,183.726,10203545600.000,10202359296.000,20,0
env,30,1.000,3.730,2621440.000,9,0,curl,0,1.000,10.321,2990592.000,1,0,230.843,190.411,10044835157.333,10000268458.667,10,0
env,30,1.000,5.216,3483648.000,13,0,curl,0,1.000,0.181,3756032.000,1,0,159.840,130.670,9999795541.333,9998926677.333,10,0
env,30,1.000,5.839,5852672.000,17,1,curl,0,1.000,0.191,34742272.000,1,0,128.240,131.932,10034857984.000,10068242773.333,10,1
