function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_qrcode-go,rate_function_qrcode-go,success_rate_function_qrcode-go,cpu_usage_function_qrcode-go,ram_usage_function_qrcode-go,replica_qrcode-go,overloaded_function_qrcode-go,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,69.480,69.480,9781604352.000,9781604352.000,10,0
env,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,73.840,73.840,9781858304.000,9781858304.000,10,0
env,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,81.360,81.360,9779955029.333,9780495155.200,10,0
env,0,1.000,0.091,5746176.000,1,0,qrcode-go,10,1.000,6.686,14988288.000,1,0,75.500,88.050,9783851008.000,9781484885.333,10,0
env,0,1.000,0.099,6298112.000,1,0,qrcode-go,10,1.000,11.627,4126208.000,1,0,117.680,116.210,9780075861.333,9800363690.667,10,0
env,0,1.000,0.098,6901760.000,1,0,qrcode-go,10,1.000,12.653,4780032.000,1,0,120.800,120.334,9796851029.333,9802023765.333,10,0
env,0,1.000,0.089,7392256.000,1,0,qrcode-go,20,1.000,17.385,4552704.000,5,0,133.200,152.410,9800814592.000,9837983744.000,10,0
env,0,1.000,0.093,7668736.000,1,0,qrcode-go,20,1.000,26.675,4394496.000,5,0,154.600,151.147,9835217578.667,9819191808.000,10,0
env,0,1.000,0.082,7996416.000,1,0,qrcode-go,20,1.000,17.294,4590080.000,1,0,139.960,138.782,9805623978.667,9807398741.333,10,0
env,0,1.000,0.083,8259242.667,1,0,qrcode-go,30,1.000,36.096,4276224.000,1,0,152.840,149.559,9797197141.333,9810346666.667,10,0
env,0,1.000,0.111,8696832.000,1,0,qrcode-go,30,1.000,28.006,3215360.000,5,0,152.320,167.057,9797840896.000,9806019584.000,10,0
env,0,1.000,0.082,8833024.000,1,0,qrcode-go,30,1.000,37.031,4829184.000,5,0,153.840,155.986,9810425856.000,9815474858.667,10,0
env,0,1.000,0.078,8881152.000,1,0,qrcode-go,40,1.000,45.463,5323776.000,1,0,167.440,168.520,9810662741.333,9815729152.000,10,0
env,0,1.000,0.124,8921770.667,1,0,qrcode-go,40,1.000,57.175,3104768.000,1,0,177.240,187.418,9801503402.667,9847225344.000,10,0
env,0,1.000,0.082,8928768.000,1,0,qrcode-go,40,1.000,52.007,4716544.000,5,0,177.463,170.516,9853435904.000,9844534442.667,10,0
env,0,1.000,0.092,8929792.000,1,0,qrcode-go,50,1.000,73.033,7286784.000,1,0,184.080,177.479,9843705856.000,9827836074.667,10,0
env,0,1.000,0.102,8976384.000,1,0,qrcode-go,50,1.000,64.888,6696960.000,1,0,188.120,184.850,9800973653.333,9820783957.333,10,0
env,0,1.000,0.083,8994304.000,1,0,qrcode-go,50,1.000,41.970,3555328.000,5,0,183.574,189.410,9821502122.667,9851020800.000,10,0
env,10,1.000,0.747,2834432.000,5,0,qrcode-go,0,1.000,22.394,3627008.000,1,0,185.280,132.040,9866032469.333,9850280448.000,10,0
env,10,1.000,1.770,3779242.667,5,0,qrcode-go,0,1.000,0.144,4124672.000,1,0,113.200,107.770,9838385834.667,9834426026.667,10,0
env,10,1.000,1.760,10229248.000,5,0,qrcode-go,0,1.000,0.125,22043818.667,1,0,119.000,117.160,9833142272.000,9847967744.000,10,0
