function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
cows,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,73.800,73.800,9835713877.333,9835713877.333,10,0
cows,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,168.320,168.320,9847099392.000,9847099392.000,10,0
cows,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,169.760,169.760,9850442410.667,9850442410.667,10,0
cows,0,1.000,0.116,21449728.000,1,0,curl,10,1.000,4.185,3256320.000,5,0,65.640,85.260,9850691584.000,9851457877.333,10,0
cows,0,1.000,0.116,22023168.000,1,0,curl,10,1.000,8.035,4973909.333,5,0,108.120,116.680,9862456661.333,9856685738.667,10,0
cows,0,1.000,0.121,22613504.000,1,0,curl,10,1.000,7.941,26870442.667,1,0,148.960,125.140,9833963520.000,9843800064.000,10,0
cows,0,1.000,0.131,23181994.667,1,0,curl,20,1.000,9.186,28554240.000,5,0,119.320,121.180,9834928810.667,9852732074.667,10,0
cows,0,1.000,0.108,24246272.000,1,0,curl,20,1.000,13.754,30178816.000,5,0,128.840,130.930,9857019221.333,9865047210.667,10,0
cows,0,1.000,0.130,24513024.000,1,0,curl,20,1.000,14.948,3851605.333,5,0,129.960,135.870,9856789162.667,9868330154.667,10,0
cows,0,1.000,0.127,24951296.000,1,0,curl,30,1.000,11.410,4616192.000,5,0,149.400,172.070,9875576149.333,9909741056.000,10,0
cows,0,1.000,0.122,24242346.667,1,0,curl,30,1.000,14.850,6626304.000,9,0,171.081,149.344,9893270186.667,9903827797.333,10,0
cows,0,1.000,0.119,24335530.667,1,0,curl,30,1.000,22.221,11156480.000,13,0,148.920,150.228,9944943274.667,9976879786.667,10,0
cows,0,1.000,0.132,24545621.333,1,0,curl,40,1.000,25.071,11350528.000,17,1,164.680,172.203,10017771520.000,10062454272.000,10,1
cows,0,1.000,0.129,24313856.000,1,0,curl,40,1.000,23.512,11261440.000,5,0,175.200,152.450,10137617066.667,10104418133.333,20,0
cows,0,1.000,0.117,24459776.000,1,0,curl,40,1.000,21.976,6078805.333,1,0,219.240,189.690,9957402624.000,9958894421.333,10,0
cows,0,1.000,0.115,24611840.000,1,0,curl,50,1.000,32.726,7337984.000,1,0,170.920,172.336,9915477333.333,9914657280.000,10,0
cows,0,1.000,0.135,24852480.000,1,0,curl,50,1.000,31.291,8615936.000,1,0,171.880,169.860,9900451840.000,9911478101.333,10,0
cows,0,1.000,0.102,24967680.000,1,0,curl,50,1.000,24.447,8460288.000,1,0,174.120,183.918,9908903253.333,9914837674.667,10,0
cows,10,1.000,1.175,26151936.000,1,0,curl,0,1.000,10.446,3418112.000,1,0,197.800,130.240,9902725802.667,9898586794.667,10,0
cows,10,1.000,3.929,13670400.000,1,0,curl,0,1.000,0.193,30504277.333,1,0,121.360,105.820,9906038784.000,9914758144.000,10,0
cows,10,1.000,1.777,5582848.000,1,0,curl,0,1.000,0.213,30464000.000,1,0,101.120,122.280,9901565269.333,9940796586.667,10,0
cows,10,1.000,1.387,5079040.000,1,0,curl,10,1.000,6.240,32021504.000,1,0,106.720,108.852,9893078357.333,9913352704.000,10,0
cows,10,1.000,1.695,7462912.000,1,0,curl,10,1.000,7.958,32560640.000,1,0,139.680,136.150,9902793386.667,9950348800.000,10,0
cows,10,1.000,2.574,7819264.000,1,0,curl,10,1.000,7.697,32692224.000,1,0,152.000,141.291,9945438208.000,9969047893.333,10,0
cows,10,1.000,1.869,6483968.000,5,0,curl,20,1.000,9.547,33880576.000,5,0,146.240,151.562,9953726464.000,9971724288.000,10,0
cows,10,1.000,1.218,7155712.000,5,0,curl,20,1.000,13.424,34361856.000,5,0,166.440,165.417,9966837760.000,9980445525.333,10,0
cows,10,1.000,2.436,18575360.000,5,0,curl,20,1.000,12.655,34172416.000,5,0,155.560,159.464,9968550570.667,9977427114.667,10,0
cows,10,1.000,1.565,7077888.000,5,0,curl,30,1.000,18.863,2699264.000,13,0,168.000,170.464,9970291370.667,10018355200.000,10,0
cows,10,1.000,1.664,6246400.000,1,0,curl,30,1.000,21.560,6418432.000,17,1,179.320,183.364,10107759957.333,10164721322.667,10,1
cows,10,1.000,4.687,15641258.667,1,0,curl,30,1.000,16.360,8570538.667,5,0,158.880,173.541,10224381952.000,10286171818.667,20,0
cows,10,1.000,1.424,5459968.000,1,0,curl,40,1.000,20.055,7903232.000,13,0,213.080,209.820,10115297280.000,10154947072.000,10,0
cows,10,1.000,1.427,6164480.000,1,0,curl,40,1.000,21.205,10636401.778,1,0,216.617,184.470,10219874986.667,10235704832.000,20,0
cows,10,1.000,2.061,12802048.000,1,0,curl,40,1.000,24.898,34802688.000,1,0,196.059,188.072,10023898453.333,10065942528.000,10,0
cows,10,1.000,0.959,5423104.000,1,0,curl,50,1.000,27.996,35656704.000,1,0,176.760,186.740,10045885781.333,10077847552.000,10,0
cows,10,1.000,1.584,6074368.000,1,0,curl,50,1.000,33.026,4986368.000,1,0,205.590,190.824,10055591253.333,10086589440.000,10,0
cows,10,1.000,1.165,10936320.000,1,0,curl,50,1.000,21.559,8982528.000,1,0,198.800,195.325,10055856128.000,10076934485.333,10,0
cows,20,1.000,1.603,5079040.000,1,0,curl,0,1.000,1.736,3618816.000,1,0,201.446,155.850,10044844714.667,10048951466.667,10,0
cows,20,1.000,3.332,7122944.000,1,0,curl,0,1.000,0.177,31056384.000,1,0,137.840,113.160,10009610240.000,10010637141.333,10,0
cows,20,1.000,3.769,5353472.000,1,0,curl,0,1.000,0.179,31059968.000,1,0,107.840,129.596,9988429141.333,10035649024.000,10,0
cows,20,1.000,3.941,5402624.000,5,0,curl,10,1.000,5.503,32197120.000,5,0,111.400,117.220,9986052096.000,9997431296.000,10,0
cows,20,1.000,2.388,4911104.000,5,0,curl,10,1.000,4.476,32896512.000,5,0,146.600,145.044,10012051456.000,10031306581.333,10,0
cows,20,1.000,2.968,5398528.000,5,0,curl,10,1.000,6.955,3963904.000,5,0,159.600,166.575,10014762325.333,10014958080.000,10,0
cows,20,1.000,3.090,18051072.000,5,0,curl,20,1.000,10.803,33236480.000,5,0,184.160,178.015,10003647829.333,10017800362.667,10,0
cows,20,1.000,5.512,20410368.000,9,0,curl,20,1.000,12.611,5564416.000,9,0,180.480,155.780,10018432341.333,10081914026.667,10,0
cows,20,1.000,5.267,25499648.000,13,0,curl,20,1.000,14.344,9957205.333,13,0,171.760,167.121,10202261504.000,10280349525.333,10,0
cows,20,1.000,3.658,26477909.333,1,0,curl,30,1.000,16.323,5259264.000,1,0,195.360,192.769,10398499498.667,10434743637.333,10,0
cows,20,1.000,3.417,7335936.000,1,0,curl,30,1.000,22.658,5548544.000,1,0,248.920,220.235,10217265152.000,10145407317.333,10,0
cows,20,1.000,1.866,7593984.000,1,0,curl,30,1.000,20.970,36998656.000,1,0,179.360,181.750,10058842794.667,10086087338.667,10,0
cows,20,1.000,2.970,6782976.000,1,0,curl,40,1.000,31.179,7098368.000,1,0,189.400,202.310,10052412074.667,10088068608.000,10,0
cows,20,1.000,2.291,7929856.000,1,0,curl,40,1.000,21.031,3321856.000,1,0,281.480,238.568,10070646101.333,10091005440.000,10,0
