function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_qrcode-go,rate_function_qrcode-go,success_rate_function_qrcode-go,cpu_usage_function_qrcode-go,ram_usage_function_qrcode-go,replica_qrcode-go,overloaded_function_qrcode-go,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
cows,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,82.160,82.160,9949324629.333,9949324629.333,10,0
cows,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,74.920,74.920,9954895189.333,9954895189.333,10,0
cows,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,72.935,72.935,9956894037.333,9956894037.333,10,0
cows,0,1.000,0.154,21032448.000,1,0,qrcode-go,10,1.000,9.191,15298560.000,1,0,72.640,88.380,9955392853.333,9940347904.000,10,0
cows,0,1.000,0.127,21851648.000,1,0,qrcode-go,10,1.000,12.319,4240896.000,5,0,117.440,113.860,9930613418.667,9959379797.333,10,0
cows,0,1.000,0.125,22469802.667,1,0,qrcode-go,10,1.000,13.858,6230016.000,5,0,128.640,124.594,9962334208.000,9967498922.667,10,0
cows,0,1.000,0.127,23010816.000,1,0,qrcode-go,20,1.000,11.800,4151296.000,1,0,141.897,157.349,9968920576.000,9989172224.000,10,0
cows,0,1.000,0.119,23606272.000,1,0,qrcode-go,20,1.000,15.781,4276224.000,5,0,158.160,147.350,9957715285.333,9963234816.000,10,0
cows,0,1.000,0.137,24434176.000,1,0,qrcode-go,20,1.000,26.972,4455936.000,5,0,151.960,178.960,9967984640.000,9968946346.667,10,0
cows,0,1.000,0.127,24846677.333,1,0,qrcode-go,30,1.000,36.595,4996096.000,1,0,180.429,166.337,9957875029.333,9962032981.333,10,0
cows,0,1.000,0.147,24836096.000,1,0,qrcode-go,30,1.000,26.623,3067904.000,1,0,163.120,177.830,9955996330.667,9991387306.667,10,0
cows,0,1.000,0.124,24022528.000,1,0,qrcode-go,30,1.000,46.289,4714496.000,1,0,180.240,162.598,9980715008.000,9974747648.000,10,0
cows,0,1.000,0.126,24377856.000,1,0,qrcode-go,40,1.000,43.855,4527616.000,1,0,153.800,165.020,9959916202.667,9972219562.667,10,0
cows,0,1.000,0.132,24498176.000,1,0,qrcode-go,40,1.000,46.805,4813312.000,1,0,171.256,178.693,9974309546.667,9999475712.000,10,0
cows,0,1.000,0.139,24474112.000,1,0,qrcode-go,40,1.000,54.216,2625536.000,5,0,192.960,187.517,9977619114.667,9966469290.667,10,0
cows,0,1.000,0.106,24665941.333,1,0,qrcode-go,50,1.000,63.846,4929536.000,1,0,174.880,179.552,9969339733.333,9972580181.333,10,0
cows,0,1.000,0.128,24812714.667,1,0,qrcode-go,50,1.000,57.108,4794368.000,5,0,187.040,178.274,9955986773.333,9977021098.667,10,0
cows,0,1.000,0.123,25032704.000,1,0,qrcode-go,50,1.000,55.377,3332096.000,5,0,188.379,196.404,10005773653.333,10016867328.000,10,0
cows,10,1.000,1.499,5824512.000,5,0,qrcode-go,0,1.000,23.275,7196160.000,1,0,165.569,130.022,9982848341.333,9986100394.667,10,0
cows,10,1.000,4.261,5513216.000,5,0,qrcode-go,0,1.000,0.134,20903253.333,1,0,112.440,105.100,10010744832.000,10019419818.667,10,0
cows,10,1.000,5.865,7974912.000,5,0,qrcode-go,0,1.000,0.140,20903424.000,1,0,123.211,132.781,10017159850.667,10057703594.667,10,0
cows,10,1.000,5.288,17250986.667,5,0,qrcode-go,10,1.000,7.007,20927317.333,5,0,108.800,128.946,10020591616.000,9996888917.333,10,0
cows,10,1.000,2.589,5885952.000,5,0,qrcode-go,10,1.000,14.074,4326912.000,5,0,161.200,153.593,10022634837.333,10037560490.667,10,0
cows,10,1.000,2.634,15549781.333,5,0,qrcode-go,10,1.000,12.528,4280832.000,5,0,173.200,161.750,10021015552.000,10035883520.000,10,0
cows,10,1.000,1.632,15753216.000,5,0,qrcode-go,20,1.000,21.067,4279808.000,5,0,154.960,165.462,10029918208.000,10040887296.000,10,0
cows,10,1.000,1.387,7303168.000,5,0,qrcode-go,20,1.000,18.894,2670592.000,13,0,179.120,173.392,10029763925.333,10071452160.000,10,0
cows,10,1.000,1.909,5767168.000,1,0,qrcode-go,20,1.000,23.758,6169088.000,17,1,184.575,186.915,10147575125.333,10214436352.000,10,1
cows,20,1.000,2.406,6021120.000,5,0,qrcode-go,0,1.000,3.498,7700935.111,1,0,152.960,163.382,10275601066.667,10323723776.000,20,0
cows,20,1.000,5.555,17152512.000,9,0,qrcode-go,0,1.000,0.134,20832256.000,1,0,163.440,124.100,10141656405.333,10124476586.667,10,0
cows,20,1.000,9.083,11790848.000,13,0,qrcode-go,0,1.000,0.160,20842496.000,1,0,159.640,137.317,10189442389.333,10280988330.667,10,0
cows,20,1.000,4.089,5529600.000,5,0,qrcode-go,10,1.000,8.394,21304832.000,1,0,123.320,158.081,10358783317.333,10285312853.333,20,0
cows,20,1.000,6.761,15329962.667,1,0,qrcode-go,10,1.000,11.928,4460544.000,1,0,166.005,172.931,10081329152.000,10161987584.000,10,0
cows,20,1.000,2.792,6287360.000,1,0,qrcode-go,10,1.000,14.216,4051968.000,1,0,185.760,165.862,10102960128.000,10116198229.333,10,0
cows,20,1.000,3.643,11083776.000,1,0,qrcode-go,20,1.000,20.999,5480448.000,1,0,162.680,182.108,10091235328.000,10120338944.000,10,0
cows,20,1.000,1.321,4046848.000,1,0,qrcode-go,20,1.000,18.399,4849664.000,1,0,183.080,179.117,10087262890.667,10110489258.667,10,0
cows,20,1.000,1.668,5713920.000,1,0,qrcode-go,20,1.000,23.946,5644288.000,1,0,189.800,180.843,10088514218.667,10112597333.333,10,0
cows,20,1.000,3.721,8503296.000,1,0,qrcode-go,30,1.000,19.937,4526080.000,1,0,172.200,180.630,10085880490.667,10115012096.000,10,0
