function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,function_qrcode-go,rate_function_qrcode-go,success_rate_function_qrcode-go,cpu_usage_function_qrcode-go,ram_usage_function_qrcode-go,replica_qrcode-go,overloaded_function_qrcode-go,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
curl,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,68.080,68.080,10005762048.000,10005762048.000,10,0
curl,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,69.000,69.000,9999428266.667,9999428266.667,10,0
curl,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,76.760,76.760,10003392512.000,10003392512.000,10,0
curl,0,1.000,0.175,12256768.000,1,0,qrcode-go,10,1.000,7.743,2813952.000,5,0,77.880,90.690,10006540970.667,10004289365.333,10,0
curl,0,1.000,0.224,12545024.000,1,0,qrcode-go,10,1.000,13.244,3268608.000,5,0,111.600,119.920,10025925973.333,10036194474.667,10,0
curl,0,1.000,0.169,12856320.000,1,0,qrcode-go,10,1.000,13.614,4366848.000,1,0,113.320,114.550,10025588053.333,10034304341.333,10,0
curl,0,1.000,0.196,13074944.000,1,0,qrcode-go,20,1.000,21.372,4727808.000,5,0,130.637,132.589,10010819925.333,10017125546.667,10,0
curl,0,1.000,0.212,13349888.000,1,0,qrcode-go,20,1.000,26.026,8319488.000,13,0,130.240,157.454,10025039872.000,10086000810.667,10,0
curl,0,1.000,0.179,13633024.000,1,0,qrcode-go,20,1.000,26.533,8841216.000,17,1,119.225,140.576,10168683178.667,10190950741.333,10,1
curl,10,1.000,3.291,16450048.000,1,0,qrcode-go,0,1.000,3.436,9030144.000,1,0,156.559,136.590,10257745237.333,10270746965.333,20,0
curl,10,1.000,7.383,18512384.000,1,0,qrcode-go,0,1.000,0.182,10143232.000,1,0,170.120,137.670,10080855381.333,10061100885.333,10,0
curl,10,1.000,9.043,5446144.000,1,0,qrcode-go,0,1.000,0.144,10169685.333,1,0,123.880,115.840,10067111253.333,10066028032.000,10,0
curl,10,1.000,7.935,4796416.000,1,0,qrcode-go,10,1.000,5.943,10278400.000,1,0,140.240,148.570,10052668074.667,10079733248.000,10,0
curl,10,1.000,7.737,4281344.000,5,0,qrcode-go,10,1.000,11.844,4333056.000,5,0,180.320,170.608,10100540757.333,10112770560.000,10,0
curl,10,1.000,7.723,4055552.000,1,0,qrcode-go,10,1.000,14.190,4224000.000,1,0,173.960,165.754,10096829781.333,10093956437.333,10,0
curl,10,1.000,8.906,4573184.000,1,0,qrcode-go,20,1.000,22.974,4348928.000,1,0,188.360,174.350,10064461141.333,10087952042.667,10,0
curl,10,1.000,8.465,7061504.000,1,0,qrcode-go,20,1.000,24.804,6197248.000,1,0,198.120,187.551,10089457664.000,10101107541.333,10,0
curl,10,1.000,5.907,4298752.000,1,0,qrcode-go,20,1.000,26.057,4436992.000,1,0,188.840,180.950,10083123200.000,10100302336.000,10,0
curl,10,1.000,8.694,4505600.000,1,0,qrcode-go,30,1.000,36.734,4646912.000,1,0,202.565,191.859,10094613845.333,10104564906.667,10,0
curl,10,1.000,7.144,5535744.000,5,0,qrcode-go,30,1.000,48.444,3168938.667,5,0,211.004,213.662,10098989738.667,10165118293.333,10,0
curl,10,1.000,7.034,6410240.000,5,0,qrcode-go,30,1.000,36.798,4100608.000,5,0,204.320,202.430,10167536298.667,10145406293.333,10,0
curl,10,1.000,6.402,3203072.000,5,0,qrcode-go,40,1.000,31.192,5541888.000,13,0,201.200,205.509,10132441088.000,10178087082.667,10,0
curl,10,1.000,7.670,21780992.000,1,0,qrcode-go,40,1.000,48.801,9736704.000,17,1,198.743,202.938,10260396714.667,10329738581.333,10,1
curl,10,1.000,7.376,3112960.000,5,0,qrcode-go,40,1.000,36.449,9463125.333,9,0,201.794,183.242,10395996842.667,10383892650.667,20,0
curl,10,1.000,6.929,3033088.000,5,0,qrcode-go,50,0.919,41.644,3076096.000,5,0,213.656,210.889,10225050965.333,10236287146.667,10,0
curl,10,1.000,6.338,22226432.000,1,0,qrcode-go,50,1.000,58.121,4769792.000,5,0,202.795,198.820,10195320149.333,10218515797.333,10,0
curl,10,1.000,6.565,4075520.000,1,0,qrcode-go,50,1.000,41.645,5486592.000,1,0,207.720,208.047,10228072448.000,10269294592.000,10,0
curl,20,1.000,8.156,2760704.000,1,0,qrcode-go,0,1.000,18.180,7127040.000,1,0,215.769,173.714,10241632938.667,10223458304.000,10,0
curl,20,1.000,17.540,7073792.000,5,0,qrcode-go,0,1.000,0.125,4034560.000,1,0,153.360,138.071,10165501952.000,10139884202.667,10,0
curl,20,1.000,12.318,3059712.000,5,0,qrcode-go,0,1.000,0.127,24812885.333,1,0,151.280,154.838,10127549098.667,10149102080.000,10,0
curl,20,1.000,12.727,5286912.000,5,0,qrcode-go,10,1.000,9.737,25241770.667,5,0,151.000,153.992,10125904554.667,10131958954.667,10,0
