function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,77.280,77.280,10267525802.667,10267525802.667,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,77.040,77.040,10261773653.333,10261773653.333,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,70.360,70.360,10267592021.333,10267592021.333,10,0
figlet,0,1.000,0.102,5450752.000,1,0,nodeinfo,0,1.000,0.135,23161856.000,1,0,env,10,1.000,0.853,6589440.000,1,0,70.680,78.230,10266864981.333,10264207701.333,10,0
figlet,0,1.000,0.106,6052693.333,1,0,nodeinfo,0,1.000,0.130,24128512.000,1,0,env,10,1.000,1.554,4171776.000,1,0,99.080,96.110,10279238997.333,10295615146.667,10,0
figlet,0,1.000,0.105,6315008.000,1,0,nodeinfo,0,1.000,0.153,24806400.000,1,0,env,10,1.000,1.772,3991552.000,1,0,114.760,121.096,10272421888.000,10293492053.333,10,0
figlet,0,1.000,0.100,6604288.000,1,0,nodeinfo,0,1.000,0.152,25506304.000,1,0,env,20,1.000,1.990,2916352.000,5,0,128.400,135.380,10280912213.333,10304868181.333,10,0
figlet,0,1.000,0.116,6874624.000,1,0,nodeinfo,0,1.000,0.134,26321408.000,1,0,env,20,1.000,3.284,3972096.000,5,0,138.920,125.400,10312022016.000,10294275242.667,10,0
figlet,0,1.000,0.117,7143424.000,1,0,nodeinfo,0,1.000,0.159,26735104.000,1,0,env,20,1.000,3.260,3215360.000,1,0,149.200,143.293,10292882090.667,10311199232.000,10,0
figlet,0,1.000,0.106,7433216.000,1,0,nodeinfo,0,1.000,0.147,27075584.000,1,0,env,30,1.000,4.046,4747264.000,5,0,139.840,127.010,10253127680.000,10255808000.000,10,0
figlet,0,1.000,0.101,7719253.333,1,0,nodeinfo,0,1.000,0.140,26410496.000,1,0,env,30,1.000,4.167,3604480.000,5,0,137.200,127.950,10256971093.333,10257555797.333,10,0
figlet,0,1.000,0.105,8068096.000,1,0,nodeinfo,0,1.000,0.132,26704896.000,1,0,env,30,1.000,4.324,5269162.667,1,0,133.840,119.280,10256840704.000,10255303509.333,10,0
figlet,0,1.000,0.109,8290304.000,1,0,nodeinfo,0,1.000,0.151,26750464.000,1,0,env,40,1.000,3.920,5061632.000,1,0,125.400,136.590,10238219605.333,10280067242.667,10,0
figlet,0,1.000,0.088,8465408.000,1,0,nodeinfo,0,1.000,0.169,26728448.000,1,0,env,40,1.000,6.700,6402048.000,1,0,146.360,144.910,10277236053.333,10289374549.333,10,0
figlet,0,1.000,0.096,8502101.333,1,0,nodeinfo,0,1.000,0.152,26803712.000,1,0,env,40,1.000,6.095,2609152.000,5,0,154.840,132.687,10278459392.000,10274129920.000,10,0
figlet,0,1.000,0.103,8558592.000,1,0,nodeinfo,0,1.000,0.132,27009024.000,1,0,env,50,1.000,5.700,2547712.000,5,0,153.720,151.220,10276947968.000,10290091690.667,10,0
figlet,0,1.000,0.094,8579072.000,1,0,nodeinfo,0,1.000,0.137,27173376.000,1,0,env,50,1.000,6.183,4456448.000,1,0,143.560,162.820,10277795157.333,10273282218.667,10,0
figlet,0,1.000,0.101,8588970.667,1,0,nodeinfo,0,1.000,0.134,27293184.000,1,0,env,50,1.000,7.208,11062954.667,1,0,144.960,134.740,10249613994.667,10259009877.333,10,0
figlet,0,1.000,0.088,8647168.000,1,0,nodeinfo,10,1.000,1.673,28529493.333,1,0,env,0,1.000,2.480,3848874.667,1,0,141.760,112.740,10257956864.000,10269424298.667,10,0
figlet,0,1.000,0.112,8683008.000,1,0,nodeinfo,10,1.000,3.391,15577600.000,1,0,env,0,1.000,0.080,10977280.000,1,0,119.160,107.955,10292619946.667,10296927232.000,10,0
figlet,0,1.000,0.105,8684544.000,1,0,nodeinfo,10,1.000,3.568,7598080.000,5,0,env,0,1.000,0.083,10980864.000,1,0,132.960,136.090,10318288896.000,10324930730.667,10,0
figlet,0,1.000,0.092,8731477.333,1,0,nodeinfo,10,1.000,3.830,6979584.000,5,0,env,10,1.000,1.103,3072000.000,5,0,113.800,123.310,10295117824.000,10304330922.667,10,0
figlet,0,1.000,0.100,8773632.000,1,0,nodeinfo,10,1.000,3.144,6979584.000,5,0,env,10,1.000,2.153,3429717.333,5,0,129.680,130.615,10339046741.333,10329848320.000,10,0
