function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,73.840,73.840,8758633813.333,8758633813.333,10,0
figlet,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,79.440,79.440,8761055914.667,8761055914.667,10,0
figlet,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,78.800,78.800,8763885568.000,8763885568.000,10,0
figlet,0,1.000,0.115,6308352.000,1,0,cows,10,1.000,1.516,5644288.000,5,0,72.920,86.156,8765472768.000,8755549866.667,10,0
figlet,0,1.000,0.109,6915584.000,1,0,cows,10,1.000,3.767,5644288.000,1,0,117.360,109.340,8780423168.000,8777312768.000,10,0
figlet,0,1.000,0.099,7149568.000,1,0,cows,10,1.000,2.662,13451264.000,1,0,104.128,108.922,8768221866.667,8792408064.000,10,0
figlet,0,1.000,0.134,7452672.000,1,0,cows,20,1.000,3.935,5890048.000,1,0,110.680,128.000,8782748330.667,8806177109.333,10,0
figlet,0,1.000,0.138,7704576.000,1,0,cows,20,1.000,4.345,8060928.000,1,0,149.680,163.090,8790837930.667,8839682730.667,10,0
figlet,0,1.000,0.142,7939584.000,1,0,cows,20,1.000,4.736,7950336.000,5,0,140.266,136.242,8803506858.667,8818917888.000,10,0
figlet,0,1.000,0.112,8207360.000,1,0,cows,30,1.000,3.977,6819840.000,5,0,126.393,126.858,8814185130.667,8817723392.000,10,0
figlet,0,1.000,0.113,8527701.333,1,0,cows,30,1.000,5.910,16194218.667,1,0,123.040,119.610,8819834880.000,8812232874.667,10,0
figlet,0,1.000,0.119,8737792.000,1,0,cows,30,1.000,6.347,37673472.000,1,0,122.160,115.440,8796770986.667,8814133418.667,10,0
figlet,0,1.000,0.135,9074688.000,1,0,cows,40,1.000,4.243,6537216.000,1,0,118.184,120.956,8805130922.667,8819699541.333,10,0
figlet,0,1.000,0.123,9287680.000,1,0,cows,40,1.000,7.453,6029312.000,1,0,130.520,125.379,8802174976.000,8817086976.000,10,0
figlet,0,1.000,0.095,9312768.000,1,0,cows,40,1.000,5.294,5361664.000,1,0,131.840,144.486,8802096469.333,8849921706.667,10,0
figlet,0,1.000,0.186,9351168.000,1,0,cows,50,1.000,6.748,5898240.000,5,0,125.080,136.918,8822509568.000,8821507754.667,10,0
figlet,0,1.000,0.114,9364480.000,1,0,cows,50,1.000,4.585,7098368.000,5,0,132.080,142.930,8826466986.667,8824926720.000,10,0
figlet,0,1.000,0.118,9371989.333,1,0,cows,50,1.000,8.955,8220672.000,1,0,137.000,137.371,8819894272.000,8815922176.000,10,0
figlet,10,1.000,2.256,9669120.000,5,0,cows,0,1.000,1.362,7192576.000,1,0,134.400,126.860,8804584789.333,8799414613.333,10,0
figlet,10,1.000,3.100,10558122.667,5,0,cows,0,1.000,0.128,48775850.667,1,0,118.120,117.870,8802398890.667,8805397504.000,10,0
figlet,10,1.000,2.770,10809173.333,5,0,cows,0,1.000,0.150,48807424.000,1,0,138.160,147.831,8793221120.000,8824684714.667,10,0
figlet,10,1.000,2.517,4189184.000,5,0,cows,10,1.000,0.906,48569344.000,5,0,162.840,162.233,8816317781.333,8835937280.000,10,0
figlet,10,1.000,2.963,10830506.667,5,0,cows,10,1.000,1.998,5492736.000,5,0,175.720,164.195,8864038229.333,8868223146.667,10,0
figlet,10,1.000,3.100,3571712.000,5,0,cows,10,1.000,1.894,5160960.000,5,0,162.200,157.541,8855354709.333,8864085333.333,10,0
figlet,10,1.000,2.380,10957824.000,1,0,cows,20,1.000,2.652,6430720.000,5,0,165.960,164.257,8855218176.000,8867770197.333,10,0
figlet,10,1.000,2.521,10931200.000,1,0,cows,20,1.000,11.022,17767936.000,13,0,177.960,184.404,8868255061.333,8994455893.333,10,0
figlet,10,1.000,2.011,3766272.000,1,0,cows,20,1.000,3.467,24813568.000,5,0,196.252,181.108,9140939434.667,9112164010.667,20,0
figlet,10,1.000,2.520,11103232.000,1,0,cows,30,1.000,10.996,12308480.000,13,0,186.343,198.268,8919191552.000,9045758976.000,10,0
figlet,10,1.000,2.727,4073472.000,1,0,cows,30,1.000,6.236,8839168.000,5,0,198.817,190.041,9204029440.000,9148250965.333,20,0
figlet,10,1.000,3.596,11171328.000,1,0,cows,30,1.000,9.888,4239360.000,13,0,193.825,191.077,8924050090.667,9052337152.000,10,0
figlet,10,1.000,2.083,3676160.000,1,0,cows,40,1.000,4.838,21356544.000,5,0,202.309,183.617,9211058858.667,9148022101.333,20,0
figlet,10,1.000,2.571,11185152.000,1,0,cows,40,1.000,11.394,5480448.000,13,0,186.640,189.925,8934038869.333,9052133376.000,10,0
figlet,10,1.000,1.839,11464192.000,1,0,cows,40,1.000,4.511,22064469.333,5,0,193.320,186.951,9208550741.333,9177600000.000,20,0
figlet,10,1.000,2.225,3996160.000,1,0,cows,50,1.000,13.466,14360064.000,13,0,197.440,185.560,8959069525.333,9084892330.667,10,0
figlet,10,1.000,1.943,12118528.000,1,0,cows,50,1.000,7.342,6352896.000,1,0,200.560,185.088,9246573909.333,9199050410.667,20,0
figlet,10,1.000,2.292,3618816.000,1,0,cows,50,1.000,6.559,15605760.000,1,0,168.518,177.511,8940096170.667,8991572992.000,10,0
