function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,50,1.000,7.846,3670016.000,1,0,nodeinfo,20,1.000,2.814,33615189.333,1,0,cows,50,1.000,2.500,48636416.000,1,0,102.240,126.410,10963477162.667,10912020650.667,10,0
figlet,50,1.000,8.600,4474368.000,5,0,nodeinfo,20,1.000,3.345,35992064.000,5,0,cows,50,1.000,3.850,9408512.000,5,0,194.400,204.170,11001531733.333,11030628864.000,10,0
figlet,50,1.000,10.663,4530176.000,5,0,nodeinfo,20,1.000,3.217,13144064.000,5,0,cows,50,1.000,5.634,18751488.000,5,0,204.640,207.145,11030063104.000,11049876650.667,10,0
figlet,50,1.000,10.447,4060672.000,5,0,nodeinfo,30,1.000,4.561,5967872.000,5,0,cows,0,1.000,0.895,5357568.000,1,0,204.717,194.971,11039381504.000,11060372138.667,10,0
figlet,50,1.000,9.373,4751872.000,13,0,nodeinfo,30,1.000,4.538,38992384.000,5,0,cows,0,1.000,0.101,49390592.000,1,0,169.520,179.935,11017604437.333,11053615616.000,10,0
figlet,50,1.000,9.601,9331712.000,5,0,nodeinfo,30,1.000,5.522,6385664.000,5,0,cows,0,1.000,0.127,49073493.333,1,0,191.449,215.669,11161281877.333,11260342613.333,20,0
figlet,50,1.000,9.012,4785664.000,9,0,nodeinfo,30,1.000,7.837,17902592.000,9,0,cows,10,1.000,1.015,48681984.000,5,0,203.396,174.768,11088924672.000,11121957546.667,10,0
figlet,50,0.996,8.044,5258240.000,1,0,nodeinfo,30,0.999,9.203,29514752.000,1,0,cows,10,1.000,1.724,9437184.000,1,0,197.080,302.648,11256897536.000,11410700288.000,10,0
figlet,50,1.000,10.056,10043392.000,5,0,nodeinfo,30,1.000,6.475,5001216.000,5,0,cows,10,1.000,1.897,48164864.000,1,0,276.840,228.871,11473730901.333,11316617386.667,10,0
figlet,50,1.000,8.252,3791530.667,17,1,nodeinfo,30,1.000,10.078,21922474.667,17,1,cows,20,1.000,3.404,19861504.000,5,0,186.874,205.335,11245965312.000,11411794432.000,10,1
figlet,50,1.000,6.719,8320512.000,5,0,nodeinfo,30,1.000,4.705,27607552.000,5,0,cows,20,1.000,3.741,16022016.000,5,0,231.746,207.475,11680331776.000,11571489621.333,20,0
figlet,50,1.000,8.411,5496832.000,9,0,nodeinfo,30,1.000,8.781,11747328.000,9,0,cows,20,1.000,5.620,13911552.000,9,0,228.480,211.968,11145401002.667,11199563434.667,10,0
figlet,50,1.000,6.612,8623616.000,13,0,nodeinfo,30,1.000,7.828,19324928.000,13,0,cows,30,1.000,6.389,14709930.667,13,0,217.373,195.793,11368435712.000,11499383637.333,10,0
figlet,50,1.000,6.413,3182592.000,1,0,nodeinfo,30,1.000,6.404,24842240.000,1,0,cows,30,1.000,5.004,23648256.000,1,0,211.640,217.283,11719938730.667,11666312192.000,10,0
figlet,50,1.000,9.398,6455296.000,1,0,nodeinfo,30,1.000,5.881,6819840.000,1,0,cows,30,1.000,3.939,11647488.000,1,0,228.142,224.540,11196176384.000,11160394752.000,10,0
figlet,50,1.000,7.942,3178496.000,1,0,nodeinfo,30,1.000,5.747,5222400.000,1,0,cows,40,1.000,3.648,20123648.000,1,0,220.174,206.541,11080309418.667,11116392277.333,10,0
figlet,50,1.000,10.281,4982272.000,1,0,nodeinfo,30,1.000,4.872,4972544.000,1,0,cows,40,1.000,2.834,6828032.000,1,0,201.794,209.314,11053135189.333,11105971200.000,10,0
figlet,50,1.000,8.901,7708672.000,1,0,nodeinfo,30,1.000,4.441,43279701.333,1,0,cows,40,1.000,3.816,46290602.667,1,0,195.988,208.068,11057614165.333,11103639722.667,10,0
figlet,50,1.000,7.873,7024640.000,1,0,nodeinfo,30,1.000,3.679,5242880.000,1,0,cows,50,1.000,3.422,19632128.000,1,0,220.631,209.785,11026694826.667,11071269205.333,10,0
figlet,50,1.000,7.426,4596736.000,1,0,nodeinfo,30,1.000,3.194,7401472.000,1,0,cows,50,1.000,5.196,48086016.000,1,0,202.883,208.704,11035838464.000,11084449280.000,10,0
figlet,50,1.000,6.439,7213056.000,1,0,nodeinfo,30,1.000,4.936,7479296.000,1,0,cows,50,1.000,3.058,7524352.000,1,0,220.895,212.897,11017510229.333,11072378709.333,10,0
figlet,50,1.000,7.503,4902912.000,1,0,nodeinfo,40,1.000,4.646,45310976.000,1,0,cows,0,1.000,3.333,7479296.000,1,0,212.320,202.640,11031761578.667,11081732949.333,10,0
figlet,50,1.000,8.798,6807552.000,1,0,nodeinfo,40,1.000,7.458,5423104.000,1,0,cows,0,1.000,0.104,47840256.000,1,0,173.924,173.151,10998763520.000,11024582826.667,10,0
figlet,50,1.000,10.415,4804608.000,1,0,nodeinfo,40,1.000,7.598,6160384.000,1,0,cows,0,1.000,0.099,47846400.000,1,0,180.817,198.967,10999915178.667,11080341845.333,10,0
figlet,50,1.000,11.828,4687872.000,1,0,nodeinfo,40,1.000,6.721,5304320.000,1,0,cows,10,1.000,0.584,47503872.000,1,0,210.360,184.750,11043715072.000,11051198634.667,10,0
figlet,50,1.000,9.032,2928640.000,5,0,nodeinfo,40,1.000,5.185,12898304.000,5,0,cows,10,1.000,0.971,13377536.000,5,0,187.560,196.821,11061286229.333,11087811891.200,10,0
figlet,50,1.000,8.256,4415488.000,5,0,nodeinfo,40,1.000,5.847,6074368.000,5,0,cows,10,1.000,1.136,5533696.000,5,0,193.560,197.127,11084789760.000,11096410794.667,10,0
figlet,50,1.000,10.042,4554752.000,5,0,nodeinfo,40,1.000,7.377,46643712.000,5,0,cows,20,1.000,1.720,48870229.333,5,0,203.840,201.653,11073452032.000,11086862848.000,10,0
figlet,50,1.000,7.085,2551808.000,13,0,nodeinfo,40,1.000,7.570,13691904.000,13,0,cows,20,1.000,1.845,7151616.000,5,0,185.296,203.472,11084253184.000,11214206634.667,10,0
figlet,50,1.000,9.472,7250432.000,17,1,nodeinfo,40,1.000,13.913,28369408.000,17,1,cows,20,1.000,4.799,12019712.000,9,0,217.771,201.044,11426848768.000,11566161578.667,10,1
figlet,50,1.000,7.610,8770218.667,5,0,nodeinfo,50,1.000,5.595,28015274.667,5,0,cows,0,1.000,1.610,24771925.333,1,0,222.024,213.657,11755366400.000,11662693376.000,20,0
figlet,50,1.000,9.414,3902464.000,9,0,nodeinfo,50,1.000,10.220,17854634.667,9,0,cows,0,1.000,0.092,44599808.000,1,0,224.298,197.058,11173869568.000,11146024960.000,10,0
figlet,50,1.000,9.050,4839424.000,13,0,nodeinfo,50,1.000,16.503,30652928.000,13,0,cows,0,1.000,0.110,44405930.667,1,0,211.080,207.643,11237647701.333,11397632682.667,10,0
figlet,50,1.000,4.414,4076544.000,5,0,nodeinfo,50,1.000,7.826,32053930.667,5,0,cows,10,1.000,1.368,44131840.000,1,0,193.960,189.665,11566605653.333,11497822720.000,20,0
figlet,50,1.000,8.304,3125248.000,1,0,nodeinfo,50,1.000,7.564,5750784.000,1,0,cows,10,1.000,1.200,7749632.000,1,0,233.280,227.676,11143830869.333,11223409493.333,10,0
figlet,50,1.000,5.222,3604480.000,1,0,nodeinfo,50,1.000,6.845,6037504.000,1,0,cows,10,1.000,1.672,5382144.000,1,0,217.748,209.250,11124037632.000,11152009898.667,10,0
figlet,50,1.000,9.136,4581376.000,1,0,nodeinfo,50,1.000,6.975,3829760.000,1,0,cows,20,1.000,2.551,5156864.000,1,0,188.980,222.165,11057487872.000,11115718997.333,10,0
figlet,50,1.000,7.434,7438336.000,1,0,nodeinfo,50,1.000,6.327,20295680.000,1,0,cows,20,1.000,2.065,5599232.000,1,0,281.920,221.803,11091830101.333,11138018645.333,10,0
figlet,50,1.000,7.515,8052736.000,1,0,nodeinfo,50,1.000,8.582,52660224.000,1,0,cows,20,1.000,1.451,4993024.000,1,0,197.960,206.635,11105040384.000,11150858752.000,10,0
figlet,50,1.000,8.919,3039232.000,1,0,nodeinfo,50,1.000,4.269,7495680.000,1,0,cows,30,1.000,2.563,5505024.000,1,0,206.416,205.102,11052462080.000,11091062613.333,10,0
figlet,50,1.000,9.975,5097472.000,1,0,nodeinfo,50,1.000,7.655,51998720.000,1,0,cows,30,1.000,3.111,7401472.000,1,0,214.561,204.663,11068207786.667,11110886229.333,10,0
figlet,50,1.000,7.289,4978688.000,1,0,nodeinfo,50,1.000,5.596,7471104.000,1,0,cows,30,1.000,3.041,7380992.000,1,0,197.325,209.502,11057842176.000,11112524629.333,10,0
figlet,50,1.000,8.132,5996544.000,1,0,nodeinfo,50,1.000,8.195,5320704.000,1,0,cows,40,1.000,2.865,7737344.000,1,0,212.222,212.165,11049540266.667,11104038229.333,10,0
figlet,50,1.000,8.783,4096000.000,1,0,nodeinfo,50,1.000,6.213,19939328.000,1,0,cows,40,1.000,3.544,4894720.000,1,0,225.219,213.304,11059864917.333,11118364672.000,10,0
figlet,50,1.000,9.771,5122048.000,5,0,nodeinfo,50,1.000,8.568,6000640.000,5,0,cows,40,1.000,4.725,4984832.000,5,0,192.144,205.785,11078458026.667,11125701700.267,10,0
figlet,50,1.000,6.586,4716544.000,5,0,nodeinfo,50,1.000,7.465,54445568.000,5,0,cows,50,1.000,3.561,7213056.000,5,0,207.200,208.351,11109003946.667,11121501525.333,10,0
figlet,50,1.000,10.236,5078528.000,9,0,nodeinfo,50,1.000,11.846,13628928.000,9,0,cows,50,1.000,9.983,15147008.000,9,0,214.680,203.040,11098077184.000,11217961301.333,10,0
figlet,50,1.000,8.911,9209856.000,13,0,nodeinfo,50,1.000,13.165,19211434.667,13,0,cows,50,1.000,8.325,14073856.000,13,0,211.722,213.126,11409538389.333,11553174016.000,10,0
