function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,20,1.000,5.828,5942840.889,1,0,nodeinfo,0,1.000,2.178,9610581.333,1,0,nmap,0,1.000,64.056,134764032.000,1,0,192.040,158.769,11047736661.333,11005600768.000,10,0
figlet,20,1.000,4.845,4356096.000,1,0,nodeinfo,0,1.000,0.171,24386048.000,1,0,nmap,0,1.000,0.555,89592149.333,1,0,119.451,122.393,10953078784.000,10943198378.667,10,0
figlet,20,1.000,4.862,3860480.000,1,0,nodeinfo,0,1.000,0.157,25610240.000,1,0,nmap,0,1.000,0.657,89595392.000,1,0,147.429,131.167,10920459605.333,10923520341.333,10,0
figlet,20,1.000,4.204,4468736.000,1,0,nodeinfo,0,1.000,0.165,26413056.000,1,0,nmap,10,1.000,45.882,103174314.667,1,0,138.980,172.750,10912660138.667,10946813610.667,10,0
figlet,20,1.000,4.481,4765696.000,1,0,nodeinfo,0,1.000,0.143,26957824.000,1,0,nmap,10,1.000,70.638,112625664.000,1,0,211.060,205.485,11007332352.000,11016717482.667,10,0
figlet,20,1.000,4.584,3860992.000,5,0,nodeinfo,0,1.000,0.140,27638784.000,1,0,nmap,10,1.000,60.245,5230080.000,5,0,210.964,210.653,10992420864.000,11007595349.333,10,0
figlet,20,1.000,3.134,3727360.000,5,0,nodeinfo,0,1.000,0.133,28396544.000,1,0,nmap,20,0.153,74.056,9502720.000,1,1,214.888,210.892,10995506517.333,11105813048.889,10,1
figlet,20,1.000,2.930,2977792.000,5,0,nodeinfo,0,1.000,0.138,29158741.333,1,0,nmap,20,0.190,99.895,211345408.000,1,1,197.565,202.326,11068213930.667,11129338083.556,10,1
figlet,20,1.000,2.991,3067904.000,5,0,nodeinfo,0,1.000,0.142,29217996.800,1,0,nmap,20,0.190,99.383,191191313.067,1,1,187.178,195.309,11119072597.333,11114289834.667,10,1
figlet,20,1.000,3.519,2715648.000,5,0,nodeinfo,10,1.000,2.377,29832192.000,5,0,nmap,0,1.000,14.507,122434560.000,1,0,188.299,168.783,11074359978.667,11029539840.000,10,0
