function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,75.320,75.320,8975610538.667,8975610538.667,10,0
figlet,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,76.920,76.920,8975295146.667,8975295146.667,10,0
figlet,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,75.320,75.320,8974539434.667,8974539434.667,10,0
figlet,0,1.000,0.107,5441024.000,1,0,nmap,10,1.000,61.898,28454400.000,1,0,75.360,132.686,8974008320.000,8963481600.000,10,0
figlet,0,1.000,0.110,6098944.000,1,0,nmap,10,1.000,62.098,37340160.000,1,0,171.640,174.405,8933041493.333,8959391744.000,10,0
figlet,0,1.000,0.103,6479360.000,1,0,nmap,10,1.000,54.472,36658176.000,1,0,181.600,175.551,8959488000.000,8962266965.333,10,0
figlet,0,1.000,0.107,6792533.333,1,0,nmap,20,0.217,77.115,103474380.800,1,1,184.126,197.042,8954503850.667,9079579443.200,10,1
figlet,0,1.000,0.104,7195716.267,1,0,nmap,20,0.270,99.219,104826060.800,1,1,187.298,187.910,9119550122.667,9080007065.600,10,1
figlet,0,1.000,0.092,7485849.600,1,0,nmap,20,0.292,98.099,121465787.733,1,1,166.083,179.120,9038106624.000,9039801139.200,10,1
figlet,10,1.000,2.012,8719360.000,1,0,nmap,0,1.000,64.443,69180416.000,1,0,170.014,121.031,9043779584.000,8983074133.333,10,0
figlet,10,1.000,1.653,3730090.667,1,0,nmap,0,1.000,0.215,48418816.000,1,0,110.600,121.030,8929675946.667,8962123776.000,10,0
figlet,10,1.000,2.523,4032512.000,5,0,nmap,0,1.000,0.230,48418816.000,1,0,137.920,121.720,8950573738.667,8937422506.667,10,0
figlet,10,1.000,2.369,4160000.000,1,0,nmap,10,1.000,51.797,60104192.000,1,0,116.542,163.662,8935825408.000,8942111914.667,10,0
figlet,10,1.000,2.484,3392512.000,1,0,nmap,10,1.000,81.322,60991488.000,1,0,212.566,209.132,8926853120.000,8955066197.333,10,0
figlet,10,1.000,2.546,4171776.000,1,0,nmap,10,1.000,54.229,57133056.000,1,0,212.680,199.592,8975415296.000,8997750442.667,10,0
figlet,10,1.000,2.235,4567381.333,1,0,nmap,20,0.163,97.131,28297216.000,1,1,211.404,203.514,8991264085.333,9128544938.667,10,1
figlet,10,1.000,1.525,3301376.000,1,0,nmap,20,0.183,79.095,139580211.200,1,1,175.606,189.467,9118640810.667,9107009126.400,10,1
figlet,10,1.000,1.788,2977792.000,1,0,nmap,20,0.228,115.936,136259174.400,1,1,166.596,186.694,9076624725.333,9115268710.400,10,1
figlet,20,1.000,4.203,3166208.000,5,0,nmap,0,1.000,26.877,61728768.000,1,0,191.182,166.152,9189009408.000,9067803306.667,10,0
figlet,20,1.000,3.351,3362816.000,5,0,nmap,0,1.000,0.254,52629504.000,1,0,143.240,146.670,8956052821.333,8985449301.333,10,0
figlet,20,1.000,3.278,4677632.000,5,0,nmap,0,1.000,0.436,52638378.667,1,0,134.120,127.876,8959064064.000,8950750890.667,10,0
figlet,20,1.000,3.841,4727296.000,5,0,nmap,10,1.000,53.275,74775552.000,5,0,147.760,184.530,8947445760.000,8992883712.000,10,0
figlet,20,1.000,4.804,4939776.000,5,0,nmap,10,1.000,63.274,4487168.000,1,0,209.120,203.604,9007621461.333,9023397376.000,10,0
figlet,20,1.000,3.915,4045824.000,1,0,nmap,10,1.000,66.017,70803456.000,1,0,219.714,213.694,8999634261.333,9059974656.000,10,0
figlet,20,1.000,3.792,5013504.000,5,0,nmap,20,0.115,73.561,150128981.333,1,1,217.680,214.733,9093473621.333,9218941610.667,10,1
figlet,20,1.000,2.730,2711552.000,5,0,nmap,20,0.218,102.301,195926425.600,1,1,197.725,198.668,9193981952.000,9151138338.133,10,1
figlet,20,1.000,3.227,3018752.000,5,0,nmap,20,0.168,101.848,140893661.867,1,1,174.280,188.016,9122206378.667,9121080388.267,10,1
figlet,30,1.000,2.827,3022848.000,1,0,nmap,0,1.000,55.490,104666112.000,1,0,167.532,133.450,9133481301.333,9038289578.667,10,0
figlet,30,1.000,4.635,4567040.000,1,0,nmap,0,1.000,0.218,54284288.000,1,0,127.440,136.490,8967757141.333,9004400469.333,10,0
figlet,30,1.000,5.869,4687872.000,1,0,nmap,0,1.000,0.340,54284288.000,1,0,161.360,131.754,9004676437.333,8972548266.667,10,0
figlet,30,1.000,7.899,11221504.000,1,0,nmap,10,1.000,44.817,72288256.000,1,0,130.080,165.026,8946540544.000,8970046122.667,10,0
figlet,30,1.000,5.178,2904064.000,5,0,nmap,10,1.000,67.792,72477866.667,5,0,209.642,204.676,9008874154.667,9038935552.000,10,0
figlet,30,1.000,5.560,3317760.000,5,0,nmap,10,1.000,67.836,6238208.000,5,0,204.917,204.971,9010681173.333,9045253290.667,10,0
figlet,30,1.000,4.478,4253696.000,5,0,nmap,20,0.142,88.036,137600682.667,1,1,205.871,209.372,9037864277.333,9140573184.000,10,1
figlet,30,1.000,4.053,3350528.000,5,0,nmap,20,0.152,106.499,143739153.067,1,1,202.723,193.284,9138308437.333,9101478434.133,10,1
figlet,30,1.000,3.843,11876352.000,5,0,nmap,20,0.168,87.291,164697702.400,1,1,190.582,192.606,9067030528.000,9113379225.600,10,1
