function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_qrcode-go,rate_function_qrcode-go,success_rate_function_qrcode-go,cpu_usage_function_qrcode-go,ram_usage_function_qrcode-go,replica_qrcode-go,overloaded_function_qrcode-go,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,82.040,82.040,8963646122.667,8963646122.667,10,0
figlet,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,79.600,79.600,8955748352.000,8955748352.000,10,0
figlet,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,74.120,74.120,8954045781.333,8954045781.333,10,0
figlet,0,1.000,0.135,5761024.000,1,0,qrcode-go,10,1.000,10.025,15229269.333,1,0,70.960,90.630,8958200490.667,8958971392.000,10,0
figlet,0,1.000,0.126,6046720.000,1,0,qrcode-go,10,1.000,12.575,4167680.000,1,0,124.720,118.440,8968684202.667,8991037781.333,10,0
figlet,0,1.000,0.131,6315520.000,1,0,qrcode-go,10,1.000,10.486,4222976.000,1,0,132.120,125.226,8994781184.000,8995458389.333,10,0
figlet,0,1.000,0.096,6555477.333,1,0,qrcode-go,20,1.000,16.638,5623808.000,1,0,123.710,134.517,8988158634.667,8993977002.667,10,0
figlet,0,1.000,0.130,6854656.000,1,0,qrcode-go,20,1.000,12.959,2723840.000,1,0,152.200,158.079,8993113429.333,9023971498.667,10,0
figlet,0,1.000,0.113,7303509.333,1,0,qrcode-go,20,1.000,26.799,4974592.000,1,0,163.913,150.455,9019008341.333,9015200256.000,10,0
figlet,0,1.000,0.097,7546880.000,1,0,qrcode-go,30,1.000,31.300,5165056.000,1,0,153.400,155.118,9008488448.000,9015022080.000,10,0
figlet,0,1.000,0.110,7848448.000,1,0,qrcode-go,30,1.000,40.835,4795050.667,5,0,171.000,204.242,9013523797.333,9016366592.000,10,0
figlet,0,1.000,0.124,8075776.000,1,0,qrcode-go,30,1.000,50.176,6889472.000,5,0,164.160,167.944,9013908138.667,9012453546.667,10,0
figlet,0,1.000,0.103,8276992.000,1,0,qrcode-go,40,1.000,39.975,4428800.000,1,0,164.514,159.856,9009470122.667,9011795285.333,10,0
figlet,0,1.000,0.162,8555008.000,1,0,qrcode-go,40,1.000,47.143,5040128.000,1,0,166.160,158.258,8999167317.333,9016942933.333,10,0
figlet,0,1.000,0.081,8644949.333,1,0,qrcode-go,40,1.000,43.407,4109653.333,1,0,167.000,173.061,9015894698.667,9041933482.667,10,0
figlet,0,1.000,0.114,8695808.000,1,0,qrcode-go,50,1.000,54.738,4823040.000,5,0,177.960,169.717,9032640512.000,9020933290.667,10,0
figlet,0,1.000,0.098,8718848.000,1,0,qrcode-go,50,1.000,49.279,4300800.000,1,0,174.600,167.770,9019214506.667,9017955157.333,10,0
figlet,0,1.000,0.098,8720896.000,1,0,qrcode-go,50,1.000,71.299,4612096.000,1,0,175.360,170.010,8996646229.333,9016254122.667,10,0
