function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,66.952,66.952,9077777066.667,9077777066.667,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,65.800,65.800,9071616000.000,9071616000.000,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,67.120,67.120,9072902144.000,9072902144.000,10,0
nodeinfo,0,1.000,0.150,40867840.000,1,0,shasum,10,1.000,1.190,14739456.000,1,0,63.920,67.580,9074530986.667,9078831104.000,10,0
nodeinfo,0,1.000,0.162,41867776.000,1,0,shasum,10,1.000,1.447,4038656.000,1,0,89.760,98.120,9085837994.667,9118421162.667,10,0
nodeinfo,0,1.000,0.154,42627584.000,1,0,shasum,10,1.000,1.694,5574656.000,1,0,207.720,152.981,9127239680.000,9118114474.667,10,0
nodeinfo,0,1.000,0.126,43139584.000,1,0,shasum,20,1.000,1.902,3063808.000,1,0,108.920,109.570,9104507562.667,9135483050.667,10,0
nodeinfo,0,1.000,0.138,43950421.333,1,0,shasum,20,1.000,3.331,4247552.000,1,0,119.480,106.000,9124037973.333,9123748352.000,10,0
nodeinfo,0,1.000,0.139,44876288.000,1,0,shasum,20,1.000,2.272,4260864.000,1,0,110.520,101.450,9127626069.333,9126856362.667,10,0
nodeinfo,0,1.000,0.126,45315584.000,1,0,shasum,30,1.000,2.453,4540416.000,1,0,112.720,101.360,9118766421.333,9120977066.667,10,0
nodeinfo,0,1.000,0.152,45443584.000,1,0,shasum,30,1.000,4.599,3014656.000,1,0,112.240,119.288,9105005909.333,9143048533.333,10,0
nodeinfo,0,1.000,0.130,44458496.000,1,0,shasum,30,1.000,4.248,5019648.000,1,0,120.560,107.753,9138415616.000,9130187605.333,10,0
nodeinfo,0,1.000,0.154,44779008.000,1,0,shasum,40,1.000,5.202,4982784.000,1,0,112.480,109.070,9115448661.333,9116737024.000,10,0
nodeinfo,0,1.000,0.148,44733440.000,1,0,shasum,40,1.000,4.886,3491157.333,5,0,121.040,128.500,9118106965.333,9157932885.333,10,0
nodeinfo,0,1.000,0.119,44699136.000,1,0,shasum,40,1.000,4.254,4886528.000,5,0,121.533,118.227,9154498560.000,9137766058.667,10,0
nodeinfo,0,1.000,0.144,44924416.000,1,0,shasum,50,1.000,6.946,4800512.000,1,0,111.280,113.510,9129738240.000,9131405824.000,10,0
nodeinfo,0,1.000,0.129,45025962.667,1,0,shasum,50,1.000,6.288,3921920.000,1,0,122.440,114.870,9118296064.000,9133194410.667,10,0
nodeinfo,0,1.000,0.115,45295616.000,1,0,shasum,50,1.000,5.450,7204864.000,5,0,122.360,125.524,9127440384.000,9129024341.333,10,0
nodeinfo,10,1.000,1.607,5447680.000,5,0,shasum,0,1.000,2.953,4351488.000,1,0,118.480,105.400,9130852352.000,9141159082.667,10,0
nodeinfo,10,1.000,2.469,7344128.000,1,0,shasum,0,1.000,0.068,18976768.000,1,0,108.840,94.263,9168847530.667,9151262037.333,10,0
nodeinfo,10,1.000,2.737,6557696.000,1,0,shasum,0,1.000,0.085,18978304.000,1,0,96.920,111.180,9133958485.333,9185540266.667,10,0
nodeinfo,10,1.000,4.728,6086656.000,5,0,shasum,10,1.000,1.208,19036330.667,5,0,98.560,103.320,9138804053.333,9160782677.333,10,0
nodeinfo,10,1.000,1.895,5816320.000,1,0,shasum,10,1.000,1.360,4145664.000,1,0,117.320,116.700,9183766528.000,9199130112.000,10,0
nodeinfo,10,1.000,4.219,5148672.000,1,0,shasum,10,1.000,1.802,4450304.000,1,0,132.480,122.090,9174287701.333,9210008234.667,10,0
nodeinfo,10,1.000,2.498,4907008.000,1,0,shasum,20,1.000,2.626,4575232.000,1,0,127.400,122.216,9190313984.000,9213617664.000,10,0
nodeinfo,10,1.000,4.363,11259904.000,1,0,shasum,20,1.000,3.102,4501504.000,1,0,138.640,127.071,9191591936.000,9217129813.333,10,0
