function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,61.600,61.600,9190746112.000,9190746112.000,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,63.120,63.120,9191745536.000,9191745536.000,10,0
nodeinfo,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,63.400,63.400,9192789333.333,9192789333.333,10,0
nodeinfo,0,1.000,0.145,22288725.333,1,0,cows,10,1.000,0.908,23064746.667,1,0,66.928,78.112,9194702848.000,9198899370.667,10,0
nodeinfo,0,1.000,0.150,22878208.000,1,0,cows,10,1.000,3.210,6070272.000,1,0,159.851,131.683,9197087402.667,9175779328.000,10,0
nodeinfo,0,1.000,0.142,23554560.000,1,0,cows,10,1.000,4.980,13723648.000,1,0,95.760,90.891,9144474965.333,9169239893.333,10,0
nodeinfo,0,1.000,0.121,24121344.000,1,0,cows,20,1.000,3.861,13221888.000,1,0,99.920,99.360,9165402794.667,9191101952.000,10,0
nodeinfo,0,1.000,0.137,24787114.667,1,0,cows,20,1.000,2.508,5181440.000,1,0,104.040,121.760,9182524074.667,9198751744.000,10,0
nodeinfo,0,1.000,0.144,25528832.000,1,0,cows,20,1.000,4.222,13309952.000,1,0,106.120,99.820,9124102826.667,9140747093.333,10,0
nodeinfo,0,1.000,0.142,25921024.000,1,0,cows,30,1.000,5.690,7561216.000,1,0,108.680,104.841,9133096960.000,9154095445.333,10,0
nodeinfo,0,1.000,0.151,26202624.000,1,0,cows,30,1.000,4.560,12879872.000,5,0,106.800,115.908,9143546538.667,9144141482.667,10,0
nodeinfo,0,1.000,0.140,25160192.000,1,0,cows,30,1.000,4.634,5627904.000,5,0,126.000,121.520,9121481386.667,9122902869.333,10,0
nodeinfo,0,1.000,0.121,25325738.667,1,0,cows,40,1.000,6.586,15837866.667,1,0,127.400,121.030,9121520298.667,9119041024.000,10,0
nodeinfo,0,1.000,0.139,25524736.000,1,0,cows,40,1.000,2.614,5648384.000,1,0,109.748,111.417,9112543914.667,9121054890.667,10,0
nodeinfo,0,1.000,0.135,25525930.667,1,0,cows,40,1.000,4.535,5992448.000,1,0,114.080,126.710,9097450154.667,9147150165.333,10,0
nodeinfo,0,1.000,0.116,25696768.000,1,0,cows,50,1.000,4.947,7544832.000,5,0,120.760,122.490,9115297792.000,9130188970.667,10,0
nodeinfo,0,1.000,0.141,25767424.000,1,0,cows,50,1.000,6.251,7544832.000,1,0,123.200,119.600,9119208789.333,9117770069.333,10,0
nodeinfo,0,1.000,0.112,25870336.000,1,0,cows,50,1.000,7.717,15390037.333,1,0,122.160,116.378,9110432426.667,9127161173.333,10,0
nodeinfo,10,1.000,1.719,27272192.000,1,0,cows,0,1.000,3.787,12830720.000,1,0,123.480,100.750,9111573845.333,9131778048.000,10,0
nodeinfo,10,1.000,2.107,5255168.000,1,0,cows,0,1.000,0.111,47431680.000,1,0,95.320,95.131,9123192149.333,9136629418.667,10,0
nodeinfo,10,1.000,4.224,5791744.000,1,0,cows,0,1.000,0.094,47465984.000,1,0,97.800,114.220,9130078208.000,9172521301.333,10,0
nodeinfo,10,1.000,3.336,15555584.000,1,0,cows,10,1.000,1.008,47450112.000,1,0,107.200,118.250,9121080661.333,9171206997.333,10,0
nodeinfo,10,1.000,2.470,18175317.333,5,0,cows,10,1.000,1.555,14546432.000,5,0,125.680,133.280,9182045525.333,9185221290.667,10,0
