function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,98.760,98.760,10992133461.333,10992133461.333,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,100.880,100.880,10989391872.000,10989391872.000,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,94.680,94.680,10986665984.000,10986665984.000,10,0
figlet,0,1.000,0.120,5580288.000,1,0,nodeinfo,0,1.000,0.189,22667264.000,1,0,shasum,10,1.000,1.700,14477824.000,1,0,87.800,97.420,10975636138.667,10948112042.667,10,0
figlet,0,1.000,0.094,6000640.000,1,0,nodeinfo,0,1.000,0.226,22754133.333,1,0,shasum,10,1.000,1.598,2932736.000,1,0,127.240,127.679,10940124501.333,10966145706.667,10,0
figlet,0,1.000,0.135,6320128.000,1,0,nodeinfo,0,1.000,0.152,22890154.667,1,0,shasum,10,1.000,1.901,4291242.667,1,0,132.360,128.430,10966601728.000,10987995818.667,10,0
figlet,0,1.000,0.118,6566400.000,1,0,nodeinfo,0,1.000,0.162,23638528.000,1,0,shasum,20,1.000,2.241,5730304.000,5,0,140.200,141.427,10986172416.000,10984021504.000,10,0
figlet,0,1.000,0.124,6963541.333,1,0,nodeinfo,0,1.000,0.139,24396629.333,1,0,shasum,20,1.000,2.819,2973696.000,5,0,163.070,159.167,10993630549.333,11019325098.667,10,0
figlet,0,1.000,0.119,7233536.000,1,0,nodeinfo,0,1.000,0.165,25624917.333,1,0,shasum,20,1.000,3.156,18132480.000,5,0,143.160,138.654,10977890304.000,10968324096.000,10,0
figlet,0,1.000,0.110,7513088.000,1,0,nodeinfo,0,1.000,0.182,26380800.000,1,0,shasum,30,1.000,3.533,18345642.667,5,0,145.200,139.530,10965901994.667,10971118762.667,10,0
