function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_qrcode-go,rate_function_qrcode-go,success_rate_function_qrcode-go,cpu_usage_function_qrcode-go,ram_usage_function_qrcode-go,replica_qrcode-go,overloaded_function_qrcode-go,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,73.520,73.520,12198143317.333,12198143317.333,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,75.920,75.920,12193122986.667,12193122986.667,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,qrcode-go,0,1.000,0.000,0.000,1,0,74.960,74.960,12188883626.667,12188883626.667,10,0
figlet,0,1.000,0.098,5790208.000,1,0,nodeinfo,0,1.000,0.144,22168064.000,1,0,qrcode-go,10,1.000,5.881,14839808.000,1,0,76.360,91.720,12186135893.333,12189017258.667,10,0
figlet,0,1.000,0.098,6163797.333,1,0,nodeinfo,0,1.000,0.122,23064064.000,1,0,qrcode-go,10,1.000,13.117,4235264.000,1,0,112.720,119.670,12195440640.000,12205310805.333,10,0
figlet,0,1.000,0.093,6461440.000,1,0,nodeinfo,0,1.000,0.132,23531008.000,1,0,qrcode-go,10,1.000,12.816,6017024.000,5,0,148.520,143.020,12218294954.667,12232043008.000,10,0
figlet,0,1.000,0.098,6857728.000,1,0,nodeinfo,0,1.000,0.141,23953920.000,1,0,qrcode-go,20,1.000,15.466,2879488.000,5,0,152.600,161.760,12213822122.667,12239435946.667,10,0
figlet,0,1.000,0.099,7113728.000,1,0,nodeinfo,0,1.000,0.128,24630272.000,1,0,qrcode-go,20,1.000,23.237,4485120.000,5,0,154.680,147.640,12218149546.667,12220063402.667,10,0
figlet,0,1.000,0.076,7393280.000,1,0,nodeinfo,0,1.000,0.125,25590784.000,1,0,qrcode-go,20,1.000,27.234,4324010.667,5,0,165.720,161.500,12215944533.333,12231225002.667,10,0
figlet,0,1.000,0.103,7615488.000,1,0,nodeinfo,0,1.000,0.117,26006016.000,1,0,qrcode-go,30,1.000,38.640,4909738.667,5,0,156.080,159.770,12205589162.667,12210732714.667,10,0
figlet,0,1.000,0.085,7858176.000,1,0,nodeinfo,0,1.000,0.137,25923072.000,1,0,qrcode-go,30,1.000,23.071,5653504.000,5,0,161.000,153.844,12210225152.000,12223395157.333,10,0
figlet,0,1.000,0.111,8161280.000,1,0,nodeinfo,0,1.000,0.136,25345706.667,1,0,qrcode-go,30,1.000,37.684,4560896.000,5,0,169.880,161.940,12234430464.000,12227883008.000,10,0
figlet,0,1.000,0.104,8420864.000,1,0,nodeinfo,0,1.000,0.125,25530880.000,1,0,qrcode-go,40,1.000,32.946,4459178.667,1,0,178.880,183.560,12217115989.333,12239206229.333,10,0
figlet,0,1.000,0.096,8474453.333,1,0,nodeinfo,0,1.000,0.129,25779712.000,1,0,qrcode-go,40,1.000,45.896,3133440.000,5,0,182.960,184.510,12217777493.333,12249673728.000,10,0
figlet,0,1.000,0.118,8539136.000,1,0,nodeinfo,0,1.000,0.135,25956522.667,1,0,qrcode-go,40,1.000,51.985,6619136.000,5,0,184.000,170.510,12253940394.667,12231002965.333,10,0
figlet,0,1.000,0.088,8561664.000,1,0,nodeinfo,0,1.000,0.137,26135552.000,1,0,qrcode-go,50,1.000,56.396,3944448.000,1,0,187.640,188.750,12213008384.000,12249757013.333,10,0
figlet,0,1.000,0.068,8590336.000,1,0,nodeinfo,0,1.000,0.135,26188970.667,1,0,qrcode-go,50,1.000,45.434,5074944.000,1,0,170.680,184.260,12240345088.000,12244222293.333,10,0
figlet,0,1.000,0.101,8644096.000,1,0,nodeinfo,0,1.000,0.128,26061994.667,1,0,qrcode-go,50,1.000,50.520,2977792.000,5,0,190.640,188.640,12229054464.000,12231821312.000,10,0
figlet,0,1.000,0.088,8679424.000,1,0,nodeinfo,10,1.000,1.673,5836800.000,5,0,qrcode-go,0,1.000,7.395,5652992.000,1,0,166.840,129.800,12225674581.333,12232581120.000,10,0
figlet,0,1.000,0.104,8687616.000,1,0,nodeinfo,10,1.000,2.825,7692288.000,5,0,qrcode-go,0,1.000,0.128,22908928.000,1,0,116.960,122.390,12250373461.333,12256969898.667,10,0
figlet,0,1.000,0.092,8742912.000,1,0,nodeinfo,10,1.000,2.942,8331264.000,5,0,qrcode-go,0,1.000,0.125,22908928.000,1,0,140.800,167.080,12275486720.000,12282433877.333,10,0
figlet,0,1.000,0.096,8762368.000,1,0,nodeinfo,10,1.000,3.793,6205440.000,5,0,qrcode-go,10,1.000,5.700,3026944.000,5,0,128.600,146.770,12253320533.333,12263986176.000,10,0
figlet,0,1.000,0.094,8767488.000,1,0,nodeinfo,10,1.000,2.294,5533696.000,5,0,qrcode-go,10,1.000,16.515,4799146.667,5,0,154.080,145.310,12303145642.667,12292954453.333,10,0
figlet,0,1.000,0.088,8804693.333,1,0,nodeinfo,10,1.000,1.787,5292032.000,1,0,qrcode-go,10,1.000,11.466,4185088.000,1,0,146.000,145.970,12286144512.000,12293607253.333,10,0
figlet,0,1.000,0.093,8860672.000,1,0,nodeinfo,10,1.000,1.727,4870144.000,1,0,qrcode-go,20,1.000,18.221,3795968.000,9,0,142.000,166.420,12241438037.333,12302641834.667,10,0
figlet,0,1.000,0.088,8849408.000,1,0,nodeinfo,10,1.000,2.789,5033984.000,1,0,qrcode-go,20,1.000,24.225,4572672.000,17,1,184.480,180.450,12357493418.667,12433437184.000,10,1
figlet,0,1.000,0.093,8871936.000,1,0,nodeinfo,10,1.000,3.152,16239274.667,1,0,qrcode-go,20,1.000,21.321,3825664.000,5,0,177.480,170.241,12498842282.667,12535895722.667,20,0
figlet,0,1.000,0.110,8880640.000,1,0,nodeinfo,10,1.000,2.782,7340032.000,1,0,qrcode-go,30,1.000,28.308,4404736.000,13,0,210.400,197.540,12342505472.000,12397526186.667,10,0
figlet,0,1.000,0.094,8884224.000,1,0,nodeinfo,10,1.000,1.621,10498048.000,1,0,qrcode-go,30,1.000,20.255,8126464.000,1,0,196.920,181.890,12471846912.000,12507900586.667,20,0
figlet,0,1.000,0.093,8884224.000,1,0,nodeinfo,10,1.000,2.129,6475776.000,1,0,qrcode-go,30,1.000,33.757,4543488.000,1,0,201.680,191.124,12320544768.000,12339109205.333,10,0
figlet,0,1.000,0.102,8884224.000,1,0,nodeinfo,10,1.000,1.667,5853184.000,1,0,qrcode-go,40,1.000,38.615,6934528.000,1,0,188.840,193.250,12313432064.000,12342159018.667,10,0
figlet,0,1.000,0.091,8884736.000,1,0,nodeinfo,10,1.000,2.336,5332992.000,1,0,qrcode-go,40,1.000,49.950,5071360.000,1,0,196.080,192.450,12327884800.000,12352275456.000,10,0
figlet,0,1.000,0.094,8888320.000,1,0,nodeinfo,10,1.000,2.178,5107712.000,1,0,qrcode-go,40,1.000,48.472,3305472.000,1,0,188.520,192.150,12313991850.667,12345560917.333,10,0
figlet,0,1.000,0.074,8888320.000,1,0,nodeinfo,10,1.000,2.913,7389184.000,1,0,qrcode-go,50,1.000,48.666,5094912.000,1,0,195.520,196.810,12322348373.333,12350912853.333,10,0
figlet,0,1.000,0.097,8889344.000,1,0,nodeinfo,10,1.000,3.855,7258112.000,1,0,qrcode-go,50,1.000,52.504,2977792.000,1,0,205.025,199.526,12319299584.000,12347557888.000,10,0
figlet,0,1.000,0.088,8901632.000,1,0,nodeinfo,10,1.000,1.887,5718016.000,5,0,qrcode-go,50,1.000,50.288,5443584.000,5,0,203.081,199.650,12317869397.333,12350817280.000,10,0
