seed	strategy	Mean success rate	Mean success rate (stress period)	Tot. rejected requests
87	base_strategy	95.73260961576996	95.40131483773932	17400.0
87	random_strategy	98.36518586593895	98.02872052977487	5700.0
87	empirical_strategy	99.44140065874176	99.21796092223845	3420.0
3677	base_strategy	95.73260961576996	95.40131483773932	17400.0
3677	random_strategy	98.65074853768377	98.11104795275732	6300.0
3677	empirical_strategy	99.48073462530144	99.27302847542202	3180.0
740	base_strategy	95.73260961576996	95.40131483773932	17400.0
740	random_strategy	98.188696311066	97.7816351529527	6780.0
740	empirical_strategy	99.43174383556992	99.20444136979788	3480.0
279	base_strategy	95.73260961576996	95.40131483773932	17400.0
279	random_strategy	98.14676885139505	97.72293670941336	7080.0
279	empirical_strategy	99.47093646735512	99.2593110542972	3240.0
811	base_strategy	95.73260961576996	95.40131483773932	17400.0
811	random_strategy	98.5647698317567	98.30813808191972	5460.0
811	empirical_strategy	99.48067426703894	99.27294397385452	3180.0
