seed	strategy	Mean success rate	Success rate variance	Success rate median	Success rate 90% percentile	Mean success rate (stress period)	Success rate variance (stress period)	Success rate median stress period	Success rate 90% percentile stress period	Tot. rejected requests	Reject num variance	Reject num median	Reject num 90% percentile
2708	base_strategy	99.46276639500309	1.2105325524146815	100.0	100.0	99.24787295300432	1.5331184034312837	100.0	100.0	1260.0	15428.57142857143	0.0	240.0
2708	random_strategy	100.0	0.0	100.0	100.0	100.0	0.0	100.0	100.0	0.0	0.0	0.0	0.0
2708	empirical_strategy	100.0	0.0	100.0	100.0	100.0	0.0	100.0	100.0	0.0	0.0	0.0	0.0
1221	base_strategy	99.46276639500309	1.2105325524146815	100.0	100.0	99.24787295300432	1.5331184034312837	100.0	100.0	1260.0	15428.57142857143	0.0	240.0
1221	random_strategy	100.0	0.0	100.0	100.0	100.0	0.0	100.0	100.0	0.0	0.0	0.0	0.0
1221	empirical_strategy	100.0	0.0	100.0	100.0	100.0	0.0	100.0	100.0	0.0	0.0	0.0	0.0
2462	base_strategy	99.46276639500309	1.2105325524146815	100.0	100.0	99.24787295300432	1.5331184034312837	100.0	100.0	1260.0	15428.57142857143	0.0	240.0
2462	random_strategy	100.0	0.0	100.0	100.0	100.0	0.0	100.0	100.0	0.0	0.0	0.0	0.0
2462	empirical_strategy	100.0	0.0	100.0	100.0	100.0	0.0	100.0	100.0	0.0	0.0	0.0	0.0
3547	base_strategy	99.46276639500309	1.2105325524146815	100.0	100.0	99.24787295300432	1.5331184034312837	100.0	100.0	1260.0	15428.57142857143	0.0	240.0
3547	random_strategy	100.0	0.0	100.0	100.0	100.0	0.0	100.0	100.0	0.0	0.0	0.0	0.0
3547	empirical_strategy	100.0	0.0	100.0	100.0	100.0	0.0	100.0	100.0	0.0	0.0	0.0	0.0
2525	base_strategy	99.46276639500309	1.2105325524146815	100.0	100.0	99.24787295300432	1.5331184034312837	100.0	100.0	1260.0	15428.57142857143	0.0	240.0
2525	random_strategy	100.0	0.0	100.0	100.0	100.0	0.0	100.0	100.0	0.0	0.0	0.0	0.0
2525	empirical_strategy	100.0	0.0	100.0	100.0	100.0	0.0	100.0	100.0	0.0	0.0	0.0	0.0
